stock_id,drop_wk,reentry_wk,gap_days,reentry_fwd_20d,reentry_fwd_60d
1301,2022-07-29,2022-08-05,7,-0.024175790640024064,-0.08461535107958451
1301,2022-08-12,2022-09-02,21,-0.025900934377414808,0.0011261089041045835
1304,2020-12-11,2020-12-25,14,-0.0799086771909927,0.1689498094698032
1304,2021-02-26,2021-03-12,14,0.15217393271024604,0.42094868960621623
1305,2021-04-01,2021-04-29,28,-0.20342854024832402,-0.10857138724190596
1305,2021-05-07,2021-05-14,7,0.1367924397591802,0.19811321467681076
1305,2021-05-28,2021-06-25,28,0.07123282259502606,0.03849307965597171
1319,2022-11-25,2022-12-02,7,-0.11589746719751604,-0.0871794871794872
1319,2025-03-14,2025-04-02,19,-0.07984790874524716,-0.24714828897338403
1325,2020-04-24,2020-05-08,14,1.1,1.061111111111111
1325,2021-05-07,2021-05-14,7,-0.15047621954055057,-0.41428571428571426
1522,2023-10-20,2023-10-27,7,0.03896103896103886,-0.033766213949624646
1540,2024-10-18,2024-11-15,28,-0.061935523248487945,-0.10451610934349798
1590,2023-10-13,2023-10-20,7,0.06280193236714982,-0.06763285024154586
1590,2025-05-29,2025-06-06,8,-0.06717226435536294,-0.15817984832069343
1609,2023-04-21,2023-05-12,21,0.3367173763813538,0.2590213907561285
1762,2020-08-28,2020-09-25,28,-0.0870206675562375,-0.07817113293803024
2027,2021-11-12,2021-11-19,7,0.09038899301854064,0.19450793555406687
2030,2022-06-24,2022-07-01,7,-0.004484236661089436,0.053811695246390956
2059,2023-07-14,2023-07-28,14,-0.04802561366061897,-0.16221985058697974
2059,2024-02-23,2024-03-01,7,-0.08727272727272728,-0.10545454545454547
2059,2024-04-19,2024-04-26,7,0.07594936708860756,-0.012658227848101222
2059,2024-08-16,2024-08-30,14,-0.13043478260869568,0.1541501976284585
2059,2025-07-04,2025-07-11,7,0.4174528301886793,0.6863207547169812
2108,2021-04-09,2021-04-23,14,-0.08029197080291972,-0.08759124087591241
2108,2021-06-18,2021-07-02,14,-0.10869565217391308,-0.33550726849099866
2108,2021-12-17,2021-12-24,7,0.007092180673083925,-0.22576830754865473
2108,2021-12-30,2022-01-14,15,-0.08139534883720934,-0.3569767530574355
2303,2022-09-08,2022-09-16,8,-0.05506885409074469,0.08886105555106227
2330,2025-07-18,2025-07-25,7,0.02183406113537112,0.26637554585152845
2331,2023-08-25,2023-09-15,21,-0.11947625890944114,-0.04746313884786646
2340,2020-12-31,2021-01-22,22,0.04175365211459248,0.06889351006132349
2340,2021-01-29,2021-02-05,7,0.019531249708961695,-0.05664065395831086
2344,2022-02-18,2022-02-25,7,-0.04393940577669875,-0.14393938245544158
2344,2022-07-01,2022-07-22,21,-0.021505396809844535,-0.1053763202389637
2360,2025-03-07,2025-03-28,21,0.0171526586620927,0.47512864493996565
2365,2024-05-10,2024-05-31,21,0.13725483491497226,0.7002800970792349
2371,2025-08-15,2025-09-12,28,-0.07263922652347055,-0.17675543273400096
2376,2020-04-17,2020-04-30,13,0.13461538461538458,0.6230769524207482
2377,2023-01-17,2023-02-03,17,0.06818181818181812,0.09090909090909083
2392,2021-01-29,2021-02-05,7,0.07407405821716195,-0.1279461472627299
2408,2022-11-11,2022-11-18,7,-0.10214169168058529,-0.019769369816418747
2412,2021-05-14,2021-05-21,7,-0.008733624454148492,0.026200873362445476
2412,2024-05-10,2024-05-31,21,-0.01171875,-0.03125
2412,2024-06-07,2024-06-14,7,-0.07421875,-0.03125
2426,2022-02-11,2022-02-18,7,-0.027422303091013567,-0.20109688933409964
2441,2021-06-04,2021-06-18,14,0.07942706030897062,0.1510416407965962
2449,2023-09-22,2023-09-28,6,0.0039474085757607025,0.09999997992264587
2454,2020-11-13,2020-12-11,28,0.2036775106082036,0.27722772277227725
2458,2021-10-08,2021-10-15,7,0.09030100334448155,0.10702341137123739
