stage,signal,horizon,n,mean_fwd,mean_car,t_car,median_car,win_rate,is_window,oos_year,is_n,is_car10,is_t,oos_n,oos_car10,oos_t,oos_sign_positive,regime,vol_regime,car_10d_mean,t_car_10d,metric,value,scope,trigger_car10,baseline_car10,edge_over_baseline,t_trigger
2_walkforward,S1_no_response,,,,,,,,2021-2023,2024.0,6325.0,0.006336133213746856,6.234788785482019,0.0,,,0.0,,,,,,,,,,,
2_walkforward,S2_intraday_fade,,,,,,,,2021-2023,2024.0,2132.0,0.00020467071656936063,0.11378807280891041,0.0,,,0.0,,,,,,,,,,,
2_walkforward,S3_t1_breakdown,,,,,,,,2021-2023,2024.0,796.0,-0.0006542021339666226,-0.24308280871564084,0.0,,,0.0,,,,,,,,,,,
2_walkforward,S1_no_response,,,,,,,,2022-2024,2025.0,6325.0,0.006336133213746856,6.234788785482019,2651.0,-0.0029334355606231394,-1.8175139076507296,0.0,,,,,,,,,,,
2_walkforward,S2_intraday_fade,,,,,,,,2022-2024,2025.0,2132.0,0.00020467071656936063,0.11378807280891041,593.0,-0.011406922780040945,-3.269216202981156,0.0,,,,,,,,,,,
2_walkforward,S3_t1_breakdown,,,,,,,,2022-2024,2025.0,796.0,-0.0006542021339666226,-0.24308280871564084,111.0,0.031975589727252805,3.029993996308627,1.0,,,,,,,,,,,
3_cross_regime,S1_no_response,,39922.0,,,,,,,,,,,,,,,bull,vol_low,-0.0071541279208530905,-16.727904013057664,,,,,,,
3_cross_regime,S1_no_response,,34846.0,,,,,,,,,,,,,,,bull,vol_mid,-0.008197563936215332,-17.429421680117432,,,,,,,
3_cross_regime,S1_no_response,,24616.0,,,,,,,,,,,,,,,bull,vol_high,0.010104555582239865,17.305047150984876,,,,,,,
3_cross_regime,S1_no_response,,4471.0,,,,,,,,,,,,,,,bear,vol_low,-0.00018518293227589417,-0.17666565914453342,,,,,,,
3_cross_regime,S1_no_response,,6785.0,,,,,,,,,,,,,,,bear,vol_mid,0.003254758441217518,3.4517777973401844,,,,,,,
