factor,year,top_dec_12m,bot_dec_12m,spread
fcf_yield,2015,0.5560687221937093,0.6983430699613067,-0.1422743477675974
fcf_yield,2016,0.22757021495770052,0.34104406350035626,-0.11347384854265574
fcf_yield,2017,0.20619075333569445,0.2942002424091702,-0.08800948907347575
fcf_yield,2018,0.06953457532086037,0.20734744758027188,-0.13781287225941152
fcf_yield,2019,0.08154677584324843,0.34414311417313453,-0.2625963383298861
fcf_yield,2020,0.8700618311340684,0.6682391592353301,0.20182267189873837
fcf_yield,2021,0.08052026931868123,0.03167733242231208,0.04884293689636915
fcf_yield,2022,0.07003183368625657,0.1879878620852399,-0.11795602839898334
fcf_yield,2023,0.3440333703503023,0.37950702485991483,-0.03547365450961254
fcf_yield,2024,0.0970863200341616,0.25739836877566696,-0.16031204874150537
roic,2015,0.30655192146045934,0.6804329264063712,-0.37388100494591187
roic,2016,0.2055065383745008,0.2584005863149983,-0.052894047940497485
roic,2017,0.17460642844091054,0.20095775383365813,-0.026351325392747593
roic,2018,0.14994488910759557,0.11153498679727628,0.038409902310319294
roic,2019,0.19935612525593607,0.1918330314970038,0.007523093758932287
roic,2020,0.41026055713014514,1.0054981936822773,-0.5952376365521321
roic,2021,-0.05364753084556888,0.02391172078997149,-0.07755925163554037
roic,2022,0.1390408971636545,0.05481053106477225,0.08423036609888225
roic,2023,0.2875818146384139,0.32372693574947303,-0.03614512111105911
roic,2024,0.09812128932053805,0.11396354564916415,-0.015842256328626098
gp_assets,2015,0.29387742850709697,0.4375024754574729,-0.14362504695037592
gp_assets,2016,0.1738821351399987,0.2135856065379221,-0.03970347139792341
gp_assets,2017,0.3137314989169617,0.13914755600961926,0.17458394290734247
gp_assets,2018,0.1103521189225414,0.12056657509234052,-0.010214456169799116
gp_assets,2019,0.254766763857522,0.03739001257950528,0.21737675127801673
gp_assets,2020,0.723074543063367,1.2301838901196516,-0.5071093470562845
gp_assets,2021,-0.07395758612967016,0.020638368690118456,-0.09459595481978861
gp_assets,2022,0.12953935532320868,0.0259374934247699,0.10360186189843879
gp_assets,2023,0.24838521499043334,0.2894961763412764,-0.04111096135084305
gp_assets,2024,0.0678928047636628,0.10873337835655093,-0.04084057359288813
