quarter_end,n_total,top_ret_3m,bot_ret_3m,n_top_ret_3m,n_bot_ret_3m,top_ret_6m,bot_ret_6m,n_top_ret_6m,n_bot_ret_6m,top_ret_12m,bot_ret_12m,n_top_ret_12m,n_bot_ret_12m
2010-12-31,185,-0.027750052896230386,-0.019136635406603878,9,73,0.0375016660498188,0.07972423110153741,9,73,0.1001358164546662,0.0439771071406886,9,73
2011-03-31,196,-0.013880718663589718,-0.02508132873102813,13,67,0.03464452860385991,0.07790679834237908,13,67,0.06169262900383448,0.0346087295836406,13,67
2011-06-30,197,-0.012314553809749048,-0.01820310649326003,15,69,0.03620527631621495,0.08422927614982495,15,69,0.05628282665035922,0.054490729900987384,15,69
2011-09-30,198,-0.01812372328473669,-0.01654406939205907,17,66,0.025057067166627055,0.09762202613842193,17,66,0.05420116697097528,0.06955634251819713,17,66
2011-12-31,199,-0.01998410949486591,-0.014353715047722596,30,55,0.02618520869361158,0.0908083287903964,30,55,0.036038946050607173,0.06554074340517921,30,55
2012-03-31,200,0.002235067139001066,-0.014114665134166577,31,51,0.06289514085902917,0.09448770984786148,31,51,0.07825423541470197,0.062136399747537895,31,51
2012-06-30,200,0.0037306917606872714,-0.01591002575513861,28,51,0.07181330496831435,0.09146347772646678,28,51,0.09578412823082381,0.055533466629134394,28,51
2012-09-30,200,-0.009348244079642498,-0.02900607126688447,34,47,0.06544010841136991,0.07322257626226675,34,47,0.09183664905973878,0.03474558411634552,34,47
2012-12-31,204,-0.026232411630426628,-0.039557812475435356,48,41,0.03756435682716732,0.04687272877057465,48,41,0.067458119708743,0.004318862582233371,48,41
2013-03-31,206,-0.022441740997875027,-0.04701388006864953,46,38,0.041545291137139645,0.01699033647614918,46,38,0.07137932718383103,-0.016997092106253827,46,38
2013-06-30,207,-0.023826376350246075,-0.031830564826481056,45,37,0.05012929481216724,0.0030240406164879804,45,37,0.08405770047325899,-0.034024870032965414,45,37
2013-09-30,207,-0.026509293529288092,-0.034001837044174525,44,31,0.049347403928624016,-0.014582867832627794,44,31,0.09053740031052716,-0.029568657280029012,44,31
2013-12-31,213,-0.02893676715846143,-0.043252331552991505,47,41,0.03407341749767776,-0.009391469348349876,47,41,0.08077533049471335,-0.0009009585954322934,47,41
2014-03-31,215,-0.024711508708158532,-0.03897621254288665,47,42,0.04845144091574553,-0.003544434821769524,47,42,0.09800135150765246,-0.01308513837355283,47,42
2014-06-30,216,-0.014889307903753255,-0.030127852500209027,47,41,0.06232694794218446,0.027605324004221728,47,41,0.11060947662968444,-0.004679174885667904,47,41
2014-09-30,216,-0.013008500228633724,-0.037706238094089385,47,48,0.06715741750248955,0.032627759362768606,47,48,0.11499171124145283,0.0033786851449830804,47,48
2014-12-31,219,-0.016742829603313834,-0.02711977323639562,48,43,0.05277158148679065,0.05581545107322003,48,43,0.09293022460095944,0.029606017287907245,48,43
2015-03-31,221,-0.027576693525043515,-0.03244900653421933,47,49,0.034272456892294335,0.04211715179035812,47,49,0.06036780999326816,0.01518205030793946,47,49
2015-06-30,222,-0.028205718362463484,-0.009083103762895738,47,44,-0.1177062257172892,-0.15520394329012419,47,44,0.0337570497115331,0.02438063400117717,47,44
2015-09-30,222,-0.07829652032490991,-0.16596211052712614,46,34,0.01017698740148224,-0.014674076254244191,46,34,0.11612172781627099,0.2053014238445718,46,34
2015-12-31,225,0.11812976181656207,0.14604227641808473,49,35,0.17726753648392887,0.2561041343135287,49,35,0.32813308147704956,0.5994985647890552,49,35
2016-03-31,227,0.05601516969828292,0.10898359473981263,53,39,0.10089285069431204,0.24664935076318217,53,39,0.20122797198526823,0.399245518743288,53,39
2016-06-30,227,0.0371999058692115,0.12094088029372824,50,34,0.13736431454053677,0.2638604991907764,50,34,0.20526944846107795,0.3180364078753226,50,34
2016-09-30,227,0.08669944755599103,0.1353615685552685,53,41,0.07275722928129758,0.056074633393673495,53,41,0.22250408054315293,0.1683862542366152,53,41
2016-12-31,229,0.004294974852932041,-0.02106263247068125,51,40,0.057777296340517446,0.014420113420529606,51,40,0.1695622711849781,0.166798204379202,51,40
2017-03-31,232,0.04816331574887858,0.03520487936622615,52,37,0.11239367828283858,0.07736410123086213,52,37,0.16830227587406116,0.21484446801027482,52,37
2017-06-30,233,0.060194222489841825,0.03203184202395995,44,36,0.09378992997722703,0.10506977972871542,44,36,0.1641214847145826,0.18041112231361633,44,36
2017-09-30,233,0.039667459399515104,0.09436858527801482,41,33,0.0435732248513864,0.14789521545280104,41,33,0.0653114597570263,0.04952502293451603,41,33
2017-12-31,234,-0.001504578595548781,0.032348473041761375,48,31,0.04133486954405228,0.028815128538778843,48,31,0.0418395037125581,-0.023434243750994233,48,31
2018-03-31,235,0.04903680563063604,0.01539098273285124,50,36,0.008011422109534533,-0.06334328699626927,50,36,0.11748833922611307,-0.03163465707908894,50,36
2018-06-30,235,-0.03901579356194828,-0.09072670894147228,43,32,-0.012262661191956473,-0.08915875279483741,43,32,0.05715451431310984,-0.0863588304569282,43,32
2018-09-30,235,0.07832222946128486,0.045166744489304585,40,37,0.13002664596668917,0.018307755970682998,40,37,0.17518619048882278,0.1223044751669488,40,37
2018-12-31,237,0.08205468991397656,0.030960385503426616,44,27,0.07443771595788931,-0.0026227868286456957,44,27,0.20765539600542138,0.26185418528508975,44,27
2019-03-31,237,-0.006747140083323635,-0.04024043250840497,50,30,0.05892317852562626,0.11144224631173817,50,30,-0.22480972361160645,-0.27912449883102997,50,30
