date,ret,n_stocks,regime,source,in_market,mean_pe,mean_pb,mean_fscore,cum_ret,year
2020-01-03,0.00600064746332889,5,neutral,qm,True,,,7.4,1.006000647463329,2020
2020-01-31,-0.02726407089572641,10,neutral,qm,True,,,6.6,0.9785729744897421,2020
2020-02-27,-0.17201180349677336,8,ranging,qm,True,,,6.625,0.8102468722945596,2020
2020-03-27,0.1486611690666438,8,volatile,value,True,9.873526121259825,1.308535533618746,3.75,0.9306991195624604,2020
2020-04-24,0.10032188739466104,6,volatile,value,True,10.412236466189311,1.3328244758578147,3.3333333333333335,1.0240686118335156,2020
2020-05-22,0.13279736685959917,3,neutral,qm,True,,,6.0,1.1600622269685714,2020
2020-06-19,0.068230120903084,4,volatile,value,True,10.13031832800559,1.5239892640983672,3.25,1.2392134129697379,2020
2020-07-17,0.07207520872633655,1,trending,qm,True,,,8.0,1.3285299783660076,2020
2020-08-14,-0.14664804781797713,1,trending,qm,True,,,7.0,1.1337036505709732,2020
2020-09-11,0.016017627950436597,5,ranging,qm,True,,,6.6,1.151862893851871,2020
2020-10-08,-0.03398282050688628,6,ranging,qm,True,,,6.5,1.1127193438815601,2020
2020-11-06,0.16591215851047972,7,ranging,qm,True,,,6.857142857142857,1.2973330120413145,2020
2020-12-04,0.004715158720473911,10,volatile,value,True,9.047149313254657,1.6596237396269093,4.3,1.3034501431063998,2020
2020-12-31,0.13543180711101485,3,trending,qm,True,,,7.0,1.4799787514664104,2020
2021-01-29,0.12409166882330645,16,volatile,value,True,7.89808714636693,1.515262099378909,5.5,1.6636317845589108,2021
2021-03-05,0.1896167475318825,12,volatile,value,True,8.544210077366763,1.4658819875284281,5.666666666666667,1.9790842326376332,2021
2021-04-01,0.006283525919218287,3,neutral,qm,True,,,6.0,1.991519859709728,2021
2021-04-29,-0.017614301687333207,6,trending,qm,True,,,6.333333333333333,1.9564406280844853,2021
2021-05-28,0.07124452352933922,20,volatile,value,True,7.917049916461046,1.286424920793474,4.1,2.0958263084458055,2021
2021-06-25,-0.00199434757182653,7,trending,qm,True,,,6.285714285714286,2.0916465023365864,2021
2021-07-23,-0.06098428175302963,5,ranging,qm,True,,,7.0,1.9640889427103532,2021
2021-08-20,0.1042263209993552,9,neutral,qm,True,,,6.555555555555555,2.1687987073245667,2021
2021-09-17,-0.052267780159019846,7,trending,qm,True,,,6.857142857142857,2.0554404132809596,2021
2021-10-15,0.1590675643026829,6,neutral,qm,True,,,6.833333333333333,2.382394313390862,2021
2021-11-12,0.05492061228676809,4,neutral,qm,True,,,7.0,2.5132368677908024,2021
2021-12-10,-0.0211940299276569,4,ranging,qm,True,,,7.0,2.4599712503995534,2021
2022-01-07,0.003874480598172858,10,ranging,qm,True,,,6.4,2.4695023612812896,2022
2022-02-11,0.024478123819329442,8,ranging,qm,True,,,6.25,2.5299511458528596,2022
2022-03-11,-0.07017739731728591,20,volatile,value,True,6.936347457200888,1.7067145319341648,4.8,2.352405759097021,2022
2022-04-08,-0.08658008658008653,1,ranging,qm,True,,,6.0,2.1487342648029064,2022
2022-05-06,-0.0613510944638509,3,neutral,qm,True,,,5.666666666666667,2.01690706594527,2022
2022-06-02,-0.22938425494282452,3,ranging,qm,True,,,5.0,1.554260341334496,2022
2022-07-01,0.06324116357452376,20,volatile,value,True,6.383756200449157,1.5310381892872156,4.65,1.652553573818226,2022
2022-07-29,-0.06386298004142588,1,neutral,qm,True,,,6.0,1.5470165779160856,2022
2022-08-26,-0.06350090674298842,4,ranging,qm,True,,,6.0,1.4487796224719793,2022
2022-09-23,-0.06302500251552652,3,neutral,qm,True,,,6.333333333333333,1.3574702831212393,2022
2022-10-21,0.11996002812465104,20,volatile,value,True,7.681527560187218,1.3777286292855295,5.2,1.5203124564628412,2022
