year,A,B,C_low,C_mid
2015,-0.021048473778668277,-0.07860203499176277,-0.07524527255590566,-0.05856113460543831
2016,0.03533155402961454,0.020298134220256732,0.026122504058188938,0.02634846153628864
2017,0.03501412431677808,0.08527103037679369,0.01764967131853184,0.07084291858373283
2018,-0.01830711899862159,-0.05335128279619287,-0.05993725903562268,-0.024061620637152722
2019,-0.01644721537750877,0.03020443675946306,0.06483036981831306,0.04384186091120033
2020,0.08204027509697231,0.08812636264082706,0.14188572264885163,0.09433701654457842
2021,0.03942293761532666,0.045035549336313846,0.0994554611692245,0.08321734134188014
2022,-0.06493031304880251,-0.07719442689381732,-0.01838603780446136,-0.04521325133864391
2023,0.06987157484562266,0.13990104345361506,0.0716985799491298,0.12203779189018604
2024,0.049722377785449724,0.05990387864095086,0.14033857425406085,0.02670962329072127
2025,0.050729631701275056,0.18119511916180744,0.05569371523815563,0.06813990167194035
