event_id,trigger_date,trigger_close,peak_close,trough_date,trough_close,final_drawdown,time_to_trough_days,recovery_speed_30d,class
1,1999-01-25,6033.21,6483.3,1999-02-05,5474.79,-0.1555550414140947,10,2.808710289746068,B_medium
2,1999-07-14,7888.66,8608.91,1999-08-06,6823.52,-0.20738862411153092,19,1.361145013801003,C_crash
3,1999-10-04,7685.48,8273.33,1999-11-09,7362.69,-0.1100693432994937,29,2.136435453390752,B_medium
4,2000-02-23,9642.26,10202.2,2000-05-11,8349.91,-0.1815578992766267,58,0.5957054977366816,B_medium
5,2000-05-16,8727.82,10186.2,2000-07-25,7900.39,-0.22440262315682002,53,0.4320486325127191,C_crash
6,2000-08-03,7844.93,9119.77,2000-10-19,5081.28,-0.4428280537776721,58,0.36483273931214166,C_crash
7,2000-10-23,5680.95,8257.88,2000-12-27,4614.63,-0.4411846624073006,50,1.396963388101133,C_crash
8,2001-01-11,5369.24,6089.55,2001-01-12,5339.4,-0.12318644234795684,1,25.631367292225082,B_medium
9,2001-04-18,5508.61,6104.24,2001-07-13,4485.68,-0.2651534015700562,60,0.19712981337921437,C_crash
10,2001-07-16,4368.69,5597.7,2001-10-03,3446.26,-0.3843435696804044,52,1.0378348492568548,C_crash
11,2001-10-17,3817.13,4687.33,2001-10-18,3811.2,-0.18691451209963883,1,134.42158516019575,B_medium
12,2002-01-16,5488.33,5871.28,2002-01-16,5488.33,-0.06522427818124832,0,,A_small
13,2002-04-30,6065.73,6462.3,2002-07-01,4969.32,-0.23102920012998474,43,0.40785837414835724,C_crash
14,2002-07-25,5045.07,5910.69,2002-10-11,3850.04,-0.3486310396924893,54,0.8062475419027137,C_crash
15,2002-10-22,4386.46,5005.04,2002-10-22,4386.46,-0.1235914198487924,0,,B_medium
16,2003-02-07,4735.37,5078.8,2003-04-28,4139.5,-0.18494526266047095,55,1.1625018879957036,B_medium
17,2003-05-07,4275.91,4705.08,2003-05-08,4191.25,-0.10920749487787662,1,10.130640207890401,B_medium
18,2003-11-20,5834.24,6142.32,2003-11-27,5740.57,-0.06540688209015488,5,5.192804526529299,A_small
19,2004-03-15,6635.98,7034.1,2004-05-17,5482.96,-0.2205171948081489,45,0.5674663058750069,C_crash
20,2004-06-08,5986.76,6880.18,2004-08-04,5316.87,-0.22721934600548244,40,0.9126125184731823,C_crash
21,2004-10-18,5772.12,6103.0,2004-10-27,5650.97,-0.07406685236768795,6,3.289475856376399,A_small
22,2005-01-24,5771.48,6143.12,2005-04-20,5693.01,-0.07327058563075439,54,4.415317955906745,A_small
23,2005-04-29,5818.07,6259.69,2005-05-04,5803.68,-0.07284865544459862,2,31.16191799861141,A_small
24,2005-08-24,6127.24,6455.57,2005-10-28,5632.97,-0.12742484397194975,45,1.4517369049305053,B_medium
25,2006-01-23,6381.97,6742.39,2006-03-23,6364.6,-0.05603205984821402,36,63.87161773172175,A_small
26,2006-05-16,7069.9,7474.05,2006-07-17,6257.8,-0.16272971146834714,43,0.5857160448220665,B_medium
27,2006-08-10,6578.61,7074.15,2006-08-28,6444.76,-0.08897040633857067,12,4.198057527082571,A_small
28,2007-03-05,7344.56,7935.54,2007-03-05,7344.56,-0.07447256267374358,0,,A_small
29,2007-07-27,9162.28,9744.06,2007-08-17,8090.29,-0.16972083505232927,15,1.4300133396766752,B_medium
30,2007-11-02,9273.09,9809.88,2008-01-23,7408.4,-0.2448021790276741,57,0.6704814205042122,C_crash
31,2008-01-29,7576.42,9300.22,2008-01-31,7521.13,-0.19129547473070518,2,24.312172183034928,B_medium
32,2008-05-26,8707.83,9295.2,2008-07-16,6710.64,-0.2780531887425768,37,0.32918250141448724,C_crash
33,2008-08-20,7040.9,8745.35,2008-10-27,4366.87,-0.5006637813237893,46,0.23492257005344014,C_crash
34,2008-11-17,4439.8,7080.97,2008-11-20,4089.93,-0.4224054049092144,3,1.7388744390773714,C_crash
35,2009-02-19,4528.87,4789.84,2009-03-02,4425.83,-0.07599627544970189,7,13.895671583850941,A_small
36,2009-06-09,6414.39,6954.1,2009-06-18,6144.53,-0.11641621489481035,7,3.6985844511969104,B_medium
37,2009-10-29,7355.69,7753.52,2009-11-03,7322.93,-0.05553477646281946,3,15.14652014652046,A_small
38,2010-01-25,7872.99,8356.89,2010-02-06,7212.87,-0.13689542401539323,10,1.1351723928982616,B_medium
39,2010-05-05,7696.9,8171.94,2010-06-09,7071.67,-0.13463999980420804,25,1.028165635046304,B_medium
40,2010-08-31,7616.28,8034.49,2010-08-31,7616.28,-0.0520518414983403,0,,A_small
41,2011-02-11,8609.86,9145.35,2011-03-15,8234.78,-0.09956644633611611,21,2.171456755892075,A_small
42,2011-06-20,8530.68,9062.35,2011-08-22,7312.59,-0.19308016132680816,45,0.36546560598970523,B_medium
43,2011-09-14,7228.47,8824.44,2011-11-25,6784.52,-0.23116707689099814,51,0.8878702556594196,C_crash
44,2011-12-09,6893.3,7622.01,2011-12-19,6633.33,-0.12971381564705375,6,4.261684040466203,B_medium
45,2012-04-05,7639.82,8144.04,2012-06-04,6894.66,-0.15341034670753095,41,0.7084787159804611,B_medium
46,2012-07-02,7345.16,7788.27,2012-07-26,6970.69,-0.1049758161953811,18,1.4316767698347008,B_medium
47,2012-10-22,7373.04,7781.91,2012-11-21,7088.49,-0.08910665890507596,22,2.629942013705851,A_small
48,2013-06-13,7951.66,8398.84,2013-06-25,7663.23,-0.08758471407956347,8,2.0694102555212717,A_small
49,2014-08-08,9085.96,9569.17,2014-10-17,8512.88,-0.11038470421154611,48,1.1765722063237254,B_medium
50,2014-11-05,8962.6,9513.06,2014-12-17,8828.36,-0.07197473788665254,30,5.1641090584028655,A_small
51,2015-06-04,9348.63,9973.12,2015-08-24,7410.34,-0.2569687319514856,55,0.5597150065263712,C_crash
52,2015-09-01,8017.56,9476.34,2015-09-07,7986.56,-0.1572104842164802,4,21.517419354838708,B_medium
53,2015-11-30,8320.61,8857.02,2016-01-21,7664.01,-0.13469654579079648,37,1.6507614986293007,B_medium
54,2016-05-03,8294.12,8812.7,2016-05-13,8053.69,-0.0861268396745607,8,2.755729318304692,A_small
55,2018-02-06,10404.0,11253.11,2018-02-09,10371.75,-0.07832145957872982,3,22.445891472868194,A_small
56,2018-06-28,10654.28,11251.75,2018-07-06,10608.57,-0.057162663585664464,6,10.710129074600511,A_small
57,2018-10-05,10517.12,11099.57,2018-12-26,9478.99,-0.14600385420336104,58,0.648541126833826,B_medium
58,2019-01-02,9554.14,10466.83,2019-01-04,9382.51,-0.10359583560638697,2,5.879158655246774,B_medium
59,2019-05-14,10519.25,11096.3,2019-05-29,10301.78,-0.07160224579364283,11,2.7299397618062273,A_small
60,2019-08-13,10362.66,10947.26,2019-08-15,10327.13,-0.05664705140829773,2,16.959189417393475,A_small
61,2020-01-30,11421.74,12179.81,2020-03-19,8681.34,-0.28723518675578674,34,0.8432345642971827,C_crash
62,2020-04-29,10772.22,11815.7,2020-05-04,10720.48,-0.09269192684309868,2,19.32122149207585,A_small
63,2020-09-24,12264.38,12976.76,2020-09-25,12232.91,-0.057321704339141744,1,32.70670479822123,A_small
64,2021-01-29,15138.31,16153.77,2021-01-29,15138.31,-0.0628621058737373,0,,A_small
65,2021-05-11,16583.13,17595.9,2021-05-17,15353.89,-0.1274166140976024,4,1.8257622596075593,B_medium
66,2021-08-13,16982.11,18034.19,2021-08-20,16341.94,-0.09383565327857801,5,1.835418716903319,A_small
67,2022-02-24,17594.55,18526.35,2022-05-12,15616.68,-0.15705576111862285,51,0.6022084363481931,B_medium
68,2022-05-26,15968.83,17934.4,2022-07-12,13950.62,-0.22213065393879916,32,0.7505809603559593,C_crash
69,2022-08-22,15245.14,16807.77,2022-10-25,12666.12,-0.24641281978513507,44,0.9099115167776907,C_crash
70,2022-11-18,14504.99,15278.44,2022-12-29,14085.02,-0.078111377863185,29,3.7370764578422304,A_small
71,2023-08-14,16393.66,17334.98,2023-10-31,16001.27,-0.07693749862993782,53,3.693672111929465,A_small
72,2024-04-19,19527.12,20796.2,2024-04-22,19411.22,-0.06659774381858219,1,21.11466781708408,A_small
73,2024-07-19,22869.26,24390.03,2024-08-05,19830.88,-0.1869267893479425,9,0.8551333276285388,B_medium
74,2024-11-27,22334.78,23553.89,2024-11-29,22262.5,-0.05482703706266778,2,19.213752075263184,A_small
