variant,ticker,n_trades,win_rate_pct,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,profit_factor,avg_holding_days,bh_cagr_pct,bh_max_drawdown_pct
V2_switch_2.0,2317,57,36.84,111.4,6.57,0.372,-38.36,1.761,23.0,12.67,-54.42
V2_switch_2.0,2382,52,50.0,23.53,1.8,0.173,-35.62,1.3,19.3,18.6,-47.65
V2_switch_2.0,2474,52,42.31,-28.48,-2.73,-0.154,-47.4,0.839,25.7,3.1,-54.51
V2_switch_2.0,2357,57,45.61,11.65,0.92,0.132,-43.87,1.163,22.5,13.69,-37.8
V2_switch_2.0,2882,63,41.27,8.93,0.72,0.117,-27.11,1.138,22.0,10.01,-41.92
V2_switch_2.0,2891,56,53.57,54.28,3.69,0.389,-17.07,1.595,29.1,16.36,-34.36
V2_switch_2.0,2884,59,52.54,11.19,0.91,0.151,-23.33,1.171,28.2,15.2,-33.33
V2_switch_2.0,2885,65,55.38,159.71,8.32,0.639,-23.42,2.065,27.0,17.56,-41.35
V2_switch_2.0,2886,59,47.46,-10.09,-0.9,-0.086,-27.39,0.909,22.5,10.21,-31.22
V2_switch_2.0,1303,49,46.94,110.94,6.38,0.474,-23.7,2.042,24.3,7.04,-66.84
V2_switch_2.0,1301,45,42.22,-28.94,-2.8,-0.289,-39.95,0.71,32.8,0.61,-69.26
V2_switch_2.0,2002,49,36.73,-19.35,-1.78,-0.104,-31.31,0.872,24.8,1.58,-53.1
V2_switch_2.0,1216,51,37.25,-42.95,-4.57,-0.597,-46.66,0.523,29.5,7.55,-23.04
V2_switch_2.0,2412,62,48.39,4.93,0.4,0.094,-13.33,1.104,27.8,7.59,-16.41
V2_switch_2.0,2603,54,35.19,-1.49,-0.13,0.112,-50.66,1.191,21.6,25.65,-70.54
V2_switch_2.0,2207,40,40.0,-100.64,-100.0,-0.219,-100.35,0.63,21.0,4.67,-100.0
V2_switch_2.0,2912,43,30.23,-33.98,-3.39,-0.408,-40.31,0.602,32.8,3.94,-28.75
V2_switch_2.0,3045,66,43.94,-28.22,-2.7,-0.35,-33.86,0.698,33.5,6.25,-16.19
V2_switch_2.0,0050,54,44.44,37.75,2.72,0.306,-19.42,1.494,20.6,18.21,-33.83
V3_adx_exit,2330,67,53.73,134.19,7.29,0.685,-20.01,2.269,14.6,31.01,-44.8
V3_adx_exit,2454,68,55.88,295.42,12.13,0.479,-31.59,2.492,15.5,23.36,-61.67
V3_adx_exit,2308,64,31.25,-5.96,-0.51,0.057,-57.79,1.083,13.2,26.3,-46.99
V3_adx_exit,2303,60,45.0,188.51,9.17,0.438,-42.18,2.184,15.5,25.75,-46.23
V3_adx_exit,3034,72,43.06,5.61,0.45,0.109,-33.46,1.138,15.0,18.03,-57.73
V3_adx_exit,3008,58,44.83,22.52,1.69,0.178,-53.87,1.247,16.0,9.71,-70.61
V3_adx_exit,2379,71,50.7,39.67,2.84,0.258,-25.12,1.31,14.1,21.81,-57.57
V3_adx_exit,2317,64,39.06,37.52,2.74,0.213,-36.78,1.428,14.6,12.67,-54.42
V3_adx_exit,2382,56,50.0,53.25,3.66,0.271,-29.42,1.573,14.8,18.6,-47.65
V3_adx_exit,2474,63,41.27,-6.8,-0.58,-0.007,-31.39,0.991,15.2,3.1,-54.51
V3_adx_exit,2357,67,41.79,-26.13,-2.47,-0.146,-37.47,0.846,14.1,13.69,-37.8
V3_adx_exit,2882,79,39.24,-14.53,-1.3,-0.061,-36.62,0.934,14.2,10.01,-41.92
V3_adx_exit,2891,74,40.54,-12.26,-1.09,-0.081,-32.8,0.914,14.5,16.36,-34.36
V3_adx_exit,2884,72,40.28,-14.85,-1.37,-0.154,-23.74,0.844,15.6,15.2,-33.33
V3_adx_exit,2885,86,54.65,72.45,4.67,0.458,-23.76,1.597,15.8,17.56,-41.35
V3_adx_exit,2886,69,42.03,-25.36,-2.45,-0.428,-27.14,0.652,15.1,10.21,-31.22
V3_adx_exit,1303,60,48.33,127.2,7.05,0.532,-23.34,2.152,13.9,7.36,-66.84
V3_adx_exit,1301,59,42.37,-18.79,-1.71,-0.144,-37.56,0.828,15.5,0.61,-69.26
V3_adx_exit,2002,55,45.45,-7.8,-0.67,-0.028,-28.34,0.963,14.8,1.58,-53.1
V3_adx_exit,1216,66,33.33,-44.38,-4.78,-0.812,-47.17,0.439,15.8,7.55,-23.04
V3_adx_exit,2412,80,35.0,-25.04,-2.35,-0.452,-26.58,0.638,15.4,7.59,-16.41
V3_adx_exit,2603,62,35.48,8.39,0.68,0.135,-53.89,1.241,15.7,25.65,-70.54
V3_adx_exit,2207,47,42.55,-3.87,-0.41,0.037,-44.93,1.052,11.2,4.59,-100.0
V3_adx_exit,2912,54,33.33,-31.26,-3.06,-0.414,-35.05,0.599,15.4,3.94,-28.75
V3_adx_exit,3045,88,37.5,-44.57,-4.75,-0.809,-50.12,0.465,14.7,6.25,-16.19
V3_adx_exit,0050,67,43.28,1.33,0.11,0.053,-24.57,1.07,12.0,18.86,-33.83
V4_switch_1.5+adx,2330,67,55.22,162.76,8.32,0.773,-17.35,2.506,16.0,31.01,-44.8
V4_switch_1.5+adx,2454,65,58.46,312.34,12.52,0.491,-29.78,2.535,16.9,23.36,-61.67
V4_switch_1.5+adx,2308,62,33.87,28.49,2.11,0.191,-56.1,1.312,14.6,26.3,-46.99
V4_switch_1.5+adx,2303,57,47.37,222.51,10.18,0.475,-39.37,2.398,16.6,25.75,-46.23
V4_switch_1.5+adx,3034,70,41.43,9.75,0.77,0.128,-34.22,1.158,15.9,18.03,-57.73
V4_switch_1.5+adx,3008,55,45.45,17.29,1.33,0.157,-57.4,1.214,17.2,9.71,-70.61
V4_switch_1.5+adx,2379,65,49.23,32.79,2.4,0.23,-27.71,1.279,16.4,21.44,-57.57
V4_switch_1.5+adx,2317,63,34.92,59.3,4.04,0.267,-36.78,1.552,15.9,12.67,-54.42
V4_switch_1.5+adx,2382,55,49.09,47.08,3.3,0.252,-28.27,1.51,15.4,18.6,-47.65
V4_switch_1.5+adx,2474,63,41.27,-14.76,-1.31,-0.075,-31.24,0.915,16.0,3.1,-54.51
V4_switch_1.5+adx,2357,65,43.08,-22.88,-2.12,-0.114,-37.53,0.88,15.0,13.69,-37.8
V4_switch_1.5+adx,2882,75,38.67,7.69,0.62,0.109,-34.52,1.129,15.0,10.01,-41.92
V4_switch_1.5+adx,2891,68,48.53,3.48,0.29,0.076,-24.11,1.09,17.0,16.36,-34.36
V4_switch_1.5+adx,2884,69,37.68,-15.73,-1.46,-0.166,-23.73,0.831,16.6,15.2,-33.33
V4_switch_1.5+adx,2885,78,56.41,86.12,5.34,0.516,-21.29,1.714,18.4,17.56,-41.35
V4_switch_1.5+adx,2886,66,46.97,-12.2,-1.1,-0.165,-24.96,0.844,16.6,10.21,-31.22
V4_switch_1.5+adx,1303,55,45.45,126.41,7.02,0.526,-23.34,2.156,16.5,7.36,-66.84
V4_switch_1.5+adx,1301,57,42.11,-16.72,-1.51,-0.117,-35.35,0.86,16.9,0.61,-69.26
V4_switch_1.5+adx,2002,55,45.45,-8.93,-0.78,-0.039,-28.79,0.949,15.5,1.58,-53.1
V4_switch_1.5+adx,1216,63,36.51,-39.34,-4.08,-0.683,-42.38,0.495,16.7,7.55,-23.04
V4_switch_1.5+adx,2412,76,40.79,-10.81,-0.94,-0.15,-17.23,0.854,17.7,7.59,-16.41
V4_switch_1.5+adx,2603,61,36.07,-13.8,-1.25,0.073,-54.82,1.121,16.2,25.65,-70.54
V4_switch_1.5+adx,2207,44,47.73,2.89,0.3,0.087,-44.54,1.134,12.4,4.59,-100.0
V4_switch_1.5+adx,2912,51,39.22,-20.4,-1.88,-0.243,-26.45,0.741,17.0,3.94,-28.75
V4_switch_1.5+adx,3045,86,37.21,-42.2,-4.42,-0.746,-47.98,0.491,15.6,6.25,-16.19
V4_switch_1.5+adx,0050,62,40.32,2.79,0.23,0.067,-22.07,1.092,14.0,18.71,-33.83
