year,value_ret,n_rebal,hit_rate,value_ret_pct,twii_ret_pct,alpha_pct
2020,0.060443360151217096,14.0,0.2857142857142857,6.04,33.59,-27.55
2021,0.3391282486058045,12.0,0.25,33.91,18.99,14.92
2022,-0.28862472860237187,13.0,0.07692307692307693,-28.86,-23.97,-4.89
2023,0.32834480210683914,13.0,0.3076923076923077,32.83,22.02,10.81
2024,-0.03063068633396937,13.0,0.23076923076923078,-3.06,19.22,-22.28
2025,-0.002567508744022562,13.0,0.23076923076923078,-0.26,29.97,-30.23
