quarter_end,n,ic_ret_3m,ic_ret_6m,ic_ret_12m
2010-12-31,185,-0.06174700020612019,-0.16284265692033803,0.03239401948623405
2011-03-31,196,-0.0041646005975893375,-0.14724950303966072,0.028552170186577165
2011-06-30,197,-0.052877328661822584,-0.15172084570564842,0.001090329977967242
2011-09-30,198,-0.1199462960446568,-0.22630874659891415,-0.07916823647416352
2011-12-31,199,-0.03194549279459051,-0.14747220006721729,-0.009161557041726475
2012-03-31,200,-0.04542378593338821,-0.13919270335750764,0.01739947526330518
2012-06-30,200,-0.01599522985395544,-0.117756245790425,0.0395037940221342
2012-09-30,200,0.017963120130782603,-0.052279706339615255,0.09720298410938649
2012-12-31,204,0.04418946324513181,-0.0474534535525466,0.11401177118418399
2013-03-31,206,0.09744688881032228,0.03966094281271641,0.16093528290249484
2013-06-30,207,0.06506522486822447,0.025369584040995964,0.1485085539626584
2013-09-30,207,0.057148360003353035,0.07192206607293058,0.15909073192215284
2013-12-31,213,0.07644607668887611,0.06330643673802774,0.14574249264966965
2014-03-31,215,0.054738880697892955,0.034072166791717234,0.1519700004907096
2014-06-30,216,0.04268439012557484,-8.481685607178401e-05,0.15516321895984275
2014-09-30,216,0.08257544301299088,0.022288894237312937,0.15331509907424923
2014-12-31,219,0.01645906966474015,-0.044638375157349364,0.08884605451030182
2015-03-31,221,-0.006518187629462869,-0.07329179434204584,0.07547884797967416
2015-06-30,222,-0.10033416489915371,0.09430683183594686,0.03890766580129378
2015-09-30,222,0.2790163533797636,0.22274875336650707,-0.18412509844154903
2015-12-31,225,-0.04747708689761826,-0.11469768407212612,-0.30360446998151686
2016-03-31,227,-0.15241960049158684,-0.300601076041605,-0.26075856061947833
2016-06-30,227,-0.3365604224869695,-0.2950960420370812,-0.13465134233141424
2016-09-30,227,-0.13674135888069672,0.1282192886204569,0.15944725568870816
2016-12-31,229,0.2432519300973079,0.27379709147080433,0.18346172041649333
2017-03-31,232,0.20212627885422604,0.24959607626862487,-0.012399991042233193
2017-06-30,233,0.19069267082753028,-0.016540751758399908,-0.042874739146164575
2017-09-30,233,-0.16021741459184505,-0.20262736624908295,0.037796838304964574
2017-12-31,234,-0.041055855792975826,0.07023439031443075,0.18306454266176536
2018-03-31,235,0.1190963447985474,0.1957919218727078,0.28721908844114347
2018-06-30,235,0.19930566769353558,0.2575395800217903,0.2740289135063931
2018-09-30,235,0.15695324683581383,0.27956169138947734,0.15601324522222418
2018-12-31,237,0.2655942729066065,0.24589157543921977,0.13551872172840668
2019-03-31,237,0.17769527190472895,-0.08404855695196756,0.1868385921721714
2019-06-30,237,-0.2968774522168056,-0.02282170636724566,0.18642050578462738
2019-09-30,237,0.21292294956978725,0.23485442795830822,0.20438421829495915
2019-12-31,238,0.26471966972112454,0.2326525929909298,-0.03212465522639209
2020-03-31,240,-0.08597761236633412,-0.13126993545210602,-0.2647351929961508
2020-06-30,240,-0.15419344540398588,-0.267708678829817,-0.17228885073238057
2020-09-30,240,-0.2211358025097093,-0.2257697763119145,-0.11090284638502089
2020-12-31,245,-0.10403470045097239,0.11971056649593605,0.0025646844014713052
2021-03-31,246,0.19354687461218287,0.06540352575584446,0.08292247708854696
2021-06-30,247,-0.1086288877850752,-0.16097521291887273,-0.10952781805374832
2021-09-30,247,-0.055487775416937016,0.028532926268307418,-0.04825661279795678
2021-12-31,248,0.12834721426698928,0.08452462110367007,0.08228131828038968
2022-03-31,249,-0.023431895294186416,-0.03737840055418087,0.23681225083484286
2022-06-30,249,0.04319582326961697,0.12222132556441459,0.21252458711188113
2022-09-30,249,0.036457750510359335,0.2754110503141064,0.1725079693772553
2022-12-31,250,0.34483993806477725,0.22943403697457992,0.21833122453366652
2023-03-31,250,-0.22314856888430043,-0.12925612231652078,-0.22291524733524276
2023-06-30,250,0.12491040761476574,0.0589121549007059,-0.05525889917926406
2023-09-30,250,-0.020070657955060228,-0.13150900063584545,-0.23590589211772964
2023-12-31,250,-0.20464680417820807,-0.12798648188118114,-0.24171631514452943
2024-03-31,251,0.07414653460914042,-0.14495393926210381,0.016900094332540964
2024-06-30,251,-0.28042876563453323,-0.2740384558291081,-0.1274335660476539
2024-09-30,251,-0.006649596929505867,0.1954007888819177,-0.0031546323851327973
2024-12-31,251,0.2720232369915947,0.055390290132754,-0.18677933728514406
