date,Adj Close,Close,High,Low,Open,Volume,ret,nav
2016-01-15,7761.97412109375,7762.009765625,7842.33984375,7708.66015625,7809.0,1991800,,1.0
2016-01-18,7811.14453125,7811.18017578125,7834.25,7627.89013671875,7678.669921875,1942500,0.006334752421210066,1.00633475242121
2016-01-19,7854.84326171875,7854.8798828125,7854.8798828125,7786.77001953125,7816.4501953125,1581200,0.005594507622131317,1.0119646998640461
2016-01-20,7699.0849609375,7699.1201171875,7835.169921875,7687.60009765625,7835.169921875,2046500,-0.019829681414457068,0.9918977622630655
2016-01-21,7663.974609375,7664.009765625,7748.3701171875,7664.009765625,7713.169921875,1763600,-0.00456030702574961,0.9873744039289919
2016-01-22,7756.14453125,7756.18017578125,7774.1201171875,7706.14013671875,7729.009765625,1637300,0.012026395186715,0.9992489587078891
2016-01-25,7894.11279296875,7894.14990234375,7899.66015625,7813.72998046875,7813.72998046875,1623500,0.01778836017674168,1.017023959091619
2016-01-26,7828.6337890625,7828.669921875,7848.6298828125,7799.580078125,7832.10009765625,1524700,-0.008294747538213021,1.0085880021106401
2016-01-27,7849.7939453125,7849.830078125,7888.6298828125,7830.330078125,7863.66015625,1478800,0.0027029056610081703,1.01131412033117
2016-01-28,7905.06298828125,7905.10009765625,7921.06005859375,7821.1201171875,7825.22021484375,1830200,0.007040919227700337,1.0184347013662545
2016-01-29,8080.5625,8080.60009765625,8080.60009765625,7876.81982421875,7880.77978515625,2552200,0.022200857399899743,1.0410448249423963
2016-02-01,8156.92236328125,8156.9599609375,8166.7998046875,8110.8701171875,8164.240234375,1818300,0.009449776298594115,1.050882465654911
2016-02-02,8131.20263671875,8131.240234375,8156.25,8091.14013671875,8141.52001953125,1768200,-0.003153101974959771,1.0475689260770038
2016-02-03,8062.96533203125,8063.0,8117.22021484375,8036.60009765625,8117.22021484375,1781300,-0.008392352508109768,1.0387773583728237
2016-02-15,8066.484375,8066.509765625,8074.7998046875,7953.990234375,7976.64990234375,1935700,0.00043529277254128473,1.039229530649203
2016-02-16,8212.04296875,8212.0703125,8227.1904296875,8090.91015625,8090.91015625,2009100,0.01804504687954367,1.057982476248374
2016-02-17,8214.22265625,8214.25,8253.7998046875,8196.1298828125,8240.73046875,1847300,0.0002654248462390374,1.0582632910844558
2016-02-18,8314.642578125,8314.669921875,8337.9697265625,8261.740234375,8261.740234375,2044500,0.012225087119944078,1.071200652013802
2016-02-19,8325.0126953125,8325.0400390625,8325.0400390625,8280.3896484375,8291.830078125,1715700,0.0012472073197058453,1.0725366613078673
2016-02-22,8326.65234375,8326.6796875,8396.6201171875,8296.1796875,8315.7900390625,1697400,0.00019695382001838624,1.0727479015004215
2016-02-23,8334.6123046875,8334.6396484375,8361.7900390625,8311.9404296875,8333.58984375,1849900,0.0009559585856833142,1.0737734040671347
2016-02-24,8282.8330078125,8282.8603515625,8382.25,8264.3896484375,8332.66015625,1825000,-0.006212541760543533,1.0671025419530067
2016-02-25,8365.8330078125,8365.8603515625,8388.6298828125,8304.1796875,8304.1796875,2028600,0.010020692910069684,1.0777956488294724
2016-02-26,8411.1328125,8411.16015625,8432.740234375,8347.7998046875,8380.5302734375,1967500,0.0054148411261776275,1.0836317410343697
2016-03-01,8485.6630859375,8485.6904296875,8489.009765625,8378.0595703125,8381.3798828125,1945500,0.008860879124043208,1.0932336709066517
2016-03-02,8544.0224609375,8544.0498046875,8586.25,8540.169921875,8544.66015625,2308200,0.0068773867587519355,1.100752261679167
2016-03-03,8611.7626953125,8611.7900390625,8630.76953125,8561.740234375,8569.0498046875,2574500,0.007928352002095851,1.1094794130768626
2016-03-04,8643.5224609375,8643.5498046875,8648.9404296875,8584.0595703125,8611.3701171875,2396100,0.003687940077607532,1.1135711066696292
2016-03-07,8659.5224609375,8659.5498046875,8727.8798828125,8632.2099609375,8656.740234375,2424900,0.001851091317981668,1.1156324284771406
2016-03-08,8664.2822265625,8664.3095703125,8668.509765625,8575.7001953125,8655.8603515625,2643600,0.0005496550897396979,1.1162456415197317
2016-03-09,8634.0830078125,8634.1103515625,8657.169921875,8588.41015625,8649.099609375,2198200,-0.0034854731937874472,1.1123549972585327
2016-03-10,8660.6728515625,8660.7001953125,8680.4296875,8614.9697265625,8633.66015625,2165700,0.0030796275084887803,1.115780636307295
