quarter_end,n_total,top_dec_ret_3m,bot_dec_ret_3m,f_ge_8_ret_3m,f_ge_7_ret_3m,f_le_5_ret_3m,n_ge_8,n_ge_7,n_le_5,top_dec_ret_6m,bot_dec_ret_6m,f_ge_8_ret_6m,f_ge_7_ret_6m,f_le_5_ret_6m,top_dec_ret_12m,bot_dec_ret_12m,f_ge_8_ret_12m,f_ge_7_ret_12m,f_le_5_ret_12m
2015-12-31,1270,0.13436005929455216,0.1489940902631111,0.13436005929455216,0.14055686625384756,0.15365248033759907,72,222,825,0.2242311855681719,0.27665095866407957,0.2242311855681719,0.2613863170477946,0.283997381750502,0.34915850409170984,0.47178508732425123,0.34915850409170984,0.38536100342939406,0.4821516449955271
2016-03-31,1273,0.09614255146839953,0.15533418626194284,0.09614255146839953,0.09013922321596933,0.11679186257514645,71,198,864,0.09997134081035361,0.21142481481223638,0.09997134081035361,0.09798255379718468,0.16707625189418043,0.2048789703966054,0.4060537221830814,0.2048789703966054,0.2187725041496729,0.3224277443154567
2016-06-30,1275,-0.0017509101469453357,0.061428541049394395,-0.0017509101469453357,0.02150827130600572,0.04210913040878688,79,243,790,0.10093148453882148,0.17694437972390625,0.10093148453882148,0.105385977075861,0.1615667908177149,0.14643529812716566,0.22171390403726904,0.14643529812716566,0.15601411163055431,0.21022412188769535
2016-09-30,1280,0.05751531975087723,0.10294969514747693,0.05751531975087723,0.07562557737847694,0.10755574598245547,108,275,731,0.06853733609683166,0.10059194781922609,0.06853733609683166,0.08878020724762375,0.10092598830233451,0.1855518967897942,0.2787329589980255,0.1855518967897942,0.20412798699174955,0.2544777913934914
2016-12-31,1303,0.042839030551465804,0.006578735209163434,0.042839030551465804,0.046589640767978564,0.017721662581634007,92,276,728,0.03257062388101224,0.04208563520358583,0.03257062388101224,0.06423643328406864,0.0555223075838225,0.16329348345684655,0.18461606885253273,0.16329348345684655,0.20515663608768422,0.1907347452860143
2017-03-31,1310,0.02923631225478864,0.04083726383375017,0.02923631225478864,0.016701998984296192,0.028396435206636924,84,266,753,0.12735074165061577,0.12106843736837379,0.12735074165061577,0.09897420431889897,0.10848705904061004,0.27150249922877034,0.3115968732527975,0.27150249922877034,0.2206536739300893,0.2219138280579692
2017-06-30,1312,0.07686981754532302,0.07325624982019156,0.07686981754532302,0.08859241074324799,0.07044263074926459,79,240,812,0.11117269494556788,0.12338147503793356,0.11117269494556788,0.13210444509875752,0.1089124423613553,0.2390483685816708,0.3182259192490403,0.2390483685816708,0.2437793753481006,0.2877425815592343
2017-09-30,1317,0.06946653378560605,0.058049160212447444,0.06946653378560605,0.06626798556870094,0.0504310369004104,95,269,782,0.0928616502396842,0.15007843016503317,0.0928616502396842,0.09005165021702742,0.1198874082300988,0.03429676108402372,0.13543168461001462,0.03429676108402372,0.0705002229401222,0.1361948955797518
2017-12-31,1350,0.05027576937773141,0.08346393627716257,0.05027576937773141,0.03489004794921883,0.05994844233894578,49,204,882,0.08177737519394716,0.17113665723515845,0.08177737519394716,0.06884345575117966,0.14280425661470433,0.05943680179137853,0.2435231665559752,0.05943680179137853,0.035519976860600454,0.1675823370815912
2018-03-31,1355,0.05917730355312403,0.07456331513725367,0.05917730355312403,0.06494533491523319,0.0726375389965204,86,245,830,-0.0249354638552636,0.038877513854091175,-0.0249354638552636,-0.004434383434871894,0.022434693328306242,0.00921885087532035,0.16673663102940678,0.00921885087532035,0.03316633613213274,0.12454710600347815
2018-06-30,1358,-0.07090757992729062,-0.06385825242271048,-0.07090757992729062,-0.06563114309345751,-0.057518985083589595,137,345,730,-0.06104282170767889,-0.01196288958584731,-0.06104282170767889,-0.039449555083973374,-0.012578610223880921,-0.0491957481291762,0.05967869112220472,-0.0491957481291762,-0.028069822046847864,0.04139346075681091
2018-09-30,1360,0.029985644509119645,0.07333978298942281,0.029985644509119645,0.044349724652858705,0.07116907739873281,145,361,691,0.016534434206934366,0.11794438188231418,0.016534434206934366,0.035867076607580026,0.09011230912801876,0.14039702657828698,0.2550235300907309,0.14039702657828698,0.16294402840647257,0.19766665167716943
