group,n,fwd_5d_mean,fwd_5d_median,fwd_5d_t,fwd_10d_mean,fwd_10d_median,fwd_10d_t,fwd_20d_mean,fwd_20d_median,fwd_20d_t
all,2741,0.002863466843103256,0.004047035756107098,6.060376911809521,0.005657884973364367,0.008169732475445501,8.452558876176886,0.010914664071520454,0.01334800685083537,11.572591480206542
signal=True,545,0.006308366238891251,0.00699474794108923,8.239834614591421,0.009165059964573565,0.011399424478528597,7.869254247233997,0.01319996062223705,0.015561198161345158,7.9177475948696605
signal=False,2196,0.0020124479404063124,0.0032232898973778568,3.6155412021042315,0.004789502677688085,0.006983794354468609,6.1188743567265576,0.0103462240850641,0.012107310846748431,9.387277884824318
c1_only,1461,0.004417595388555488,0.004657550714747272,8.045758794045655,0.008055829397704366,0.009921391817084846,10.088859412828647,0.014476025218462887,0.015670711616065036,12.374057724787505
c2_only,1406,0.0038512913607254232,0.004459518110074612,6.6402785765118075,0.006424392339431499,0.00852791138055009,7.514788226514233,0.011873350320594592,0.013164891136171475,9.881035634825693
c3_only,1319,0.003803923588455237,0.0056960689268290565,5.561624680226363,0.006225824821611498,0.01045569947028857,6.371099817823579,0.010599707335708378,0.01568438651242443,7.675247139613324
regime_bull & signal,396,0.005159324228367609,0.005868069807091203,5.923448318372269,0.0072659483368427025,0.009106545438307911,5.347998233904537,0.0128543647543039,0.014569027485932695,6.6993059138245625
regime_bear & signal,149,0.009339060937789176,0.00928404122080817,6.018007724136018,0.014174126204158996,0.018128873613312724,6.398423956740799,0.014111498716852681,0.020675063331973886,4.211232945553179
