date,eq_A_BuyHold,alloc_A_BuyHold,eq_B_Always50,alloc_B_Always50,eq_C1_CompositeTop5_10,alloc_C1_CompositeTop5_10,eq_C2_MdDist_Rank,alloc_C2_MdDist_Rank,eq_C3_AND_combo,alloc_C3_AND_combo,eq_C4_OR_combo,alloc_C4_OR_combo
2011-07-26,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-07-27,1.0026437759260607,1.0,1.0013218879630303,0.5,1.0026437759260607,1.0,1.0026437759260607,1.0,1.0026437759260607,1.0,1.0026437759260607,1.0
2011-07-28,0.9969252601702935,1.0,0.9984663997376023,0.5,0.9969252601702935,1.0,0.9969252601702935,1.0,0.9969252601702935,1.0,0.9969252601702935,1.0
2011-07-29,0.9829365584746381,1.0,0.9914612363732602,0.5,0.9829365584746381,1.0,0.9829365584746381,1.0,0.9829365584746381,0.5,0.9829365584746381,1.0
2011-08-01,0.9894408158067098,1.0,0.9947415696564953,0.5,0.9894408158067098,1.0,0.9894408158067098,1.0,0.986188687140674,0.5,0.9894408158067098,1.0
2011-08-02,0.9761753147514737,1.0,0.9880732853431952,0.5,0.9761753147514737,1.0,0.9761753147514737,0.5,0.979577737369383,0.5,0.9761753147514737,0.5
2011-08-03,0.9616362528200277,1.0,0.9807151507584924,0.5,0.9616362528200277,1.0,0.9689057837857508,0.5,0.9722828687248584,0.5,0.9689057837857508,0.5
2011-08-04,0.9457633632923369,1.0,0.9726212466442952,0.5,0.9457633632923369,0.5,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-05,0.8929856360526891,1.0,0.9454829894146102,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-08,0.858834873735536,1.0,0.9274037709239644,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-09,0.8520486136380175,1.0,0.9237397352650868,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-10,0.8797030783785751,1.0,0.9387303869306459,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-11,0.8777438414234773,1.0,0.9376850369084897,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-12,0.8684115966814644,1.0,0.9327002646763303,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-15,0.889149033913107,1.0,0.9438365814117207,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-16,0.8867838494287171,1.0,0.9425812532535547,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-17,0.8803216650898772,1.0,0.9391468572523288,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-18,0.8659042737064262,1.0,0.9314564593304724,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-19,0.8349738010334038,1.0,0.9148204468772071,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-22,0.8315204042646097,1.0,0.9129286282528607,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-23,0.8585426369987629,1.0,0.9277625215258332,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-24,0.8531641165126266,1.0,0.9248564400377082,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-25,0.8426959009533513,1.0,0.9191825043972404,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-26,0.8465882213812679,1.0,0.921305306249487,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-29,0.8617015228149335,1.0,0.9295288820411903,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-30,0.8694543246488611,1.0,0.9337104072158448,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-08-31,0.8802761807728695,1.0,0.9395212240706922,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-09-01,0.8821410377701768,1.0,0.9405164076091634,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-09-02,0.8820614402154138,1.0,0.9404739751618252,0.5,0.919374499672513,0.0,0.9609093431234569,0.0,0.9642585567671516,0.0,0.9609093431234569,0.0
2011-09-05,0.858695009460738,1.0,0.9280170651240013,0.5,0.919374499672513,0.0,0.9609093431234569,0.5,0.9642585567671516,0.0,0.9609093431234569,0.5
2011-09-06,0.8377290135361327,1.0,0.9166877795272602,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-07,0.8561296939815153,1.0,0.9267552826378832,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-08,0.858331134924678,1.0,0.9279468059770651,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-09,0.8654039462193436,1.0,0.9317700347888332,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-13,0.8404785404992359,1.0,0.9183515923051748,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-14,0.8219550523979332,1.0,0.9082317177496788,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-15,0.8398315260898043,1.0,0.9181081582929355,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-16,0.8616321592314968,1.0,0.9300244406195404,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-19,0.8506567935375882,1.0,0.9241011714897204,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-20,0.8520179117240374,1.0,0.92484048899132,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-21,0.8569108871261186,1.0,0.9274960797372508,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-22,0.8307141947456514,1.0,0.9133188007167603,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-23,0.8012312604613927,1.0,0.8971114707154023,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-26,0.7820027654464737,1.0,0.8863467238228858,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-27,0.8062038334182371,1.0,0.900061852629074,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-28,0.8126887599155809,1.0,0.903681802519795,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-29,0.8167402754530235,1.0,0.9059343751185557,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-09-30,0.82160368604905,1.0,0.9086316406824537,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-10-03,0.7975640874026633,1.0,0.8953386501991382,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-10-04,0.8014188832690484,1.0,0.8975023306997498,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-10-05,0.794741785532348,1.0,0.8937635176357539,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-10-06,0.81098537224365,1.0,0.9028972548208386,0.5,0.919374499672513,0.0,0.9491785067089693,0.0,0.9642585567671516,0.0,0.9491785067089693,0.0
2011-10-07,0.8200776872134483,1.0,0.9079586446480592,0.5,0.919374499672513,0.5,0.9491785067089693,1.0,0.9642585567671516,0.0,0.9491785067089693,0.5
2011-10-11,0.8413131777163229,1.0,0.9197142060272144,0.5,0.931277864902897,0.5,0.9737569966240409,1.0,0.9642585567671516,0.0,0.9614677516665051,0.5
2011-10-12,0.8394528691507163,1.0,0.9186973717134891,0.5,0.9302482458294496,0.5,0.9716038287792722,1.0,0.9642585567671516,0.0,0.9604047547104638,0.5
2011-10-13,0.8446812913907279,1.0,0.9215583648356918,0.5,0.933145210504874,0.5,0.9776553359615747,1.0,0.9642585567671516,0.0,0.96339563231865,0.5
2011-10-14,0.8366931082162865,1.0,0.9172007585412953,0.5,0.9287328155898684,0.5,0.9684096121782614,1.0,0.9642585567671516,0.0,0.95884019770748,0.5
2011-10-17,0.8484098682774175,1.0,0.9236228391764675,0.5,0.9352356416884144,0.5,0.9819708844719642,1.0,0.9642585567671516,0.0,0.9655538304738931,0.5
2011-10-18,0.8368523033258127,1.0,0.9173317578526249,0.5,0.9288654619686665,0.5,0.9685938685952954,1.0,0.9642585567671516,0.0,0.958977144176838,0.5
2011-10-19,0.8361575303835233,1.0,0.916950963486686,0.5,0.9284798798370059,0.5,0.9677897209466684,1.0,0.9642585567671516,0.0,0.9585790623591742,0.5
2011-10-20,0.8237573684593547,1.0,0.9101518018391541,0.5,0.9215952316487448,0.5,0.9534374621769839,1.0,0.9642585567671516,0.0,0.9514712297089561,0.5
2011-10-21,0.8249160814351207,1.0,0.9107919203637873,0.5,0.9222433984477336,0.5,0.9547785856695387,1.0,0.9642585567671516,0.0,0.952140408585009,0.5
2011-10-24,0.8494537333527395,1.0,0.924337961963792,0.5,0.9359597557862055,0.5,0.9831790801208014,1.0,0.9642585567671516,0.0,0.9663014186855229,0.5
2011-10-25,0.8518314260243064,1.0,0.9256316119366621,0.5,0.9372696709498194,0.5,0.9859310813209305,1.0,0.9642585567671516,0.0,0.9676537982863899,0.5
2011-10-26,0.8569040644785673,1.0,0.9283876704511407,0.5,0.9400603816641814,0.5,0.9918022804379926,1.0,0.9642585567671516,0.0,0.9705349774244434,0.5
2011-10-27,0.8602460246706931,1.0,0.9301980450112124,0.5,0.9418935182450121,0.5,0.9956703490784423,1.0,0.9642585567671516,0.0,0.9724275400776454,0.5
2011-10-28,0.8660282184702711,1.0,0.9333242352021535,0.5,0.9450590143384952,0.5,1.0023628053685703,1.0,0.9642585567671516,0.0,0.9756956542749345,0.5
2011-10-31,0.8628022432865144,1.0,0.931585907999329,0.5,0.9432988309735542,0.5,0.9986289806891026,1.0,0.9642585567671516,0.0,0.9738784098131144,0.5
2011-11-01,0.8667047976857577,1.0,0.9336927434368955,0.5,0.9454321558642002,0.5,1.0031458951409649,1.0,0.9642585567671516,0.0,0.9760808921908067,0.5
2011-11-02,0.8640257714140162,1.0,0.932249698817735,0.5,0.9439709677004375,0.5,1.0000451228657354,1.0,0.9642585567671516,0.0,0.9745723356670016,0.5
2011-11-03,0.8483177625354775,1.0,0.9237755380747754,0.5,0.9353902604852727,0.5,0.9818642789735375,1.0,0.9642585567671516,0.0,0.9657134616565758,0.5
2011-11-04,0.8645693090022557,1.0,0.9326240979805732,0.5,0.9443500742214682,0.5,1.00067422691818,1.0,0.9642585567671516,0.0,0.9749637319496304,0.5
2011-11-07,0.8666718215559274,1.0,0.9337581041576627,0.5,0.9454983383718594,0.5,1.0031077277402936,1.0,0.9642585567671516,0.0,0.9761492201831674,0.5
2011-11-08,0.8642918546685101,1.0,0.9324760079169178,0.5,0.9442001222066024,0.5,1.0003530943056351,1.0,0.9642585567671516,1.0,0.9748089188352804,0.5
2011-11-09,0.8598650935157555,1.0,0.9300880133145011,0.5,0.9417821031087519,1.0,0.9952294497948252,1.0,0.9593197825588198,1.0,0.972312513118884,1.0
2011-11-10,0.831075795065861,1.0,0.9145177909610744,0.5,0.9102501264700581,1.0,0.9619079928914901,1.0,0.9272006237079231,0.5,0.939758342310189,0.5
2011-11-11,0.8377403846153844,1.0,0.9181846560946026,0.5,0.9175496333457743,1.0,0.9696217561788921,1.0,0.9309183421300953,0.5,0.9435264123613337,0.5
2011-11-14,0.8557476257186519,1.0,0.9280528520078313,0.5,0.9372723753495011,1.0,0.990463789179967,1.0,0.9409233934216639,0.5,0.9536669689745212,0.5
2011-11-15,0.8518143694054289,1.0,0.9259200562924479,0.5,0.9329644084013521,1.0,0.9859113395619628,1.0,0.9387610193956026,0.5,0.9514753084231516,0.5
2011-11-16,0.8400407539480386,1.0,0.919521111241379,0.5,0.9200691526103324,1.0,0.9722842614050335,1.0,0.9322733316752919,0.5,0.9448997534660338,0.5
