ticker,entry_date,entry_price,initial_sl,atr_at_entry,exit_date,exit_price,exit_reason,phase_at_exit,holding_days,gross_return_pct,net_return_pct
0050,2014-04-23,9.8231,9.7293,0.0626,2014-04-25,9.6718,stop_loss,A,2,-1.541,-2.126
0050,2014-05-23,9.9984,9.8926,0.0706,2014-06-03,10.0622,trailing_stop,B,11,0.637,0.052
0050,2014-09-02,10.9544,10.8162,0.0922,2014-09-12,10.7951,stop_loss,A,10,-1.455,-2.04
0050,2014-10-24,11.1046,10.8131,0.1944,2014-12-01,11.7651,trailing_stop,B,38,5.948,5.363
0050,2014-12-29,11.8355,11.6459,0.1264,2015-01-06,11.4304,stop_loss,A,8,-3.423,-4.008
0050,2015-01-29,12.0293,11.834,0.1302,2015-02-09,12.0645,trailing_stop,B,11,0.293,-0.292
0050,2015-02-10,12.0205,11.8563,0.1094,2015-02-12,12.1526,trailing_stop,B,2,1.099,0.514
0050,2015-04-29,12.6457,12.4127,0.1554,2015-05-07,12.4079,stop_loss,A,8,-1.88,-2.465
0050,2015-05-13,12.5224,12.2912,0.1541,2015-06-04,12.0821,stop_loss,A,22,-3.516,-4.101
0050,2015-06-25,12.4079,12.2428,0.1101,2015-06-29,12.1173,stop_loss,A,4,-2.342,-2.927
0050,2015-07-02,12.3463,12.1689,0.1183,2015-07-08,11.8884,stop_loss,A,6,-3.709,-4.294
0050,2015-10-22,11.5361,11.3502,0.1239,2015-10-29,11.4976,trailing_stop,B,7,-0.334,-0.919
0050,2015-11-03,11.6792,11.4766,0.1351,2015-11-10,11.4249,trailing_stop,B,7,-2.177,-2.762
0050,2016-06-14,11.652,11.4476,0.1362,2016-06-23,11.77,trailing_stop,B,9,1.013,0.428
0050,2016-10-11,13.1381,12.9717,0.111,2016-10-17,13.1381,trailing_stop,B,6,0.0,-0.585
0050,2016-10-18,13.2301,13.0419,0.1254,2016-10-31,13.3496,trailing_stop,B,13,0.903,0.318
0050,2016-12-12,13.3956,13.2281,0.1116,2016-12-19,13.2117,stop_loss,A,7,-1.373,-1.958
0050,2016-12-20,13.1933,13.0229,0.1136,2016-12-22,13.0186,stop_loss,A,2,-1.324,-1.909
0050,2017-01-16,13.2393,13.0905,0.0992,2017-02-24,13.7701,trailing_stop,B,39,4.009,3.424
0050,2017-03-01,13.6195,13.4592,0.1069,2017-04-07,13.9489,trailing_stop,B,37,2.419,1.834
0050,2017-05-18,14.2878,14.1426,0.0968,2017-06-13,14.5419,trailing_stop,B,26,1.779,1.194
0050,2017-06-23,15.0031,14.8307,0.115,2017-07-21,15.4549,trailing_stop,B,28,3.011,2.426
0050,2017-07-26,15.4643,15.2949,0.1129,2017-07-31,15.4454,trailing_stop,B,5,-0.122,-0.707
0050,2017-08-01,15.5308,15.3541,0.1178,2017-08-10,15.4929,trailing_stop,B,9,-0.245,-0.83
0050,2017-09-12,15.7302,15.5736,0.1044,2017-09-22,15.4929,stop_loss,A,10,-1.509,-2.094
0050,2017-10-13,15.958,15.7566,0.1343,2017-11-03,16.0814,trailing_stop,B,21,0.773,0.188
0050,2018-03-22,16.2722,16.0229,0.1662,2018-03-23,15.9898,stop_loss,A,1,-1.736,-2.321
0050,2018-03-27,16.243,15.9822,0.1739,2018-04-03,15.873,stop_loss,A,7,-2.278,-2.863
0050,2018-05-14,16.0677,15.834,0.1558,2018-05-17,15.8145,stop_loss,A,3,-1.576,-2.161
0050,2018-05-25,15.9411,15.7377,0.1356,2018-05-30,15.6587,stop_loss,A,5,-1.772,-2.357
0050,2018-07-12,16.0969,15.8267,0.1802,2018-08-02,16.6632,trailing_stop,B,21,3.518,2.933
0050,2018-09-03,16.9774,16.7386,0.1592,2018-09-13,16.6828,stop_loss,A,10,-1.735,-2.32
0050,2019-01-29,15.0841,14.8828,0.1343,2019-02-15,15.1955,trailing_stop,B,17,0.738,0.153
0050,2019-02-18,15.317,15.1092,0.1385,2019-03-08,15.3878,trailing_stop,B,18,0.463,-0.122
0050,2019-03-27,15.894,15.6934,0.1338,2019-04-26,16.6938,trailing_stop,B,30,5.032,4.447
0050,2019-06-24,16.4407,16.2064,0.1562,2019-07-08,16.5217,trailing_stop,B,14,0.493,-0.092
0050,2019-07-16,16.876,16.6428,0.1555,2019-07-31,16.9078,trailing_stop,B,15,0.188,-0.397
0050,2019-09-27,17.2753,17.0883,0.1247,2019-11-11,18.6128,trailing_stop,B,45,7.742,7.157
0050,2020-04-29,17.6469,17.2166,0.2869,2020-05-25,17.6047,trailing_stop,B,26,-0.239,-0.824
0050,2020-06-15,18.3427,17.9609,0.2545,2020-06-17,18.7643,trailing_stop,B,2,2.299,1.714
0050,2020-06-18,18.7432,18.3513,0.2613,2020-08-03,21.6614,trailing_stop,B,46,15.569,14.984
0050,2020-10-27,22.4047,22.0475,0.2382,2020-10-30,21.8738,stop_loss,A,3,-2.37,-2.955
0050,2020-12-04,24.9106,24.451,0.3064,2020-12-11,25.2186,trailing_stop,B,7,1.236,0.651
0050,2021-09-07,30.8704,30.2235,0.4312,2021-09-22,29.8479,stop_loss,A,15,-3.312,-3.897
0050,2021-11-05,30.0437,29.6194,0.2828,2021-11-23,30.6963,trailing_stop,B,18,2.172,1.587
0050,2021-11-24,30.5658,30.1754,0.2603,2021-11-26,30.0545,stop_loss,A,2,-1.673,-2.258
0050,2022-01-07,31.8928,31.4045,0.3255,2022-01-12,32.5346,trailing_stop,B,5,2.012,1.427
0050,2022-01-18,32.6978,32.0964,0.4009,2022-01-21,31.7142,stop_loss,A,3,-3.008,-3.593
0050,2022-08-09,26.9617,26.4719,0.3265,2022-08-23,26.7467,trailing_stop,B,14,-0.797,-1.382
0050,2023-04-13,27.6496,27.2641,0.257,2023-04-19,27.5455,trailing_stop,B,6,-0.377,-0.962
0050,2023-06-20,30.2063,29.7713,0.29,2023-07-06,29.5932,stop_loss,A,16,-2.03,-2.615
0050,2023-12-04,30.8235,30.4148,0.2725,2024-01-03,31.117,trailing_stop,B,30,0.952,0.367
0050,2024-01-31,32.275,31.7695,0.337,2024-03-19,37.0076,trailing_stop,B,48,14.663,14.078
0050,2024-07-02,44.5268,43.4753,0.701,2024-07-17,46.8671,trailing_stop,B,15,5.256,4.671
0050,2024-10-08,45.2131,44.2209,0.6614,2024-10-24,47.0361,trailing_stop,B,16,4.032,3.447
0050,2024-10-28,47.3379,46.2268,0.7408,2024-11-01,45.9978,stop_loss,A,4,-2.831,-3.416
0050,2025-05-22,44.4549,43.4267,0.6854,2025-06-02,43.0595,stop_loss,A,11,-3.139,-3.724
0050,2025-06-30,47.3533,46.8581,0.3301,2025-07-08,47.3435,trailing_stop,B,8,-0.021,-0.606
0050,2025-07-29,49.7478,48.9322,0.5438,2025-08-04,50.093,trailing_stop,B,6,0.694,0.109
0050,2025-08-12,52.1637,51.1601,0.6691,2025-08-20,50.9804,stop_loss,A,8,-2.268,-2.853
0050,2025-08-22,51.0298,50.0366,0.6621,2025-09-01,51.2763,trailing_stop,B,10,0.483,-0.102
0050,2025-11-03,63.2572,61.778,0.9861,2025-11-07,61.6794,stop_loss,A,4,-2.494,-3.079
0050,2025-12-24,62.9613,61.8995,0.7079,2026-01-30,72.6,trailing_stop,B,37,15.309,14.724
0050,2026-03-04,75.6,72.9911,1.7393,2026-03-06,76.85,trailing_stop,B,2,1.653,1.068
0050,2026-03-10,75.2,71.8196,2.2536,2026-03-12,76.6,trailing_stop,B,2,1.862,1.277
