stock_id,entry_date,regime,is_bear,is_volatile,use_3stage,year,ret_3stage,ret_bh,ret_combo,hit_S1,hit_S2,hit_S3
2317,2015-07-06,neutral,True,False,True,2015,-0.01869158399598958,-0.08084110993317484,-0.01869158399598958,False,False,True
2412,2015-07-06,neutral,True,False,True,2015,-0.006103825888995162,-0.003051912944497581,-0.006103825888995162,False,False,True
2881,2015-07-06,neutral,True,False,True,2015,0.0081300635291508,-0.14959354135142944,0.0081300635291508,False,False,True
2886,2015-07-06,neutral,True,False,True,2015,-0.037906096232959596,-0.1913357240129253,-0.037906096232959596,False,False,True
2891,2015-07-06,neutral,True,False,True,2015,-0.01467506865706647,-0.2113459361944443,-0.01467506865706647,False,False,True
4938,2015-07-06,neutral,True,False,True,2015,-0.07634406961420526,-0.10967738654023862,-0.07634406961420526,False,False,True
4958,2015-07-06,neutral,True,False,True,2015,-0.032258064516129004,-0.12903225806451613,-0.032258064516129004,False,False,True
6285,2015-07-06,neutral,True,False,True,2015,-0.03236995293951095,-0.1910743936132815,-0.03236995293951095,False,False,True
9910,2015-07-06,neutral,True,False,True,2015,0.009009009009008917,0.23105107189076657,0.009009009009008917,False,False,True
1476,2015-07-13,neutral,True,False,True,2015,0.00692907939982601,0.08647450003140578,0.00692907939982601,False,True,True
2317,2015-07-13,neutral,True,False,True,2015,-0.015592572342815858,-0.05696469819051264,-0.015592572342815858,False,False,True
2474,2015-07-13,neutral,True,False,True,2015,-0.04593175853018372,-0.0813648293963255,-0.04593175853018372,False,True,True
2886,2015-07-13,neutral,True,False,True,2015,-0.003689968109496844,-0.1623615523086248,-0.003689968109496844,False,False,True
2891,2015-07-13,neutral,True,False,True,2015,-0.02836134630685705,-0.2187731333687125,-0.02836134630685705,False,True,True
3008,2015-07-13,neutral,True,False,True,2015,-0.027941176470588247,-0.20882352941176474,-0.027941176470588247,False,False,True
4966,2015-07-13,neutral,True,False,True,2015,-0.049068767908309496,-0.2593123209169055,-0.049068767908309496,False,True,True
6239,2015-07-13,neutral,True,False,True,2015,0.023102335992248646,-0.01650165058052011,0.023102335992248646,False,False,True
6285,2015-07-13,neutral,True,False,True,2015,-0.02456146141190474,-0.08856054127848534,-0.02456146141190474,False,False,True
1476,2015-07-20,ranging,True,False,True,2015,-0.0311827707270379,-0.07526878246080637,-0.0311827707270379,False,False,True
2317,2015-07-20,ranging,True,False,True,2015,-0.0031545116967114373,-0.04936901611999578,-0.0031545116967114373,False,False,True
2354,2015-07-20,ranging,True,False,True,2015,-0.0287081282697772,-0.11854544132934364,-0.0287081282697772,False,False,True
2474,2015-07-20,ranging,True,False,True,2015,-0.06753246753246755,-0.09610389610389614,-0.06753246753246755,False,False,True
2882,2015-07-20,ranging,True,False,True,2015,0.009505724805041638,-0.1273764312012604,0.009505724805041638,False,False,True
2886,2015-07-20,ranging,True,False,True,2015,-0.011049744234642223,-0.1694291090288481,-0.011049744234642223,False,False,True
2891,2015-07-20,ranging,True,False,True,2015,-0.045929081485313494,-0.17401672055284678,-0.045929081485313494,False,False,True
3008,2015-07-20,ranging,True,False,True,2015,-0.06901408450704227,-0.2816901408450704,-0.06901408450704227,False,False,True
4938,2015-07-20,ranging,True,False,True,2015,-0.07492192572907364,-0.11862644856283566,-0.07492192572907364,False,False,True
4958,2015-07-20,ranging,True,False,True,2015,-0.0046511627906976605,-0.10232558139534886,-0.0046511627906976605,False,False,True
4966,2015-07-20,ranging,True,False,True,2015,-0.05627705627705626,-0.24531024531024526,-0.05627705627705626,False,False,True
6239,2015-07-20,ranging,True,False,True,2015,-0.021666653951009085,0.020000012715657656,-0.021666653951009085,False,False,True
1216,2015-07-27,volatile,True,True,True,2015,0.06337614215954535,0.08198165381775846,0.06337614215954535,False,True,False
1476,2015-07-27,volatile,True,True,True,2015,-0.008139538100230381,0.1674418330401406,-0.008139538100230381,False,False,True
2891,2015-07-27,volatile,True,True,True,2015,-0.0043763030019000615,-0.1437155608673708,-0.0043763030019000615,False,False,True
3008,2015-07-27,volatile,True,True,True,2015,0.040453074433656866,-0.2184466019417476,0.040453074433656866,False,False,True
4938,2015-07-27,volatile,True,True,True,2015,-0.0011248422092769994,-0.08886390765223107,-0.0011248422092769994,False,False,True
9910,2015-07-27,volatile,True,True,True,2015,0.07964708485612837,0.15420586821330495,0.07964708485612837,True,True,True
1216,2015-08-03,volatile,True,True,True,2015,0.040000010722392565,0.03812618326070094,0.040000010722392565,False,True,True
1476,2015-08-03,volatile,True,True,True,2015,-0.031938368437334885,0.03854620212621396,-0.031938368437334885,False,False,True
2412,2015-08-03,volatile,True,True,True,2015,-0.021472434873602397,0.02760732989766157,-0.021472434873602397,False,True,True
2886,2015-08-03,volatile,True,True,True,2015,0.009276493268669084,-0.10389606925810224,0.009276493268669084,False,False,True
1216,2015-08-10,volatile,True,True,True,2015,-1.7183320988323203e-08,0.012612626359269408,-1.7183320988323203e-08,False,True,True
2412,2015-08-10,volatile,True,True,True,2015,-0.025458229840567337,0.018329970546806962,-0.025458229840567337,False,True,True
9910,2015-08-10,volatile,True,True,True,2015,0.07117131686776856,0.0988579049455991,0.07117131686776856,True,True,True
2354,2015-08-17,volatile,True,True,True,2015,0.025125595516888533,-0.20215074403043887,0.025125595516888533,False,False,True
2474,2015-08-17,volatile,True,True,True,2015,-0.0014430014430014682,-0.07936507936507942,-0.0014430014430014682,False,False,True
4938,2015-08-17,volatile,True,True,True,2015,-0.005580357237890077,-0.07254464409257078,-0.005580357237890077,False,False,True
1476,2015-08-31,volatile,True,True,True,2015,-0.05617980294306468,-0.1327885960716506,-0.05617980294306468,False,True,True
1216,2015-09-07,volatile,True,True,True,2015,0.024770614204056685,-0.0128440506961367,0.024770614204056685,False,True,True
2412,2015-09-07,volatile,True,True,True,2015,-0.01025641025641022,0.016410240760216244,-0.01025641025641022,False,False,True
1476,2015-09-14,volatile,True,True,True,2015,-0.057769970352758104,-0.12815339521281477,-0.057769970352758104,False,True,True
2412,2015-09-14,volatile,True,True,True,2015,0.0033163148529675723,0.004081648223254186,0.0033163148529675723,False,True,True
1216,2015-09-21,volatile,True,True,True,2015,-0.010249551246073185,-0.019607816471305606,-0.010249551246073185,False,True,True
2412,2015-09-21,volatile,True,True,True,2015,0.008461526724008461,0.00512820512820511,0.008461526724008461,False,True,True
1216,2015-09-28,neutral,True,False,True,2015,0.01039782671244227,-0.0054249410705143886,0.01039782671244227,False,True,True
2412,2015-09-28,neutral,True,False,True,2015,0.0033163148529675723,0.014285729855907148,0.0033163148529675723,False,True,True
1216,2015-10-05,neutral,True,False,True,2015,-0.03663794747714344,-0.0655172282251818,-0.03663794747714344,False,True,True
2412,2015-10-05,neutral,True,False,True,2015,-0.00278904282744441,0.00405681067007202,-0.00278904282744441,False,True,True
1216,2015-10-11,ranging,True,False,True,2015,-0.03119587650403699,-0.06239171995177217,-0.03119587650403699,False,True,True
2412,2015-10-11,ranging,True,False,True,2015,-0.006818193377870485,-0.002020171194365483,-0.006818193377870485,False,True,True
2474,2015-10-11,ranging,True,False,True,2015,-0.05563480741797433,-0.24393723252496435,-0.05563480741797433,False,False,True
9904,2015-10-11,ranging,True,False,True,2015,-0.021716634337073493,-0.12616336435638287,-0.021716634337073493,False,False,True
9910,2015-10-11,ranging,True,False,True,2015,0.01704546800370621,-0.0625000493469231,0.01704546800370621,False,False,True
1216,2015-10-19,ranging,True,False,True,2015,-0.01760563403929627,-0.10211266399588603,-0.01760563403929627,False,True,True
2308,2015-10-19,ranging,True,False,True,2015,-0.027355644308894478,-0.10067142441542143,-0.027355644308894478,False,True,True
2317,2015-10-19,ranging,True,False,True,2015,-0.02993156142354192,-0.1299885871910128,-0.02993156142354192,False,True,True
2357,2015-10-19,ranging,True,False,True,2015,-0.028942953020134277,-0.08053691275167785,-0.028942953020134277,False,True,True
2412,2015-10-19,ranging,True,False,True,2015,-0.014779600712056418,0.012024017149777633,-0.014779600712056418,False,True,True
9904,2015-10-19,ranging,True,False,True,2015,-0.002072507235670318,-0.11813473083812343,-0.002072507235670318,False,False,True
