score,label,liquidity,horizon,decile,mean_ret,win_rate,n_days
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,20,9,0.012617093839327506,0.6160354552780016,4964
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,20,10,0.014027104703202226,0.6226833199033038,4964
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,60,1,0.04004948681572955,0.6866368805848904,4924
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,60,2,0.03572621282660019,0.669374492282697,4924
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,60,3,0.03630634155440267,0.673842404549147,4924
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,60,4,0.03536046785617213,0.6703899268887084,4924
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,60,5,0.03543538692586483,0.6691714053614947,4924
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,60,6,0.035276603978590476,0.6604386677497969,4924
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,60,7,0.037232372165741684,0.6683590576766856,4924
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,60,8,0.03782406125166779,0.6663281884646629,4924
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,60,9,0.03854441813058712,0.6624695369618196,4924
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,60,10,0.043785857407967047,0.670186839967506,4924
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,10,1,0.006490216619613763,0.6042630203096723,4973
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,10,2,0.005843855512341998,0.615724914538508,4973
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,10,3,0.005567763636706754,0.6125075407198874,4973
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,10,4,0.005845938618815641,0.6143173134928614,4973
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,10,5,0.0056194063682304925,0.6205509752664388,4973
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,10,6,0.005521135988607083,0.6139151417655339,4973
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,10,7,0.005515270267332959,0.6108988538105771,4973
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,10,8,0.005402183761165788,0.607279308264629,4973
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,10,9,0.0060672204039437455,0.615724914538508,4973
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,10,10,0.008976947187638638,0.6253770359943696,4973
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,20,1,0.01478291860425146,0.6220028208744711,4963
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,20,2,0.012506539444280233,0.6226072939754181,4963
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,20,3,0.011462675110620836,0.613137215393915,4963
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,20,4,0.011570491954883301,0.6183759822687891,4963
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,20,5,0.011288922283889807,0.6211968567398751,4963
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,20,6,0.010891089673896523,0.6199879105379811,4963
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,20,7,0.011358292849678087,0.6220028208744711,4963
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,20,8,0.011233424687271674,0.614749143663107,4963
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,20,9,0.012643556908841098,0.613741688494862,4963
