strategy,date,ret,ret_gross,twii_price_ret,twii_tr_ret,regime,turnover
S1_QM_top5,2015-07-03,-0.05436693070525182,-0.050366930705251826,-0.08910021133636126,-0.08640790364405357,,1.0
S1_QM_top5,2015-07-31,-0.010115790094970675,-0.006915790094970675,-0.07456830079605037,-0.07187599310374268,,0.8
S1_QM_top5,2015-09-04,0.007430031288817764,0.009030031288817764,0.04918374958323746,0.05187605727554515,,0.4
S1_QM_top5,2015-10-02,-0.007404479578392633,-0.007404479578392633,0.037295379741499435,0.03998768743380713,,0.0
S1_QM_top5,2015-10-30,-0.012679622595672657,-0.012679622595672657,-0.01822580518111927,-0.015533497488811578,,0.0
S1_QM_top5,2015-11-27,-0.012476601430988894,-0.010076601430988895,-0.004181762663602484,-0.0014894549712947914,,0.6
S1_QM_top5,2015-12-25,-0.0006699792669641928,0.0001300207330358072,-0.05609406306563092,-0.05340175537332322,,0.2
S1_QM_top5,2016-01-22,0.03088887691506366,0.03088887691506366,0.10157959344038714,0.10427190113269483,,0.0
S1_QM_top5,2016-02-26,0.03417410167809405,0.034974101678094054,0.03320469874241683,0.03589700643472452,,0.2
S1_QM_top5,2016-03-25,-0.00520447006742386,-0.0036044700674238597,-0.014175743045487743,-0.011483435353180051,,0.4
S1_QM_top5,2016-04-22,-0.005699865554479343,-0.004099865554479343,-0.022412742912163552,-0.01972043521985586,,0.4
S1_QM_top5,2016-05-20,0.04510741524982249,0.04590741524982249,0.06808168226162303,0.07077398995393072,,0.2
S1_QM_top5,2016-06-17,0.04983660351571304,0.050636603515713044,0.04455718524674945,0.04724949293905715,,0.2
S1_QM_top5,2016-07-15,0.003921666087670332,0.0071216660876703315,0.022407084790836418,0.02509939248314411,,0.8
S1_QM_top5,2016-08-12,-0.024085424608213543,-0.024085424608213543,0.0015835647367732353,0.004275872429080928,,0.0
S1_QM_top5,2016-09-09,-0.0051789193763181335,-0.0011789193763181334,3.1646793652306826e-05,0.0027239544859599995,,1.0
S1_QM_top5,2016-10-07,-0.011237814062153939,-0.00883781406215394,-0.008198930270044147,-0.005506622577736454,,0.6
S1_QM_top5,2016-11-04,-0.043697098768977406,-0.04129709876897741,0.013380881273809209,0.0160731889661169,,0.6
S1_QM_top5,2016-12-02,0.019851760540128494,0.023051760540128495,0.006965540415458493,0.009657848107766185,,0.8
S1_QM_top5,2016-12-30,0.08265995778872348,0.08425995778872349,0.032534670158588685,0.03522697785089638,,0.4
S1_QM_top5,2017-01-24,0.004258244732666984,0.005858244732666984,0.021196107249205953,0.023888414941513645,,0.4
S1_QM_top5,2017-02-24,-0.0028433344746284536,0.00035666552537154655,0.01292045124829233,0.015612758940600022,,0.8
S1_QM_top5,2017-03-24,0.013949269045005179,0.01714926904500518,-0.00618707751730363,-0.003494769824995937,,0.8
S1_QM_top5,2017-04-21,0.023975584927768284,0.027975584927768284,0.02879878536309466,0.031491093055402354,,1.0
S1_QM_top5,2017-05-19,0.004727826125421955,0.007127826125421955,0.037882412005148414,0.04057471969745611,,0.6
S1_QM_top5,2017-06-16,0.04768847541138724,0.05088847541138724,0.02827481622984762,0.030967123922155313,,0.8
S1_QM_top5,2017-07-14,-0.025597566533247827,-0.023197566533247827,-0.010947991895695841,-0.00825568420338815,,0.6
S1_QM_top5,2017-08-11,0.12436341135054604,0.12836341135054605,0.027143421684560076,0.029835729376867768,,1.0
S1_QM_top5,2017-09-08,0.02062374606238602,0.02382374606238602,0.0029444279944690344,0.005636735686776727,,0.8
S1_QM_top5,2017-10-06,0.01411986138033343,0.01731986138033343,0.02919736385477778,0.031889671547085476,,0.8
S1_QM_top5,2017-11-03,0.03671016788943913,0.03991016788943913,-0.01855417926312397,-0.01586187157081628,,0.8
S1_QM_top5,2017-12-01,-0.05013338432654933,-0.04613338432654933,0.0040083727176758455,0.006700680409983538,,1.0
S1_QM_top5,2017-12-29,0.10176426241854392,0.10416426241854392,0.05439789677076834,0.057090204463076034,,0.6
S1_QM_top5,2018-01-26,-0.011866662922304688,-0.007866662922304687,-0.03254297335962708,-0.02985066566731939,,1.0
S1_QM_top5,2018-02-23,0.05387143528030135,0.05787143528030135,0.004215090098546037,0.00690739779085373,,1.0
S1_QM_top5,2018-03-23,-0.005668574870195078,-0.004868574870195078,-0.024332654521437624,-0.021640346829129933,,0.2
S1_QM_top5,2018-04-20,0.10689781575884962,0.10929781575884961,0.017331267153677388,0.02002357484598508,,0.6
S1_QM_top5,2018-05-18,0.04230909586754686,0.046309095867546855,0.023694365950816865,0.026386673643124556,,1.0
S1_QM_top5,2018-06-15,-0.045586534967542044,-0.04158653496754204,-0.02435357551444839,-0.021661267822140697,,1.0
S1_QM_top5,2018-07-13,-0.072441138010889,-0.069241138010889,0.010965917379764267,0.013658225072071959,,0.8
S1_QM_top5,2018-08-10,0.003772422516351065,0.006972422516351065,-0.012444777798879203,-0.009752470106571511,,0.8
S1_QM_top5,2018-09-07,-0.036263722181666576,-0.033863722181666576,-0.03605244758455639,-0.033360139892248696,,0.6
S1_QM_top5,2018-10-05,-0.10406775855525238,-0.10086775855525239,-0.05964660856633408,-0.056954300874026385,,0.8
S1_QM_top5,2018-11-02,0.0006015074835606978,0.004601507483560698,-0.0018734570225705793,0.0008188506697371133,,1.0
S1_QM_top5,2018-11-30,0.015977114302497156,0.017577114302497157,-0.01624389415746208,-0.013551586465154388,,0.4
S1_QM_top5,2019-01-04,0.07248161718763808,0.07408161718763809,0.07623018644440016,0.07892249413670785,,0.4
S1_QM_top5,2019-01-30,0.07301513676382175,0.07381513676382175,0.04138739040260431,0.044079698094912,,0.2
S1_QM_top5,2019-03-08,0.05173092424949197,0.054930924249491975,0.05954544969121489,0.062237757383522586,,0.8
S1_QM_top5,2019-04-03,-0.012826449037023414,-0.011226449037023413,0.01800573564139607,0.020698043333703762,,0.4
S1_QM_top5,2019-05-03,-0.053779371817409376,-0.05217937181740938,-0.053874677219874934,-0.05118236952756724,,0.4
S1_QM_top5,2019-05-31,0.07171033551352736,0.07411033551352736,0.037812077517842546,0.04050438521015024,,0.6
S1_QM_top5,2019-06-28,0.013857352312340854,0.016257352312340854,0.015017513971590013,0.017709821663897705,,0.6
S1_QM_top5,2019-07-26,-0.03715961138411024,-0.033159611384110235,-0.04933998530312045,-0.04664767761081275,,1.0
S1_QM_top5,2019-08-23,0.07128174302826197,0.07448174302826197,0.036050050852444615,0.03874235854475231,,0.8
S1_QM_top5,2019-09-20,0.0794565539578711,0.0810565539578711,0.028361232569362294,0.031053540261669985,,0.4
S1_QM_top5,2019-10-18,-0.02086432233762521,-0.01766432233762521,0.030892047854115923,0.03358435554642362,,0.8
S1_QM_top5,2019-11-15,-0.009132446053340557,-0.005932446053340556,0.03489023330707264,0.03758254099938033,,0.8
