scheme,week,ret,n_picks,overlap_jaccard
S0_LIVE,2020-01-03,-0.13933542837334756,50,
S0_LIVE,2020-01-10,-0.06187058308156276,50,0.639344262295082
S0_LIVE,2020-01-17,-0.09399410903445916,50,0.8867924528301887
S0_LIVE,2020-01-20,-0.07926311930456605,50,0.9607843137254902
S0_LIVE,2020-01-31,0.0019830285182682707,50,0.9230769230769231
S0_LIVE,2020-02-07,0.014114685131132681,50,0.9230769230769231
S0_LIVE,2020-02-14,-0.034047606424487106,50,0.7543859649122807
S0_LIVE,2020-02-21,0.006495252194532035,50,1.0
S0_LIVE,2020-02-27,0.0648710753568976,50,0.8867924528301887
S0_LIVE,2020-03-06,0.07334538280626411,50,0.9230769230769231
S0_LIVE,2020-03-13,0.2969979661433577,50,0.5873015873015873
S0_LIVE,2020-03-20,0.5100140032769237,50,0.8181818181818182
S0_LIVE,2020-03-27,0.43264557496782785,50,0.9230769230769231
S0_LIVE,2020-04-01,0.4439242218488053,50,0.5625
S0_LIVE,2020-04-10,0.4506942673696354,50,0.6666666666666666
S0_LIVE,2020-04-17,0.3213950318156447,50,0.9230769230769231
S0_LIVE,2020-04-24,0.3415718271618043,50,0.9230769230769231
S0_LIVE,2020-04-30,0.20353183658615076,50,0.9607843137254902
S0_LIVE,2020-05-08,0.24373985939010712,50,0.9607843137254902
S0_LIVE,2020-05-15,0.22459027897255646,50,0.7241379310344828
S0_LIVE,2020-05-22,0.19275372161303628,50,0.8181818181818182
S0_LIVE,2020-05-29,0.1397117165616252,50,0.9230769230769231
S0_LIVE,2020-06-05,0.06911568686297458,50,0.9230769230769231
S0_LIVE,2020-06-12,0.06986110951220695,50,0.6666666666666666
S0_LIVE,2020-06-19,0.05713544069919786,50,0.9230769230769231
S0_LIVE,2020-06-24,0.04273643553459132,50,0.9230769230769231
S0_LIVE,2020-07-03,-0.06570704188970419,50,0.42857142857142855
S0_LIVE,2020-07-10,-0.017921038859793414,50,0.6666666666666666
S0_LIVE,2020-07-17,0.02835466704926171,50,0.9230769230769231
S0_LIVE,2020-07-24,0.012413242482516169,50,0.8518518518518519
S0_LIVE,2020-07-31,-0.021421689900029267,50,0.8867924528301887
S0_LIVE,2020-08-07,-0.057643148749224264,50,0.8867924528301887
S0_LIVE,2020-08-14,-0.023996491101620207,50,0.7543859649122807
S0_LIVE,2020-08-21,0.06032658917579553,50,0.8518518518518519
S0_LIVE,2020-08-28,0.04440634425076859,50,0.8867924528301887
S0_LIVE,2020-09-04,0.11600242459889869,50,0.8518518518518519
S0_LIVE,2020-09-11,0.13890683766084078,50,0.6666666666666666
S0_LIVE,2020-09-18,0.07576204329624646,50,0.8518518518518519
S0_LIVE,2020-09-25,0.12897093064143508,50,0.7543859649122807
S0_LIVE,2020-09-30,0.11099234133449638,50,0.4084507042253521
S0_LIVE,2020-10-08,0.10495866831847961,50,0.9607843137254902
S0_LIVE,2020-10-16,0.12464663220210076,50,0.6949152542372882
S0_LIVE,2020-10-23,0.06627507001004046,50,0.7857142857142857
S0_LIVE,2020-10-30,0.11080562392534478,50,0.8867924528301887
S0_LIVE,2020-11-06,0.03670730956372136,50,0.9607843137254902
S0_LIVE,2020-11-13,0.14731563155329785,50,0.7241379310344828
S0_LIVE,2020-11-20,0.15116507188900674,50,0.8867924528301887
S0_LIVE,2020-11-27,0.08229524584528349,50,0.8518518518518519
S0_LIVE,2020-12-04,0.07921059179762899,50,0.8181818181818182
S0_LIVE,2020-12-11,0.14692014859722485,50,0.6949152542372882
S0_LIVE,2020-12-18,0.162936491134515,50,0.9230769230769231
S0_LIVE,2020-12-25,0.22781076996071875,50,0.8518518518518519
S0_LIVE,2020-12-31,0.33132162964093553,50,0.5384615384615384
S0_LIVE,2021-01-08,0.3424315060443089,50,0.8867924528301887
S0_LIVE,2021-01-15,0.37018430736409824,50,0.7543859649122807
S0_LIVE,2021-01-22,0.31619123655241,50,0.8518518518518519
S0_LIVE,2021-01-29,0.315732427296722,50,0.8867924528301887
S0_LIVE,2021-02-05,0.2013141923100143,50,0.8181818181818182
S0_LIVE,2021-02-19,0.1757121833861624,50,0.7543859649122807
S0_LIVE,2021-02-26,0.2536289180547879,50,0.9230769230769231
S0_LIVE,2021-03-05,0.3367700886995728,50,0.9607843137254902
S0_LIVE,2021-03-12,0.2860576358788151,50,0.9607843137254902
S0_LIVE,2021-03-19,0.33607195301951465,50,0.7543859649122807
S0_LIVE,2021-03-26,0.3200362520635822,50,0.8518518518518519
S0_LIVE,2021-04-01,0.3943965690918639,50,0.4084507042253521
S0_LIVE,2021-04-09,0.31339729509787567,50,0.8181818181818182
S0_LIVE,2021-04-16,0.2525030548750825,50,0.8518518518518519
S0_LIVE,2021-04-23,0.20602014932300894,50,0.8181818181818182
S0_LIVE,2021-04-29,0.15378501011196963,50,0.9230769230769231
S0_LIVE,2021-05-07,0.19522691540239515,50,0.8867924528301887
S0_LIVE,2021-05-14,0.3941370506303698,50,0.6666666666666666
S0_LIVE,2021-05-21,0.24271067577299746,50,0.9607843137254902
S0_LIVE,2021-05-28,0.13200879987862285,50,0.9230769230769231
S0_LIVE,2021-06-04,0.08122436402487512,50,0.8518518518518519
S0_LIVE,2021-06-11,0.04584962340434776,50,0.8518518518518519
S0_LIVE,2021-06-18,0.02220034214262304,50,0.8518518518518519
S0_LIVE,2021-06-25,-0.018024540299600687,50,0.9230769230769231
S0_LIVE,2021-07-02,-0.0684790297404652,50,0.4492753623188406
S0_LIVE,2021-07-09,-0.14792640865216705,50,0.8867924528301887
S0_LIVE,2021-07-16,-0.17507989633479426,50,0.7857142857142857
S0_LIVE,2021-07-23,-0.14022280281275862,50,0.8518518518518519
S0_LIVE,2021-07-30,-0.09605818521648862,50,0.9230769230769231
S0_LIVE,2021-08-06,-0.09933784792950034,50,0.8867924528301887
S0_LIVE,2021-08-13,0.006873069985687786,50,0.8181818181818182
S0_LIVE,2021-08-20,0.09035680707868922,50,0.9607843137254902
S0_LIVE,2021-08-27,0.047206134362514286,50,0.9607843137254902
S0_LIVE,2021-09-03,0.022512994837971347,50,0.8867924528301887
S0_LIVE,2021-09-10,0.05290807939594676,50,0.8518518518518519
S0_LIVE,2021-09-17,0.05191447467727445,50,0.9230769230769231
S0_LIVE,2021-09-24,0.06745393426722907,50,0.9230769230769231
S0_LIVE,2021-10-01,0.17523130465327763,50,0.5873015873015873
S0_LIVE,2021-10-08,0.15691860056197865,50,0.8867924528301887
S0_LIVE,2021-10-15,0.13261566061074126,50,0.9230769230769231
S0_LIVE,2021-10-22,0.07761380896702347,50,0.7241379310344828
S0_LIVE,2021-10-29,-0.005739030850048834,50,0.8867924528301887
S0_LIVE,2021-11-05,0.014603268764551161,50,0.7543859649122807
S0_LIVE,2021-11-12,-0.011382560569027846,50,0.8181818181818182
S0_LIVE,2021-11-19,-0.010878806711483875,50,0.8518518518518519
S0_LIVE,2021-11-26,0.03136121108054693,50,0.8867924528301887
S0_LIVE,2021-12-03,-0.04110044022437097,50,0.8867924528301887
S0_LIVE,2021-12-10,-0.04788514027981284,50,0.8518518518518519
S0_LIVE,2021-12-17,-0.02953717702263446,50,0.9607843137254902
S0_LIVE,2021-12-24,-0.05010654403460535,50,0.8867924528301887
S0_LIVE,2021-12-30,-0.11067329466813834,50,0.8518518518518519
S0_LIVE,2022-01-07,-0.07390781773664823,50,0.4925373134328358
