year,value_ret,n_rebal,hit_rate,value_ret_pct,twii_ret_pct,alpha_pct
2020,0.4148165177005956,14.0,0.2857142857142857,41.48,33.59,7.89
2021,0.63376189845583,12.0,0.25,63.38,18.99,44.39
2022,0.024868413956790514,13.0,0.15384615384615385,2.49,-23.97,26.46
2023,0.3726642890199936,13.0,0.15384615384615385,37.27,22.02,15.25
2024,0.025469379737549147,13.0,0.23076923076923078,2.55,19.22,-16.67
2025,-0.05140856733471866,13.0,0.07692307692307693,-5.14,29.97,-35.11
