transition_date,pick_week,n_picks,ret_A_immediate,ret_B_defer_1mo,ret_C_defer_3mo
2020-05-13,2020-05-08,20,0.027882678383767835,0.12794076280713823,0.2542291642743052
2020-06-22,2020-06-19,20,0.03179924287577462,0.06933641913644494,0.030155416046530277
2020-07-28,2020-07-24,20,0.013588806775586576,0.004373690453517609,0.02888495001527866
2020-12-03,2020-11-27,20,-0.007487159980349528,-0.030232842481288123,0.012362494561835923
2020-12-14,2020-12-11,20,-0.003357361008192017,0.032360318226514286,0.11662522932677222
2021-02-02,2021-01-29,20,0.0340563639939479,0.11108692116619716,0.4568351515292899
2021-03-11,2021-03-05,20,0.05503552872111313,0.23947238031990686,0.39791983410862447
2021-04-28,2021-04-23,20,0.03982867512686994,-0.0328656651266102,0.1624169064985454
2021-06-16,2021-06-11,20,0.009933561350728592,0.10189503745450994,-0.001339922311032493
2022-03-22,2022-03-18,20,-0.02010420918593988,-0.07712144824676197,-0.1923854446317411
2022-05-04,2022-04-29,20,0.0014971588208363418,0.06746762814689024,-0.1971399106529242
2022-05-24,2022-05-20,20,0.010120401300497106,-0.1492237311021439,-0.20607642186964195
2022-07-28,2022-07-22,20,-0.02357044403431824,0.033955811323379166,-0.16348508470931603
2022-11-07,2022-11-04,20,0.09314872135734831,0.1694788931215298,0.15753303208768488
2022-12-09,2022-12-09,20,-0.00858785455466396,-0.008619806692159688,0.09527253990772436
2023-02-16,2023-02-10,20,0.014760896099568422,0.037940429821244834,0.09650084294208887
2023-06-14,2023-06-09,20,0.019427894908370814,0.005634441419221037,0.0655798523397471
2023-11-30,2023-11-24,20,0.025762466476608754,0.04090331067234791,0.15335030417951806
2024-02-27,2024-02-23,20,0.05184467062532139,0.04353834679703504,0.05158364960337245
2024-03-15,2024-03-15,20,0.025241400270094666,-0.011491475146276492,0.060981341419285205
2024-05-28,2024-05-24,20,0.0026707263875249353,0.04015265515595011,-0.03637136822298466
2024-07-05,2024-07-05,20,-0.01431063251141606,-0.18634640434119096,-0.03873079064165948
2024-07-16,2024-07-12,20,-0.032693406179396735,-0.08154281547889006,-0.016298007537268233
2024-09-04,2024-08-30,20,-0.039998213596327416,0.011586431503576116,0.021450849821096962
2024-10-16,2024-10-11,20,0.011112014979968814,0.042778023091440236,0.06497506773226154
2024-10-22,2024-10-18,20,0.027398471458365624,-0.029133613882855208,-0.0037462491081183104
2025-05-28,2025-05-23,20,-0.02463485331344199,-0.031674114185233346,0.04076112394392468
2025-09-22,2025-09-19,20,-0.015433600683572657,-0.01996915204107295,-0.011257477144520533
2025-10-14,2025-10-09,20,-0.024593280723445334,-0.02309745479390803,0.016009625910093556
2025-11-04,2025-10-31,20,-0.010592779841020339,0.011267129419565359,0.12215262177430261
2026-02-04,2025-12-26,20,0.00937837692542523,0.09047948955496957,0.055575062214486305
2026-03-31,2025-12-26,20,0.00937837692542523,0.09047948955496957,0.055575062214486305
