quarter_end,n,ic_ret_3m,ic_ret_6m,ic_ret_12m
2015-12-31,1248,-0.06136118570574012,0.060224226408542775,-0.07324129845555734
2016-03-31,1240,0.15790252481390374,0.033187827791452074,-0.004622512244577993
2016-06-30,1248,-0.10578451073667729,-0.16886336572703287,-0.11636608594926057
2016-09-30,1263,-0.09302359249122352,0.02431109497380517,-0.008520788781535041
2016-12-31,1286,0.15103977049056883,0.0640251127949182,0.15834001293767253
2017-03-31,1275,-0.05739071206301115,0.020237442696556907,0.07752090427834835
2017-06-30,1279,0.09225116348657923,0.1496801685653099,0.17940674502915302
2017-09-30,1289,0.15790542558758533,0.12849870765237537,0.13932031587463273
2017-12-31,1325,0.03966840952589453,0.09966084126687792,0.0712156888344022
2018-03-31,1318,0.17494499187531953,0.07288980890602059,0.05072571357753915
2018-06-30,1330,-0.03695264478529967,0.012941517685638877,-0.00216597011242952
2018-09-30,1334,0.04151998560021497,-0.03203204095747826,0.04528555732788379
2018-12-31,1358,-0.052555116600286514,-0.015291144911168305,0.02423886587570223
2019-03-31,1353,0.03248684690609818,0.06289853444533491,0.25694483094748
2019-06-30,1361,0.057186338182303204,0.05191848434005731,0.2841472200234455
2019-09-30,1367,0.022525357431700803,0.25920892212077973,0.2813021844483521
2019-12-31,1390,0.32236218412092116,0.3324942226799754,0.30749547562077784
2020-03-31,1379,0.0029500000586174823,0.018776280986289678,-0.0672885628922178
2020-06-30,1386,0.016836438740075003,-0.004307265843599672,-0.008012070257380101
2020-09-30,1394,0.03912562478022565,-0.09600245510740318,0.014018968956174362
2020-12-31,1429,-0.14769832029213234,0.018248261431935184,-0.16474365772024868
2021-03-31,1415,0.15066578695969343,0.07656821657389105,-0.12205913427457679
2021-06-30,1430,-0.0632702770069945,-0.23024057212170396,-0.1583358434046626
2021-09-30,1441,-0.23206694140335365,-0.19359274660863984,-0.11321547446533269
2021-12-31,1451,-0.07946076863077453,-0.010437066157521586,0.024434304258520383
2022-03-31,1448,0.06588995866769695,0.008095747968759157,0.1794998517606682
2022-06-30,1446,-0.030876690363038556,0.06671733030622042,0.14796786536624357
2022-09-30,1450,0.10979710493258997,0.1954882126686319,0.1389387420430317
2022-12-31,1471,0.19141649023066723,0.16283273733566217,0.13376324558193523
2023-03-31,1463,-0.03626578288613209,-0.03898408437732671,-0.03555613581465126
2023-06-30,1466,-0.0058055334269065,0.05899963836632101,-0.08786636138442158
2023-09-30,1472,0.11520453021136354,0.01623520239623651,-0.117943622970224
2023-12-31,1487,-0.09532938765685811,-0.1597014534862181,-0.14839210158645852
2024-03-31,1479,-0.12349237873161888,-0.164856512793586,-0.12036904005048515
2024-06-30,1484,-0.08544473574785458,-0.04035278574432696,-0.02896625003321939
2024-09-30,1486,0.06492213561386166,0.028688974905382195,-0.0243336779496049
2024-12-31,1496,-0.0281595114250901,-0.008601397029102602,-0.09663012728452419
