week,v_n,q_n,overlap_n,overlap_pct,v_ret,q_ret,dual_ret_naive,overlap_ids
2020-01-03,20,5,2,0.1,-0.0008470603583455971,0.00600064746332889,0.002576793552491646,"3034,3105"
2020-01-10,20,4,0,0.0,0.010788191947345666,-0.03579713437690735,-0.01250447121478084,
2020-01-17,20,5,2,0.1,0.003616446102702936,-0.06572702939427881,-0.031055291645787936,"2330,3034"
2020-01-20,20,5,2,0.1,-0.012633751031545654,-0.08574846414582844,-0.04919110758868705,"2330,3034"
2020-01-31,20,10,3,0.15,0.04249956175849119,-0.02726407089572641,0.00761774543138239,"2330,3034,3653"
2020-02-07,20,10,5,0.25,-0.0029054272557554827,-0.07679067035678457,-0.03984804880627003,"2330,3034,3406,3653,6271"
2020-02-14,20,4,1,0.05,-0.21959498279429032,-0.1471972231162302,-0.18339610295526027,2330
2020-02-21,20,5,1,0.05,-0.2931794013150146,-0.2699140898747293,-0.2815467455948719,2330
2020-02-27,20,8,4,0.2,-0.1430125397043826,-0.17201180349677336,-0.15751217160057798,"3406,3653,6271,6415"
2020-03-06,20,6,2,0.1,-0.10342855697566977,-0.12200097915931052,-0.11271476806749015,"3653,6271"
2020-03-13,20,2,0,0.0,0.10782444022768463,0.005791561778592413,0.05680800100313852,
2020-03-20,20,1,1,0.05,0.264620921136944,0.1591148577449948,0.2118678894409694,3293
2020-03-27,20,2,0,0.0,0.17530256736623748,0.2320970484223287,0.2036998078942831,
2020-04-01,20,2,0,0.0,0.23120013707487277,0.14174875484228,0.18647444595857637,
2020-04-17,20,1,1,0.05,0.17464471400565823,-0.018281535648994485,0.07818158917833187,3293
2020-04-24,20,4,2,0.1,0.1234077195139363,0.12396503538954096,0.12368637745173863,"3293,5269"
2020-04-30,20,3,1,0.05,0.054039270117566485,0.0020952522872893877,0.028067261202427935,3293
2020-05-08,20,2,0,0.0,0.12794076280713823,0.03852019873387724,0.08323048077050774,
2020-05-15,20,3,1,0.05,0.06393770649232772,0.14465255462342283,0.10429513055787527,2458
2020-05-22,20,3,1,0.05,0.12978416099699364,0.13279736685959917,0.13129076392829642,2458
2020-05-29,20,3,1,0.05,0.15832616709987363,0.16800707136179152,0.1631666192308326,8046
2020-06-05,20,2,1,0.05,0.14906257495751665,0.20250919271141338,0.17578588383446503,8046
2020-06-12,20,3,0,0.0,0.13002311803656,0.01867166909964609,0.07434739356810305,
2020-06-19,20,5,1,0.05,0.06933641913644494,0.06725670766485799,0.06829656340065146,3042
2020-06-24,20,4,1,0.05,-0.004883982337393622,0.11629146437751592,0.05570374102006115,3042
2020-07-03,20,1,0,0.0,-0.021001959390466268,-0.05622499489045074,-0.038613477140458506,
2020-07-10,20,3,1,0.05,0.016315641998315783,0.15436644658918117,0.08534104429374847,5274
2020-07-17,20,1,0,0.0,0.0796199362454301,0.07207520872633655,0.07584757248588332,
2020-07-24,20,2,0,0.0,0.004373690453517609,0.0608437391153786,0.03260871478444811,
2020-07-31,20,1,0,0.0,0.04096176911784641,0.11333340010322335,0.07714758461053488,
2020-08-07,20,1,0,0.0,0.001425533528488454,0.08712895833454182,0.044277245931515136,
2020-08-14,20,1,0,0.0,-0.03622108532829352,-0.14664804781797713,-0.09143456657313533,
2020-08-21,20,7,1,0.05,0.03500552667981601,0.05022749849569008,0.04261651258775305,6415
2020-08-28,20,4,2,0.1,-0.081445174885529,-0.036720115005985515,-0.05908264494575726,"3034,3533"
2020-09-04,20,2,1,0.05,-0.018939467140998156,0.02441570873965876,0.0027381207993303017,6415
2020-09-11,20,5,1,0.05,0.03575910868341287,0.016017627950436597,0.025888368316924735,2376
2020-09-18,20,7,2,0.1,0.009044730939448669,-0.005928994815910963,0.001557868061768853,"2376,3034"
2020-09-25,20,8,1,0.05,0.06904043189864552,0.019496836103994566,0.04426863400132004,8046
2020-09-30,20,6,2,0.1,0.013871561158378598,-0.0031821158137445016,0.005344722672317048,"2454,3293"
2020-10-08,20,6,1,0.05,0.010223134658942468,-0.03398282050688628,-0.011879842923971906,3293
2020-10-16,20,10,2,0.1,0.010234477716491186,-0.005673620899915877,0.0022804284082876547,"1477,6415"
2020-10-23,20,7,1,0.05,0.014501164616815498,0.053809390330494575,0.03415527747365504,6415
2020-10-30,20,8,1,0.05,0.03649819855719065,0.10944366141515269,0.07297092998617166,6415
2020-11-06,20,7,0,0.0,-0.009791560243226855,0.16591215851047972,0.07806029913362643,
2020-11-13,20,6,0,0.0,-0.02366064237136118,0.08359932711718443,0.029969342372911625,
2020-11-20,20,2,0,0.0,-0.025786303785817432,-0.04959127154794141,-0.03768878766687942,
