regime,fwd,n_picks,ic_v1,ic_v2,ic_delta,ir_v1,ir_v2,top10_ret_v1,top10_ret_v2,top10_delta_ret
trending,fwd_20d,740,0.02773967592285644,0.0425136497714212,-0.01477397384856476,0.574373268089204,0.8779238284013032,-0.0031805435381305628,-0.004343382764345342,0.0011628392262147793
trending,fwd_40d,740,0.03823884278216464,0.05472321940746286,-0.016484376625298218,0.8194853538610015,1.1607900222329222,0.022636711536404487,0.023009212100859988,-0.000372500564455501
ranging,fwd_20d,1272,0.022016483214972484,0.01858185356538116,0.0034346296495913232,0.480790497098474,0.4083652124693942,0.014958674390668895,0.01434835579961748,0.0006103185910514147
ranging,fwd_40d,1272,-0.00957647006732519,-0.0036199927085073546,-0.0059564773588178365,-0.213115461781452,-0.08090040968822101,0.02883203548061759,0.028831993918721696,4.156189589363257e-08
volatile,fwd_20d,1440,0.0034620672306492012,-0.0033519262088052954,0.006813993439454496,0.05791173678453375,-0.05596789374921415,0.03145227927101136,0.031860136309610466,-0.0004078570385991076
volatile,fwd_40d,1440,-0.022158862083826256,-0.02412622996829937,0.001967367884473114,-0.3843625600797877,-0.4178596914740372,0.05963539729111286,0.05975742325496085,-0.00012202596384798536
neutral,fwd_20d,1471,0.061707246087805874,0.061707246087805874,0.0,1.18556584799629,1.18556584799629,0.013045486171273577,0.013045486171273577,0.0
neutral,fwd_40d,1471,0.003972600713554197,0.003972600713554197,0.0,0.0839299904614142,0.0839299904614142,0.02162020578882837,0.02162020578882837,0.0
