filter,n,mean_20d,mean_40d,mean_60d,sharpe_20d,sharpe_60d,win_20d,cum_ret_20d,max_dd_20d
F0_baseline,4923,1.3967488773789678,3.066527064158002,4.719377922757547,0.11659176352909081,0.18530076733457876,52.224253503961,54351.89520003848,-34168.90826808149
F1_exclude_trending,4183,1.657072340809268,3.2431174983404603,5.019665948714596,0.13458964305770843,0.1928983246176277,53.28711451111643,56253.811456463314,-21001.29044416152
F2_only_volatile,1440,2.5580410642427096,4.443002774974622,5.422345061388426,0.20840847492286682,0.21670220473319993,56.80555555555556,10091.64476183052,-3223.4656286722766
F3_excl_trend_neutral,2712,1.977191585836927,3.6751917238515848,5.52442463610738,0.15504783456719187,0.20306523209055544,55.088495575221245,17287.983582874014,-7651.591797381186
F4_weighted,4923,1.5508929719979612,3.2020874750204866,4.854893144690304,0.12492575321674171,0.1855946249439182,52.224253503961,126685.26786846144,-60468.3012675846
