ticker,entry_date,entry_price,initial_sl,atr_at_entry,exit_date,exit_price,exit_reason,phase_at_exit,holding_days,gross_return_pct,net_return_pct
2412,2014-04-10,56.6796,56.1158,0.3759,2014-04-25,56.6796,trailing_stop,B,15,0.0,-0.585
2412,2014-05-29,58.3734,57.8614,0.3413,2014-06-04,57.7685,stop_loss,A,6,-1.036,-1.621
2412,2014-08-29,58.9878,58.5116,0.3175,2014-09-02,58.3529,stop_loss,A,4,-1.076,-1.661
2412,2014-09-04,58.7338,58.108,0.4173,2014-09-16,58.0354,stop_loss,A,12,-1.189,-1.774
2412,2015-01-19,59.6228,58.888,0.4898,2015-03-03,62.2261,trailing_stop,B,43,4.366,3.781
2412,2015-03-11,61.7817,61.0741,0.4717,2015-04-08,62.7341,trailing_stop,B,28,1.542,0.957
2412,2015-06-30,62.4801,61.7454,0.4898,2015-08-07,65.4636,trailing_stop,B,38,4.775,4.19
2412,2015-08-13,65.7308,64.7789,0.6346,2015-08-24,63.5264,stop_loss,A,11,-3.354,-3.939
2412,2015-09-30,65.998,65.2035,0.5296,2015-10-30,66.5992,trailing_stop,B,30,0.911,0.326
2412,2016-01-19,67.8016,66.5705,0.8207,2016-02-22,69.4716,trailing_stop,B,34,2.463,1.878
2412,2016-03-31,73.1455,71.893,0.835,2016-04-06,71.4755,stop_loss,A,6,-2.283,-2.868
2412,2016-06-16,74.8155,73.6346,0.7873,2016-06-24,75.1495,trailing_stop,B,8,0.446,-0.139
2412,2016-07-20,82.1635,80.0879,1.3837,2016-07-29,79.3564,stop_loss,A,9,-3.416,-4.001
2412,2017-03-15,72.0151,71.1161,0.5993,2017-03-31,72.0151,trailing_stop,B,16,0.0,-0.585
2412,2017-05-12,73.763,72.8266,0.6243,2017-06-13,75.5109,trailing_stop,B,32,2.37,1.785
2412,2017-07-18,77.2589,76.0978,0.7741,2017-07-21,75.785,stop_loss,A,3,-1.908,-2.493
2412,2017-09-06,76.1511,75.445,0.4707,2017-09-13,76.1511,trailing_stop,B,7,0.0,-0.585
2412,2017-11-10,75.785,74.922,0.5753,2017-12-28,77.2494,trailing_stop,B,48,1.932,1.347
2412,2018-03-23,80.5444,79.4068,0.7584,2018-04-13,83.1072,trailing_stop,B,21,3.182,2.597
2412,2018-04-18,83.8394,82.4273,0.9414,2018-04-23,82.3749,stop_loss,A,5,-1.747,-2.332
2412,2018-07-06,82.0088,81.0282,0.6538,2018-07-24,80.7215,stop_loss,A,18,-1.57,-2.155
2412,2018-08-13,81.4866,80.5029,0.6558,2018-08-30,82.2518,trailing_stop,B,17,0.939,0.354
2412,2018-09-05,82.6343,81.7326,0.6012,2018-09-27,84.1646,trailing_stop,B,22,1.852,1.267
2412,2019-01-04,82.2518,80.3253,1.2843,2019-04-03,83.0169,trailing_stop,B,89,0.93,0.345
2412,2019-04-15,83.782,82.6343,0.7651,2019-05-10,84.1646,trailing_stop,B,25,0.457,-0.128
2412,2019-05-14,85.3123,84.2056,0.7378,2019-06-12,86.46,trailing_stop,B,29,1.345,0.76
2412,2019-08-29,86.4751,85.5358,0.6262,2019-09-25,88.0691,trailing_stop,B,27,1.843,1.258
2412,2019-11-07,90.0617,89.0796,0.6547,2019-11-13,89.6632,trailing_stop,B,6,-0.442,-1.027
2412,2020-04-20,86.8736,85.6781,0.797,2020-05-27,87.6706,trailing_stop,B,37,0.917,0.332
2412,2020-05-29,88.0691,86.8309,0.8255,2020-07-07,92.2111,trailing_stop,B,39,4.703,4.118
2412,2020-07-08,92.6246,91.1883,0.9575,2020-07-14,90.9706,stop_loss,A,6,-1.786,-2.371
2412,2020-10-28,89.7301,88.7111,0.6793,2020-10-30,88.4896,stop_loss,A,2,-1.382,-1.967
2412,2020-11-02,90.5571,89.3609,0.7975,2020-11-25,90.1436,trailing_stop,B,23,-0.457,-1.042
2412,2021-01-15,91.7976,90.6457,0.7679,2021-01-20,90.1436,stop_loss,A,5,-1.802,-2.387
2412,2021-02-26,90.5571,89.3609,0.7975,2021-03-19,90.9706,trailing_stop,B,21,0.457,-0.128
2412,2021-03-24,91.7976,90.7786,0.6793,2021-04-23,94.2786,trailing_stop,B,30,2.703,2.118
2412,2021-04-26,94.2786,92.9052,0.9156,2021-05-05,92.6246,stop_loss,A,9,-1.754,-2.339
2412,2021-08-10,97.5866,96.3018,0.8565,2021-08-20,95.9326,stop_loss,A,10,-1.695,-2.28
2412,2021-11-11,96.641,95.5365,0.7363,2021-11-26,97.0705,trailing_stop,B,15,0.444,-0.141
2412,2021-11-30,96.2115,94.6468,1.0431,2021-12-03,97.5,trailing_stop,B,3,1.339,0.754
2412,2021-12-09,98.3591,96.9785,0.9204,2022-01-03,99.2181,trailing_stop,B,25,0.873,0.288
2412,2022-02-08,101.3657,99.893,0.9818,2022-03-02,106.0903,trailing_stop,B,22,4.661,4.076
2412,2022-03-03,105.2313,103.2525,1.3192,2022-04-28,112.9626,trailing_stop,B,56,7.347,6.762
2412,2022-05-26,109.5265,107.3635,1.4419,2022-06-14,106.9494,stop_loss,A,19,-2.353,-2.938
2412,2022-07-04,112.645,109.4788,2.1108,2022-07-12,109.0831,stop_loss,A,8,-3.162,-3.747
2412,2022-11-30,101.0688,98.8267,1.4947,2022-12-16,98.3974,stop_loss,A,16,-2.643,-3.228
2412,2023-02-20,102.4045,100.878,1.0177,2023-03-13,105.9664,trailing_stop,B,21,3.478,2.893
2412,2023-03-14,104.6307,102.6271,1.3357,2023-05-02,111.7545,trailing_stop,B,49,6.809,6.224
2412,2023-06-13,111.7545,109.8463,1.2721,2023-06-27,108.6378,stop_loss,A,14,-2.789,-3.374
2412,2023-11-09,108.8429,107.6023,0.8271,2023-12-11,111.1587,trailing_stop,B,32,2.128,1.543
2412,2023-12-12,111.1587,109.6203,1.0256,2023-12-21,109.306,stop_loss,A,9,-1.667,-2.252
2412,2024-01-09,111.1587,109.7692,0.9263,2024-01-17,109.7692,stop_loss,A,8,-1.25,-1.835
2412,2024-01-23,110.6955,109.4549,0.8271,2024-02-27,112.085,trailing_stop,B,35,1.255,0.67
2412,2024-03-01,112.085,110.7451,0.8932,2024-04-08,117.1798,trailing_stop,B,38,4.545,3.96
2412,2024-04-09,116.2534,114.2685,1.3233,2024-04-19,113.9376,stop_loss,A,10,-1.992,-2.577
2412,2024-05-16,116.2534,114.5166,1.1579,2024-05-27,115.7903,trailing_stop,B,11,-0.398,-0.983
2412,2024-05-31,118.5693,116.2865,1.5218,2024-06-21,116.2534,stop_loss,A,21,-1.953,-2.538
2412,2024-07-23,116.9833,114.9467,1.3577,2024-08-05,116.9833,trailing_stop,B,13,0.0,-0.585
2412,2024-08-06,117.4647,115.1436,1.5474,2024-09-04,117.4647,trailing_stop,B,29,0.0,-0.585
2412,2024-09-30,120.8346,119.6482,0.7909,2024-10-07,119.3903,stop_loss,A,7,-1.195,-1.78
2412,2024-11-26,119.3903,117.9977,0.9284,2025-01-03,117.9461,stop_loss,A,38,-1.21,-1.795
2412,2025-02-13,120.8346,119.4935,0.8941,2025-03-05,122.7602,trailing_stop,B,20,1.594,1.009
2412,2025-03-06,123.2416,122.0037,0.8253,2025-04-07,119.3903,trailing_stop,B,32,-3.125,-3.71
2412,2025-04-30,124.6859,122.4679,1.4786,2025-05-28,127.0929,trailing_stop,B,28,1.931,1.346
2412,2025-06-30,129.9814,127.8666,1.4099,2025-08-25,135.5,trailing_stop,B,56,4.246,3.661
2412,2025-09-19,134.0,132.125,1.25,2025-10-15,131.5,stop_loss,A,26,-1.866,-2.451
2412,2025-12-29,132.0,130.6607,0.8929,2025-12-31,130.5,stop_loss,A,2,-1.136,-1.721
2412,2026-01-02,132.0,130.4464,1.0357,2026-01-21,133.0,trailing_stop,B,19,0.758,0.173
2412,2026-03-06,136.5,134.0357,1.6429,2026-03-20,134.0,stop_loss,A,14,-1.832,-2.417
2412,2026-04-20,137.0,135.0714,1.2857,2026-05-21,137.5,end_of_data,B,31,0.365,-0.22
