year,value_ret,n_rebal,hit_rate,value_ret_pct,twii_ret_pct,alpha_pct
2020,0.4992915830539497,14.0,0.6428571428571429,49.93,33.59,16.34
2021,0.430267647045798,12.0,0.5833333333333334,43.03,18.99,24.04
2022,-0.15117074726526425,13.0,0.38461538461538464,-15.12,-23.97,8.85
2023,0.38706610042845147,13.0,0.6153846153846154,38.71,22.02,16.69
2024,-0.036003817069139354,13.0,0.46153846153846156,-3.6,19.22,-22.82
2025,0.07495485069122765,13.0,0.46153846153846156,7.5,29.97,-22.47
