me_date,n,ic,p,factor,horizon_m
2017-02-28,1420,0.06717856634973053,0.011337718887999665,yoy,1
2017-03-31,1420,0.04028378106410332,0.12919392289082182,yoy,1
2017-04-30,1420,0.0011722003189726363,0.9647983816036789,yoy,1
2017-05-31,1443,0.02746654866506551,0.29710583170538446,yoy,1
2017-06-30,1443,0.09107919555197107,0.000532178234459013,yoy,1
2017-07-31,1443,0.08359057554028634,0.0014821626511229398,yoy,1
2017-08-31,1469,-0.03182916506076581,0.22276681458901562,yoy,1
2017-09-30,1469,0.07287211648724573,0.005200467372920187,yoy,1
2017-10-31,1469,-0.0042011202550288436,0.8721861588431201,yoy,1
2017-11-30,1482,-0.039340866655027305,0.13007562029048614,yoy,1
2017-12-31,1482,0.06015837338875087,0.020555772248592105,yoy,1
2018-01-31,1482,-0.019749378710009924,0.4474222509834187,yoy,1
2018-02-28,1496,0.1006736855689518,9.598189369114473e-05,yoy,1
2018-03-31,1496,0.06332950641442317,0.014290356596221057,yoy,1
2018-04-30,1495,0.03492811573528957,0.17708468484635487,yoy,1
2018-05-31,1515,-0.05250775582673582,0.041004724465203986,yoy,1
2018-06-30,1515,0.004836448988328603,0.8508023151154469,yoy,1
2018-07-31,1515,-0.013629364658397794,0.5960547154519469,yoy,1
2018-08-31,1539,-0.01983778933525651,0.4367562338771198,yoy,1
2018-09-30,1539,-0.004131450346931771,0.8713482433019368,yoy,1
2018-10-31,1538,0.024256434770398443,0.3417874813890629,yoy,1
2018-11-30,1551,-0.052923566702959814,0.03715515538936684,yoy,1
2018-12-31,1551,0.026242000312071644,0.3016851289368439,yoy,1
2019-01-31,1551,0.05806564303292086,0.022203417478092454,yoy,1
2019-02-28,1584,0.09385457813244669,0.00018352630879439616,yoy,1
2019-03-31,1585,-0.009558972829572271,0.7037443821040464,yoy,1
2019-04-30,1586,0.03248339500691556,0.19602490555276336,yoy,1
2019-05-31,1598,0.04943560648456478,0.04817180183156732,yoy,1
2019-06-30,1598,0.07479970614268165,0.002771835395750909,yoy,1
2019-07-31,1598,0.03451375073292803,0.16788916311211258,yoy,1
2019-08-31,1609,-0.017317640631400087,0.4875797885997001,yoy,1
2019-09-30,1609,0.006221206339200894,0.8030857009551048,yoy,1
2019-10-31,1609,0.053589662923820836,0.03159629551618482,yoy,1
2019-11-30,1613,-0.10625123450348255,1.902118039900788e-05,yoy,1
2019-12-31,1613,0.022109240678881304,0.3748769290275543,yoy,1
2020-01-31,1613,0.02120748037002513,0.3946727654871319,yoy,1
2020-02-29,1626,0.13762341733817476,2.5219682983570736e-08,yoy,1
2020-03-31,1626,-0.02066851549481612,0.40491305929890564,yoy,1
2020-04-30,1626,0.06720381761227957,0.006710349851272294,yoy,1
2020-05-31,1633,-0.015995580008703887,0.5183220578636107,yoy,1
