universe,score,label,liquidity,horizon,direction,ic_mean,ic_ir,ic_win,ic_t,ic_n,gross_spread,cost_roundtrip,net_spread,monotonic_rho
full,flow_only_5d,"法人流量/市值 conviction (5d, 無動量)",all,5,top,0.0044578469711856385,0.06914671413731598,52.980132450331126,3.604925329397899,2718,0.002564554625405804,0.0025,-0.002435445374594196,0.6242424242424242
full,flow_only_5d,"法人流量/市值 conviction (5d, 無動量)",all,5,top,0.0044578469711856385,0.06914671413731598,52.980132450331126,3.604925329397899,2718,0.002564554625405804,0.0035,-0.004435445374594196,0.6242424242424242
full,flow_only_5d,"法人流量/市值 conviction (5d, 無動量)",all,20,top,-0.0035265225636648898,-0.05661158003474166,48.7606363300037,-2.9432577693540507,2703,0.0018606231591822616,0.0025,-0.0031393768408177385,0.18787878787878787
full,flow_only_5d,"法人流量/市值 conviction (5d, 無動量)",all,20,top,-0.0035265225636648898,-0.05661158003474166,48.7606363300037,-2.9432577693540507,2703,0.0018606231591822616,0.0035,-0.0051393768408177385,0.18787878787878787
full,flow_only_5d,"法人流量/市值 conviction (5d, 無動量)",all,60,top,0.004667869941455089,0.07729741958925102,54.11190386781824,3.98887639983271,2663,0.008806577864185542,0.0025,0.003806577864185542,0.23636363636363633
full,flow_only_5d,"法人流量/市值 conviction (5d, 無動量)",all,60,top,0.004667869941455089,0.07729741958925102,54.11190386781824,3.98887639983271,2663,0.008806577864185542,0.0035,0.0018065778641855419,0.23636363636363633
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,5,top,0.0040728197419074704,0.0735280725441351,55.3030303030303,3.8712373082902194,2772,0.002450558490228637,0.0025,-0.002549441509771363,0.19999999999999998
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,5,top,0.0040728197419074704,0.0735280725441351,55.3030303030303,3.8712373082902194,2772,0.002450558490228637,0.0035,-0.0045494415097713636,0.19999999999999998
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,20,top,0.003060023640164193,0.05947475518894445,53.13746826260428,3.1228494382041374,2757,0.0036606098990780694,0.0025,-0.0013393901009219307,0.16363636363636364
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,20,top,0.003060023640164193,0.05947475518894445,53.13746826260428,3.1228494382041374,2757,0.0036606098990780694,0.0035,-0.0033393901009219308,0.16363636363636364
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,60,top,0.0014746304089539814,0.029345108318461648,52.00588884799411,1.5296093728458402,2717,0.00777179698588578,0.0025,0.00277179698588578,0.10303030303030303
full,flow_cont_5d,prior_ret(5d)×法人流量/市值 續勢交互,all,60,top,0.0014746304089539814,0.029345108318461648,52.00588884799411,1.5296093728458402,2717,0.00777179698588578,0.0035,0.0007717969858857801,0.10303030303030303
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,5,top,-0.011840600894042107,-0.14373794826584163,43.31491712707182,-7.489560931729861,2715,0.002134383039402959,0.0025,-0.0028656169605970412,0.5515151515151515
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,5,top,-0.011840600894042107,-0.14373794826584163,43.31491712707182,-7.489560931729861,2715,0.002134383039402959,0.0035,-0.004865616960597041,0.5515151515151515
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,20,top,-0.004261211800776751,-0.05518473328880398,48.25925925925926,-2.8674828557503815,2700,0.0043667163346164505,0.0025,-0.0006332836653835496,0.6121212121212121
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,20,top,-0.004261211800776751,-0.05518473328880398,48.25925925925926,-2.8674828557503815,2700,0.0043667163346164505,0.0035,-0.0026332836653835496,0.6121212121212121
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,60,top,0.006243088552960299,0.08644139152030393,53.421052631578945,4.458231004197833,2660,0.012422123607594655,0.0025,0.007422123607594655,0.6727272727272726
full,flow_samesign_5d,prior_ret×flow 同號 gate (5d),all,60,top,0.006243088552960299,0.08644139152030393,53.421052631578945,4.458231004197833,2660,0.012422123607594655,0.0035,0.005422123607594655,0.6727272727272726
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,5,top,-0.004341031860666978,-0.06722487700263055,47.24264705882353,-3.5060206387600106,2720,0.0011611262252921029,0.0025,-0.0038388737747078973,0.4666666666666666
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,5,top,-0.004341031860666978,-0.06722487700263055,47.24264705882353,-3.5060206387600106,2720,0.0011611262252921029,0.0035,-0.005838873774707897,0.4666666666666666
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,20,top,-0.007150025745699844,-0.10687602242284862,46.6173752310536,-5.558580725055056,2705,0.002871062016964963,0.0025,-0.002128937983035037,0.35757575757575755
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,20,top,-0.007150025745699844,-0.10687602242284862,46.6173752310536,-5.558580725055056,2705,0.002871062016964963,0.0035,-0.004128937983035037,0.35757575757575755
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,60,top,0.007900962165745543,0.12529801838954116,54.63414634146342,6.4683395430281445,2665,0.013529705331139886,0.0025,0.008529705331139885,0.5878787878787878
full,flow_only_20d,"法人流量/市值 conviction (20d, 無動量)",all,60,top,0.007900962165745543,0.12529801838954116,54.63414634146342,6.4683395430281445,2665,0.013529705331139886,0.0035,0.006529705331139886,0.5878787878787878
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,5,top,0.009654971495254254,0.16925597649130575,56.619513964454114,8.88714765482245,2757,0.00235613921685084,0.0025,-0.00264386078314916,0.5515151515151515
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,5,top,0.009654971495254254,0.16925597649130575,56.619513964454114,8.88714765482245,2757,0.00235613921685084,0.0035,-0.00464386078314916,0.5515151515151515
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,20,top,0.009015278962521668,0.16716349997323388,56.52808169219548,8.753367874897771,2742,0.006646694911306799,0.0025,0.0016466949113067989,0.5878787878787878
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,20,top,0.009015278962521668,0.16716349997323388,56.52808169219548,8.753367874897771,2742,0.006646694911306799,0.0035,-0.00035330508869320116,0.5878787878787878
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,60,top,0.008562918846476246,0.17473470951827139,55.40340488527017,9.082843990490781,2702,0.013817850650504126,0.0025,0.008817850650504125,0.5272727272727272
full,flow_cont_20d,prior_ret(20d)×法人流量/市值 續勢交互,all,60,top,0.008562918846476246,0.17473470951827139,55.40340488527017,9.082843990490781,2702,0.013817850650504126,0.0035,0.006817850650504126,0.5272727272727272
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,5,top,-0.0075777252854062884,-0.08938390328269519,46.9440353460972,-4.658265080799112,2716,0.0023020474433381507,0.0025,-0.0026979525566618494,0.9030303030303028
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,5,top,-0.0075777252854062884,-0.08938390328269519,46.9440353460972,-4.658265080799112,2716,0.0023020474433381507,0.0035,-0.0046979525566618495,0.9030303030303028
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,20,top,-0.010259959059016723,-0.12219698366902419,44.39096630877452,-6.350717259562007,2701,0.005961267122233641,0.0025,0.0009612671222336408,0.8303030303030302
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,20,top,-0.010259959059016723,-0.12219698366902419,44.39096630877452,-6.350717259562007,2701,0.005961267122233641,0.0035,-0.0010387328777663593,0.8303030303030302
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,60,top,0.010506354097709633,0.13682274897075447,56.0315670800451,7.057985292997386,2661,0.019170513857482432,0.0025,0.014170513857482431,0.7818181818181817
full,flow_samesign_20d,prior_ret×flow 同號 gate (20d),all,60,top,0.010506354097709633,0.13682274897075447,56.0315670800451,7.057985292997386,2661,0.019170513857482432,0.0035,0.012170513857482433,0.7818181818181817
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,5,top,0.006364198946737378,0.1272937675588223,58.0130529369108,6.685044022981683,2758,0.001568130594511872,0.0025,-0.003431869405488128,0.6727272727272726
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,5,top,0.006364198946737378,0.1272937675588223,58.0130529369108,6.685044022981683,2758,0.001568130594511872,0.0035,-0.005431869405488128,0.6727272727272726
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,20,top,0.005390556442164811,0.11684543056805596,55.08567262121764,6.119622561092483,2743,0.002122605646610763,0.0025,-0.0028773943533892373,0.6727272727272726
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,20,top,0.005390556442164811,0.11684543056805596,55.08567262121764,6.119622561092483,2743,0.002122605646610763,0.0035,-0.004877394353389237,0.6727272727272726
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,60,top,0.004914909612960141,0.1086933582176685,55.197928227894934,5.65100940222849,2703,0.00492543960819989,0.0025,-7.456039180011014e-05,0.4666666666666666
full,flow_turn_cont_5d,prior_ret(5d)×法人流量/成交額 (turnover-norm 對照),all,60,top,0.004914909612960141,0.1086933582176685,55.197928227894934,5.65100940222849,2703,0.00492543960819989,0.0035,-0.00207456039180011,0.4666666666666666
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,5,top,0.011858221999158787,0.23473785965843064,59.48494740660137,12.325414217019528,2757,0.0012961387114404231,0.0025,-0.003703861288559577,0.9636363636363635
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,5,top,0.011858221999158787,0.23473785965843064,59.48494740660137,12.325414217019528,2757,0.0012961387114404231,0.0035,-0.005703861288559577,0.9636363636363635
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,20,top,0.010048236949419115,0.2091163028201766,58.20568927789934,10.950189051537102,2742,0.0030958374432395906,0.0025,-0.0019041625567604095,0.9151515151515152
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,20,top,0.010048236949419115,0.2091163028201766,58.20568927789934,10.950189051537102,2742,0.0030958374432395906,0.0035,-0.0039041625567604096,0.9151515151515152
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,60,top,0.011652896790032145,0.2577668554925547,59.918578830495925,13.3989185137452,2702,0.00866095393522313,0.0025,0.0036609539352231305,0.9515151515151514
full,flow_turn_cont_20d,prior_ret(20d)×法人流量/成交額 (turnover-norm 對照),all,60,top,0.011652896790032145,0.2577668554925547,59.918578830495925,13.3989185137452,2702,0.00866095393522313,0.0035,0.0016609539352231304,0.9515151515151514
full,mom_only_5d,純動量 5d baseline (對照),all,5,top,-0.04000308638972197,-0.33900912580940484,33.477633477633475,-17.84875803587078,2772,-1.8722890905882583e-06,0.0025,-0.005001872289090588,-0.34545454545454546
full,mom_only_5d,純動量 5d baseline (對照),all,5,top,-0.04000308638972197,-0.33900912580940484,33.477633477633475,-17.84875803587078,2772,-1.8722890905882583e-06,0.0035,-0.007001872289090588,-0.34545454545454546
full,mom_only_5d,純動量 5d baseline (對照),all,20,top,-0.009302262119826748,-0.08501478504866253,47.55168661588684,-4.463883422215616,2757,0.006113528384807561,0.0025,0.0011135283848075607,0.5272727272727272
full,mom_only_5d,純動量 5d baseline (對照),all,20,top,-0.009302262119826748,-0.08501478504866253,47.55168661588684,-4.463883422215616,2757,0.006113528384807561,0.0035,-0.0008864716151924393,0.5272727272727272
full,mom_only_5d,純動量 5d baseline (對照),all,60,top,0.005167891693170414,0.05197244258010489,53.07324254692676,2.709055779842089,2717,0.015099330160659681,0.0025,0.01009933016065968,0.5030303030303029
full,mom_only_5d,純動量 5d baseline (對照),all,60,top,0.005167891693170414,0.05197244258010489,53.07324254692676,2.709055779842089,2717,0.015099330160659681,0.0035,0.008099330160659682,0.5030303030303029
