horizon,w_rvol,w_trigger,w_quality,w_trend,mean_ret,win_rate,sharpe,n_days
60d,20,0,20,60,9.45,80.9,1.597,849
60d,20,10,70,0,8.949,82.2,1.698,849
60d,20,10,60,10,9.116,81.2,1.673,849
60d,20,10,50,20,9.323,80.8,1.671,849
60d,20,10,40,30,9.479,81.0,1.648,849
60d,20,10,30,40,9.795,80.7,1.655,849
60d,20,10,20,50,9.48,80.8,1.614,849
60d,20,10,10,60,8.891,79.3,1.548,849
60d,20,20,60,0,8.854,81.5,1.685,849
60d,20,20,50,10,9.185,80.7,1.691,849
60d,20,20,40,20,9.36,79.4,1.646,849
60d,20,20,30,30,9.599,80.6,1.624,849
60d,20,20,20,40,9.475,79.9,1.6,849
60d,20,20,10,50,9.036,78.8,1.521,849
60d,20,20,0,60,8.362,76.6,1.419,849
60d,20,30,50,0,9.108,80.1,1.686,849
60d,20,30,40,10,9.276,79.4,1.647,849
60d,20,30,30,20,9.453,80.1,1.636,849
60d,20,30,20,30,9.318,79.4,1.584,849
60d,20,30,10,40,8.955,78.3,1.502,849
60d,20,30,0,50,8.555,77.0,1.423,849
60d,20,40,40,0,9.147,79.5,1.642,849
60d,20,40,30,10,9.21,79.9,1.641,849
60d,20,40,20,20,9.049,79.7,1.595,849
60d,20,40,10,30,8.742,78.6,1.501,849
60d,20,40,0,40,8.371,76.8,1.408,849
60d,20,50,30,0,8.874,80.0,1.604,849
60d,20,50,20,10,8.655,78.6,1.555,849
60d,20,50,10,20,8.515,78.8,1.494,849
60d,20,50,0,30,8.136,76.6,1.397,849
60d,20,60,20,0,8.318,78.4,1.541,849
60d,20,60,10,10,8.124,79.0,1.492,849
60d,20,60,0,20,7.799,76.1,1.378,849
60d,30,0,70,0,7.958,80.3,1.57,849
60d,30,0,60,10,7.978,78.9,1.545,849
60d,30,0,50,20,8.338,78.6,1.543,849
60d,30,0,40,30,8.769,80.0,1.557,849
60d,30,0,30,40,8.926,80.0,1.542,849
60d,30,0,20,50,8.791,79.6,1.533,849
60d,30,0,10,60,8.373,77.7,1.48,849
60d,30,10,60,0,8.009,79.9,1.589,849
60d,30,10,50,10,8.197,80.3,1.587,849
60d,30,10,40,20,8.462,79.4,1.586,849
60d,30,10,30,30,8.704,79.9,1.532,849
60d,30,10,20,40,8.52,80.1,1.51,849
60d,30,10,10,50,8.365,78.1,1.47,849
60d,30,10,0,60,8.033,76.2,1.407,849
60d,30,20,50,0,8.349,79.5,1.61,849
60d,30,20,40,10,8.488,78.4,1.581,849
60d,30,20,30,20,8.666,79.0,1.55,849
60d,30,20,20,30,8.588,79.6,1.497,849
60d,30,20,10,40,8.424,78.1,1.451,849
60d,30,20,0,50,8.046,76.2,1.374,849
60d,30,30,40,0,8.498,78.6,1.592,849
60d,30,30,30,10,8.491,78.4,1.553,849
60d,30,30,20,20,8.301,78.2,1.483,849
60d,30,30,10,30,8.235,77.7,1.432,849
60d,30,30,0,40,7.968,76.3,1.368,849
60d,30,40,30,0,8.362,78.4,1.555,849
60d,30,40,20,10,8.213,78.2,1.495,849
60d,30,40,10,20,8.067,77.1,1.456,849
60d,30,40,0,30,7.738,76.1,1.364,849
60d,30,50,20,0,8.004,78.4,1.503,849
60d,30,50,10,10,7.738,78.4,1.447,849
60d,30,50,0,20,7.587,76.7,1.376,849
60d,30,60,10,0,7.606,77.3,1.451,849
60d,30,60,0,10,7.383,77.3,1.369,849
60d,40,0,60,0,7.371,78.0,1.499,849
60d,40,0,50,10,7.493,77.6,1.501,849
60d,40,0,40,20,7.842,78.6,1.514,849
60d,40,0,30,30,8.232,78.7,1.499,849
60d,40,0,20,40,8.21,78.7,1.454,849
60d,40,0,10,50,7.879,76.6,1.407,849
60d,40,0,0,60,7.643,75.1,1.384,849
60d,40,10,50,0,7.606,78.7,1.54,849
60d,40,10,40,10,7.796,78.1,1.536,849
60d,40,10,30,20,8.102,78.2,1.499,849
60d,40,10,20,30,8.152,79.0,1.454,849
60d,40,10,10,40,7.898,76.4,1.395,849
60d,40,10,0,50,7.713,75.9,1.36,849
60d,40,20,40,0,7.88,79.0,1.534,849
60d,40,20,30,10,7.91,77.6,1.493,849
60d,40,20,20,20,7.912,78.4,1.447,849
60d,40,20,10,30,7.987,76.9,1.41,849
60d,40,20,0,40,7.683,75.0,1.343,849
60d,40,30,30,0,7.918,78.1,1.503,849
60d,40,30,20,10,7.803,77.5,1.442,849
60d,40,30,10,20,7.756,77.1,1.413,849
60d,40,30,0,30,7.579,75.9,1.342,849
60d,40,40,20,0,7.702,77.4,1.463,849
60d,40,40,10,10,7.504,76.3,1.412,849
60d,40,40,0,20,7.379,75.7,1.363,849
60d,40,50,10,0,7.354,77.0,1.42,849
60d,40,50,0,10,7.229,76.1,1.373,849
60d,40,60,0,0,7.005,76.3,1.373,849
60d,50,0,50,0,7.337,78.1,1.506,849
60d,50,0,40,10,7.446,77.4,1.486,849
60d,50,0,30,20,7.736,78.6,1.471,849
60d,50,0,20,30,7.883,78.2,1.447,849
60d,50,0,10,40,7.64,74.8,1.373,849
60d,50,0,0,50,7.354,74.9,1.333,849
60d,50,10,40,0,7.493,78.8,1.514,849
60d,50,10,30,10,7.673,79.3,1.477,849
60d,50,10,20,20,7.668,78.0,1.438,849
60d,50,10,10,30,7.59,76.1,1.374,849
60d,50,10,0,40,7.418,74.9,1.34,849
60d,50,20,30,0,7.511,78.9,1.469,849
60d,50,20,20,10,7.444,77.0,1.415,849
60d,50,20,10,20,7.389,76.0,1.38,849
60d,50,20,0,30,7.254,75.6,1.329,849
60d,50,30,20,0,7.334,76.4,1.428,849
60d,50,30,10,10,7.271,76.0,1.388,849
60d,50,30,0,20,7.097,74.9,1.333,849
60d,50,40,10,0,7.153,76.1,1.404,849
60d,50,40,0,10,6.99,75.9,1.349,849
60d,50,50,0,0,6.845,75.5,1.353,849
60d,60,0,40,0,7.192,77.1,1.481,849
60d,60,0,30,10,7.456,77.9,1.471,849
60d,60,0,20,20,7.531,76.6,1.434,849
60d,60,0,10,30,7.347,74.8,1.372,849
60d,60,0,0,40,7.195,74.6,1.328,849
60d,60,10,30,0,7.236,77.1,1.461,849
60d,60,10,20,10,7.158,75.6,1.393,849
60d,60,10,10,20,7.19,75.3,1.365,849
60d,60,10,0,30,7.032,74.8,1.317,849
60d,60,20,20,0,7.0,75.9,1.397,849
60d,60,20,10,10,6.895,75.1,1.349,849
60d,60,20,0,20,6.89,74.1,1.311,849
60d,60,30,10,0,6.873,74.6,1.362,849
60d,60,30,0,10,6.755,74.6,1.315,849
60d,60,40,0,0,6.655,75.3,1.325,849
