run,mt_mode,cap_label,cap,period,side,n_weeks,n_years,cagr,vol_annual,sharpe,mdd,hit_rate,mean_qm_top1_sec,mean_qm_top3_sec,qm_skip,value_skip
industry_tse__cap_40,industry_tse,cap_40,0.4,BEAR_2022,value,51,0.98,10.33,9.79,0.953,-6.85,13.7,0.6816993464052288,0.9692810457516341,1,0
industry_tse__cap_40,industry_tse,cap_40,0.4,BEAR_2022,qm,51,0.98,17.23,16.22,1.001,-10.64,25.5,0.6816993464052288,0.9692810457516341,1,0
industry_tse__cap_40,industry_tse,cap_40,0.4,BEAR_2022,dual,51,0.98,14.06,10.92,1.195,-8.0,29.4,0.6816993464052288,0.9692810457516341,1,0
industry_tse__cap_40,industry_tse,cap_40,0.4,AI_ERA_2024_2025,value,103,1.98,2.33,10.68,0.124,-18.91,16.5,0.5259824318076746,0.9207273848050549,1,3
industry_tse__cap_40,industry_tse,cap_40,0.4,AI_ERA_2024_2025,qm,103,1.98,14.61,13.2,1.031,-8.11,43.7,0.5259824318076746,0.9207273848050549,1,3
industry_tse__cap_40,industry_tse,cap_40,0.4,AI_ERA_2024_2025,dual,103,1.98,8.65,8.75,0.873,-8.98,50.5,0.5259824318076746,0.9207273848050549,1,3
industry_tse__cap_30,industry_tse,cap_30,0.3,IS_2020_2022,value,155,2.98,23.69,11.09,2.046,-7.97,21.9,0.5337634408602151,0.9285304659498208,14,0
industry_tse__cap_30,industry_tse,cap_30,0.3,IS_2020_2022,qm,155,2.98,6.42,17.57,0.308,-19.78,34.2,0.5337634408602151,0.9285304659498208,14,0
industry_tse__cap_30,industry_tse,cap_30,0.3,IS_2020_2022,dual,155,2.98,15.21,11.54,1.231,-9.68,43.2,0.5337634408602151,0.9285304659498208,14,0
industry_tse__cap_30,industry_tse,cap_30,0.3,OOS_2023,value,51,0.98,5.1,3.4,1.203,-0.31,5.9,0.5947712418300654,0.9372549019607842,6,0
industry_tse__cap_30,industry_tse,cap_30,0.3,OOS_2023,qm,51,0.98,0.89,20.32,-0.005,-25.24,31.4,0.5947712418300654,0.9372549019607842,6,0
industry_tse__cap_30,industry_tse,cap_30,0.3,OOS_2023,dual,51,0.98,3.47,10.77,0.229,-13.38,33.3,0.5947712418300654,0.9372549019607842,6,0
industry_tse__cap_30,industry_tse,cap_30,0.3,OOS_2024,value,52,1.0,9.92,8.18,1.091,-3.2,19.2,0.45064102564102565,0.8777777777777778,2,2
industry_tse__cap_30,industry_tse,cap_30,0.3,OOS_2024,qm,52,1.0,11.08,10.25,0.983,-8.11,48.1,0.45064102564102565,0.8777777777777778,2,2
industry_tse__cap_30,industry_tse,cap_30,0.3,OOS_2024,dual,52,1.0,10.74,6.36,1.532,-4.12,59.6,0.45064102564102565,0.8777777777777778,2,2
industry_tse__cap_30,industry_tse,cap_30,0.3,OOS_2025,value,51,0.98,-7.18,12.86,-0.636,-20.84,11.8,0.5949579831932773,0.9619047619047619,0,3
industry_tse__cap_30,industry_tse,cap_30,0.3,OOS_2025,qm,51,0.98,19.92,15.57,1.215,-7.39,37.3,0.5949579831932773,0.9619047619047619,0,3
industry_tse__cap_30,industry_tse,cap_30,0.3,OOS_2025,dual,51,0.98,5.96,10.71,0.463,-9.75,39.2,0.5949579831932773,0.9619047619047619,0,3
industry_tse__cap_30,industry_tse,cap_30,0.3,FULL_2020_2025,value,309,5.94,12.48,10.91,1.052,-17.75,16.8,0.48682385575589465,0.8965480043149945,16,2
industry_tse__cap_30,industry_tse,cap_30,0.3,FULL_2020_2025,qm,309,5.94,12.53,18.71,0.617,-19.78,38.2,0.48682385575589465,0.8965480043149945,16,2
industry_tse__cap_30,industry_tse,cap_30,0.3,FULL_2020_2025,dual,309,5.94,13.04,11.63,1.035,-11.52,44.3,0.48682385575589465,0.8965480043149945,16,2
industry_tse__cap_30,industry_tse,cap_30,0.3,BEAR_2022,value,51,0.98,10.33,9.79,0.953,-6.85,13.7,0.6764705882352942,0.9684095860566448,2,0
industry_tse__cap_30,industry_tse,cap_30,0.3,BEAR_2022,qm,51,0.98,17.77,16.39,1.023,-10.64,25.5,0.6764705882352942,0.9684095860566448,2,0
industry_tse__cap_30,industry_tse,cap_30,0.3,BEAR_2022,dual,51,0.98,14.33,10.99,1.213,-8.0,29.4,0.6764705882352942,0.9684095860566448,2,0
