strategy,n_periods,total_return,cagr,annual_vol,sharpe,mdd,win_rate
B&H TWII,249,0.7305449260297603,0.02678305508201162,0.08074154009992052,0.36817343256272145,-0.30510294237042057,0.5742971887550201
top-10 composite_score,244,2.622046047891557,0.3155923434608643,0.18917440615258244,1.5490244367459143,-0.2697010701535558,0.6352459016393442
top-10 f_score,244,1.5049359303340077,0.21615644051396465,0.22321535374275941,0.9913283540173021,-0.30844644073315464,0.5778688524590164
top-10 composite_parsi,244,6.120144509573904,0.5194203639392256,0.26191623125654395,1.7339006256185767,-0.2968151516571167,0.6147540983606558
top-10 dist_52w_high,218,-0.09453393363130069,-0.02340919729123503,0.29147295311410687,0.06771410084216463,-0.4835113303859787,0.5045871559633027
top-10 close_to_ma60,238,10.495435071097162,0.7049491657430567,0.46384210920136515,1.383142373930691,-0.37403960376646306,0.5672268907563025
top-10 stock_rs_in_sector_60d,231,4.392614512613854,0.46128208073508237,0.4157399023241175,1.1220285275874415,-0.45492575358221,0.5497835497835498
top-10 close_to_ma240,219,1.6836462533939942,0.26414758879609646,0.4200415915707093,0.7656157518060066,-0.5146413861146332,0.5251141552511416
top-10 ma60_slope_20d,234,1.1487069226814413,0.18526961665453268,0.40087310944410837,0.6245276983917356,-0.4901990327613013,0.5299145299145299
top-10 composite_wf_score,245,0.1420643563852404,0.02859528859058247,0.2673059919352652,0.2419435272377205,-0.46675701636896705,0.5142857142857142
top-20 composite_score,244,2.5520742945855415,0.3101343842299218,0.18227971926220246,1.5785938317676396,-0.28243401748602304,0.6598360655737705
top-20 f_score,244,1.6735911263277372,0.23316231396977072,0.2195814099488041,1.068368133156589,-0.3159593631875851,0.6024590163934426
top-20 composite_parsi,244,4.584723817726713,0.442769935072596,0.23505384728080148,1.6839923604950238,-0.3110420606557004,0.6475409836065574
top-20 dist_52w_high,218,-0.04393529186407941,-0.010659947550120563,0.2679578142677191,0.09759892523392243,-0.4524826379933513,0.536697247706422
top-20 close_to_ma60,238,7.885728924758665,0.6116750224917484,0.36124180269670675,1.5060984983800427,-0.3657396893837648,0.592436974789916
top-20 stock_rs_in_sector_60d,231,2.6849696711428406,0.3412475259287031,0.36045622529559207,0.9975781727159232,-0.4388986482103534,0.5670995670995671
top-20 close_to_ma240,219,2.6540661101900076,0.36027674389525277,0.3493717538076266,1.0582599414419631,-0.46906331223278297,0.5799086757990868
top-20 ma60_slope_20d,234,0.7197255613715461,0.12803936335255028,0.35267418269643713,0.5201560543898616,-0.5315777766698384,0.5598290598290598
top-20 composite_wf_score,245,0.28045752729832363,0.053871624159649745,0.24480959263513036,0.34031227307522344,-0.3903259830350858,0.5551020408163265
top-5 composite_parsi (K-grid),244,8.79483464101096,0.6262829358696496,0.3269375393490802,1.6525428062789393,-0.3468301367393277,0.6024590163934426
top-15 composite_parsi (K-grid),244,5.223240342529131,0.4764428699970693,0.2485446258058077,1.69797918498661,-0.3356194957478156,0.6188524590163934
top-30 composite_parsi (K-grid),244,4.2881430705186485,0.42608884516030954,0.22298614833202587,1.7106811821402124,-0.30751125483159025,0.6434426229508197
top-50 composite_parsi (K-grid),244,3.2592304969306296,0.36182013747996344,0.21980056440116527,1.5213963647272606,-0.3068189486074926,0.6352459016393442
