strategy,n_periods,total_return,cagr,annual_vol,sharpe,mdd,win_rate
B&H TWII,58,0.6208282448797677,0.10508036199223292,0.17927335520412702,0.6493535186822496,-0.2842513456511493,0.6551724137931034
top-10 composite_score,57,2.2440617774779508,0.2811432968554193,0.16406370058586608,1.605959646238278,-0.13109714368931802,0.6842105263157895
top-10 dist_52w_high,50,0.2984352079482604,0.06468434417476021,0.2728587992365155,0.3713860504701489,-0.32373832929999524,0.6
top-10 composite_parsi,57,2.6402170959031714,0.31259897260178104,0.2791862818473143,1.1168357577513526,-0.2921552523655977,0.5614035087719298
top-10 capex_intensity,57,1.588334793232415,0.22166371159438092,0.27597835141731425,0.8687733868128956,-0.30562372938949034,0.6491228070175439
top-10 stock_rs_in_sector_60d,53,4.6235413372086835,0.47847355358551935,0.38432637719340296,1.2216838328283464,-0.3935209839369671,0.6792452830188679
top-10 close_to_ma60,55,12.06627873096198,0.7519594699074226,0.40299574910501257,1.6143521237823661,-0.2544518355332306,0.6909090909090909
top-10 ma60_slope_20d,54,1.9037371372633416,0.267299897607185,0.39104530815734334,0.8039333456885237,-0.34417535461439064,0.6666666666666666
top-10 close_to_ma240,51,2.134249553408069,0.3083902863597625,0.3777958160693798,0.9000898358353998,-0.3430597483415778,0.6274509803921569
top-10 composite_wf_score,57,0.5403400753237753,0.09521210351783504,0.24039963287425473,0.500538170359442,-0.28800322100221676,0.543859649122807
top-20 composite_score,57,1.5473783108182975,0.21756836929033363,0.1460323553925478,1.431293920062626,-0.1384819262810053,0.6842105263157895
top-20 dist_52w_high,50,0.091754923362938,0.021292254401584776,0.2676631201057414,0.21820139307902794,-0.3397616203747864,0.6
top-20 composite_parsi,57,2.9068185307959653,0.3322764958749911,0.23876526632813272,1.329430596605608,-0.22708606360153893,0.6140350877192983
top-20 capex_intensity,57,1.0459985553024698,0.16266273291241617,0.2620552386825311,0.7128019920199307,-0.31905375698650906,0.6491228070175439
top-20 stock_rs_in_sector_60d,53,3.076710184345596,0.37462221955456676,0.32023608473478443,1.1627580351214133,-0.3698974821496267,0.6226415094339622
top-20 close_to_ma60,55,7.618000176936503,0.5998847200275095,0.31127217960136777,1.6910940277191329,-0.22536974687154288,0.7090909090909091
top-20 ma60_slope_20d,54,1.4241374318348936,0.21746690366353838,0.3462656201985686,0.7443975091333163,-0.35548671254626163,0.6296296296296297
top-20 close_to_ma240,51,3.0229474490893455,0.38754070235491467,0.32324697647731215,1.183712787174286,-0.3160891495167768,0.6666666666666666
top-20 composite_wf_score,57,1.0205617697765672,0.15960458123191157,0.23836095148256375,0.743523088229801,-0.2785828700768235,0.6140350877192983
