strategy,n_periods,total_return,cagr,annual_vol,sharpe,mdd,win_rate
B&H TWII,35,0.30330303151859384,0.09507569253941539,0.18571781373180465,0.580685954953847,-0.2681057200545266,0.6
top-10 dist_52w_high,30,-0.442499691455977,-0.2084141090586642,0.1617247414363693,-1.351277015107653,-0.45912724578038,0.4
top-10 turnover_log,36,-0.3542320310711813,-0.13564496431256312,0.1212655913620683,-1.13501233330438,-0.3808426052574947,0.4444444444444444
top-10 close_to_ma240,30,0.48126551389183736,0.17018133004322156,0.13658518748314574,1.22279796573074,-0.09569065744464689,0.6
top-10 f_score,34,0.18487376861138127,0.06170023217324938,0.12053030676693602,0.5562729667165154,-0.12166936962586583,0.6470588235294118
top-10 low52w_prox_adj,36,0.5182416882267735,0.14933589589198415,0.1618774364727556,0.9426067677866092,-0.1461746917559773,0.6944444444444444
top-10 close_to_ma60,35,0.3365888248377029,0.10458528793356492,0.13115950341419078,0.8243415571776883,-0.13299410678094337,0.5428571428571428
top-10 ma60_slope_20d,34,0.32346261218995664,0.1039694680040637,0.14040779313955626,0.7739894781261611,-0.10636999297599026,0.5882352941176471
top-20 dist_52w_high,30,-0.3208098711739298,-0.14336355710309778,0.13998722057750432,-1.0292389457752058,-0.335898974108949,0.4
top-20 turnover_log,36,-0.29318411511785636,-0.1092234674088951,0.12089539203966752,-0.8928807434139762,-0.3233934439145343,0.3611111111111111
top-20 close_to_ma240,30,0.34056137796644537,0.12438406281688463,0.10694146918146097,1.1529250022183057,-0.0742112707635384,0.6666666666666666
top-20 f_score,34,0.13699041086410313,0.046354559949044694,0.09704069718726126,0.5146654081736953,-0.11041353423411471,0.5
top-20 low52w_prox_adj,36,0.1302779190067056,0.04166582116261819,0.12061988017077685,0.3978000376177163,-0.16827802734718056,0.6388888888888888
top-20 close_to_ma60,35,0.24320815290647513,0.07749443083168539,0.10075575800072986,0.7918136979570266,-0.09863905150974228,0.5714285714285714
top-20 ma60_slope_20d,34,0.19290345283766963,0.0642340822825429,0.10120176602625443,0.6656080252546146,-0.09907686335295174,0.6176470588235294
