feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
total_pct_8w_delta,33,-0.03471879061138774,-0.052127227054417705,0.05151515151515152,0.05757575757575758,0.05652911249293386,-0.06860311453077617,-0.013274023546947919,-0.008575311665309952,0.004698711881637967,0.07878787878787878,0.24437480505092798
trust_pct_4w_delta,34,-0.014493838437628857,-0.004995636986029775,0.026470588235294117,0.03970588235294118,0.05652911249293386,-0.06433898368400845,,,,,0.6497326789222724
foreign_net_5d_4w_sum,35,-0.021027219852183584,0.0356209385789143,0.04857142857142858,0.05428571428571429,0.05652911249293386,-0.08389205471328764,-0.03147726463779384,-0.026295253986655054,0.0051820106511387895,0.0303030303030303,0.5578460132401452
foreign_net_5d_52w_z,29,-0.05832720504119349,-0.04910536188153918,0.048275862068965524,0.04137931034482759,0.05652911249293386,-0.08244248722508146,0.0022059316140759793,0.002994294004354467,0.0007883623902784878,-0.12727272727272726,0.15415227068257753
trust_net_5d_4w_sum,35,-0.030671268005929824,-0.02533667590605761,0.03428571428571429,0.05,0.05652911249293386,-0.07098452406315384,,,,,0.31695750383913096
trust_net_5d_52w_z,8,0.055832977406830006,0.14860027289247302,0.037500000000000006,0.05,0.05652911249293386,-0.07877302016166098,0.009901561371416514,0.012828561979388274,0.0029270006079717605,0.3939393939393939,0.1483681805570871
vol_compression_60_252,30,-0.05455575128827743,-0.07148763453306743,0.05666666666666668,0.05666666666666668,0.05652911249293386,-0.1037546021227754,0.0033300530394492476,-0.0330980048842471,-0.03642805792369635,-0.6242424242424242,0.07623719724229353
price_stability_60_252,30,-0.0651088755661429,-0.06655801478656936,0.06666666666666668,0.051666666666666666,0.05652911249293386,-0.10634431632271645,0.018712629265851828,-0.0025237547230131923,-0.021236383988865022,-0.8545454545454544,0.047542458206664424
vol_price_divergence,35,-0.08230903001639037,-0.10123730866747968,0.022857142857142857,0.04,0.05652911249293386,-0.03411823203580444,0.04451643456635223,-0.02255390211558733,-0.06707033668193955,-0.8787878787878788,0.006409620773751711
ma60_slope_20d,34,0.09012626721765334,0.1331704558810837,0.11176470588235295,0.07205882352941177,0.05652911249293386,-0.14398876468397995,-0.03193961470127776,0.018435347984773115,0.05037496268605088,0.9757575757575757,0.03829395209494972
body_strength_20d,36,0.012205692196940097,0.025170696010260247,0.08333333333333334,0.06944444444444445,0.05652911249293386,-0.05675716752181273,0.010816278365548795,0.020188256288788994,0.0093719779232402,-0.006060606060606061,0.6562001626512086
upper_half_close_20d_pct,36,0.07477393311187482,0.0985335935882537,0.08611111111111112,0.07222222222222223,0.05652911249293386,-0.07712031279593552,,,,,0.011513424648530762
stealth_volume_20d,35,0.09911254615398525,0.14288281147114687,0.08857142857142858,0.07142857142857144,0.05652911249293386,-0.06306709174929012,-0.021385485806243314,0.017461383093646615,0.03884686889988993,0.9393939393939393,0.001073017327205209
revenue_score,36,0.01810633320670776,0.06796025199111849,0.05000000000000001,0.06527777777777777,0.05652911249293386,-0.05902027319483846,,,,,0.568176758399979
revenue_score_3m_delta,36,-0.015485655149249399,0.0034175483132141676,0.058333333333333334,0.051388888888888894,0.05652911249293386,-0.05721236783967134,,,,,0.6109280162751775
revenue_score_6m_delta,36,0.001915525110162385,0.07236064641684034,0.052777777777777785,0.05694444444444445,0.05652911249293386,-0.056948664024500606,,,,,0.9486039478092017
