date,融資餘額,融券餘額
2016-01-04,14835,5772
2016-01-05,16294,5644
2016-01-06,17940,4923
2016-01-07,19406,4844
2016-01-08,19670,4702
2016-01-11,19646,4784
2016-01-12,19535,4840
2016-01-13,19295,4964
2016-01-14,20283,4806
2016-01-15,18019,6319
2016-01-18,17785,6211
2016-01-19,17358,5679
2016-01-20,18584,5237
2016-01-21,18043,5557
2016-01-22,16466,6044
2016-01-25,15993,6247
2016-01-26,16284,6018
2016-01-27,15688,6371
2016-01-28,15266,6310
2016-01-29,14496,6529
2016-01-30,14865,5937
2016-02-01,14085,6238
2016-02-02,14186,6000
2016-02-03,13111,6489
2016-02-15,13039,6530
2016-02-16,12092,6768
2016-02-17,12057,6828
2016-02-18,11120,7290
2016-02-19,11033,7212
2016-02-22,11416,7166
2016-02-23,11916,7005
2016-02-24,12390,6703
2016-02-25,11877,6906
2016-02-26,12814,6609
2016-03-01,11868,6948
2016-03-02,11852,6926
2016-03-03,11842,7058
2016-03-04,12274,6728
2016-03-07,12663,6648
2016-03-08,12761,6508
2016-03-09,12575,6488
2016-03-10,12512,6699
2016-03-11,12791,6685
2016-03-14,14013,6310
2016-03-15,14147,6120
2016-03-16,14087,6372
2016-03-17,13349,6336
2016-03-18,12896,6261
2016-03-21,12884,5933
2016-03-22,13230,5472
2016-03-23,12976,5522
2016-03-24,12130,4792
2016-03-25,12232,4386
2016-03-28,12029,4100
2016-03-29,12072,2989
2016-03-30,11651,87
2016-03-31,12020,0
2016-04-01,13352,0
2016-04-06,15357,0
2016-04-07,15286,449
2016-04-08,13737,1802
2016-04-11,13512,2332
2016-04-12,13443,2458
2016-04-13,12848,3222
2016-04-14,13339,3242
2016-04-15,12877,3206
2016-04-18,13131,3061
2016-04-19,13614,3032
2016-04-20,14669,2354
2016-04-21,14237,2717
2016-04-22,13946,2995
2016-04-25,13906,3163
2016-04-26,13646,3254
2016-04-27,13707,3131
2016-04-28,14929,2474
2016-04-29,16602,2180
2016-05-03,18635,1939
2016-05-04,19191,2148
2016-05-05,19518,2108
2016-05-06,19688,2184
2016-05-09,19074,2183
2016-05-10,19285,2135
2016-05-11,19219,2179
2016-05-12,19365,2275
2016-05-13,19936,2196
2016-05-16,19815,2222
2016-05-17,19089,2309
2016-05-18,19235,2291
2016-05-19,18305,2284
2016-05-20,17054,2605
2016-05-23,14694,2894
2016-05-24,15489,1897
2016-05-25,14619,2097
2016-05-26,14335,2334
2016-05-27,13885,2532
2016-05-30,13637,2790
2016-05-31,13699,2729
2016-06-01,13086,3100
2016-06-02,12654,3281
2016-06-03,12067,3812
2016-06-04,12041,3739
2016-06-06,11781,3774
2016-06-07,11608,4261
2016-06-08,11172,4323
2016-06-13,11216,3277
2016-06-14,11306,2930
2016-06-15,11007,2877
2016-06-16,11085,2191
2016-06-17,10661,2062
2016-06-20,10763,1436
2016-06-21,10428,75
2016-06-22,10708,0
2016-06-23,11244,0
2016-06-24,13072,0
2016-06-27,13374,992
2016-06-28,13274,1333
2016-06-29,12584,2088
2016-06-30,11570,3417
2016-07-01,10760,4877
2016-07-04,10541,4999
2016-07-05,10295,4724
2016-07-06,10629,3709
2016-07-07,10286,4262
2016-07-11,10261,5211
2016-07-12,10011,5731
2016-07-13,11278,4886
2016-07-14,11138,5210
2016-07-15,10837,5211
2016-07-18,10465,5223
2016-07-19,10157,5358
2016-07-20,9945,5469
2016-07-21,9307,5748
2016-07-22,9147,5889
2016-07-25,9006,6040
2016-07-26,8344,5897
2016-07-27,8127,6125
2016-07-28,7730,6243
2016-07-29,8420,6064
2016-08-01,7884,6357
2016-08-02,7950,6242
2016-08-03,8666,5871
2016-08-04,8667,5913
2016-08-05,7463,6074
2016-08-08,7370,6078
2016-08-09,7232,6143
2016-08-10,7170,6168
2016-08-11,7606,5733
2016-08-12,7497,5961
2016-08-15,7260,5999
2016-08-16,7625,5731
2016-08-17,7055,5961
2016-08-18,6940,5861
2016-08-19,6971,5916
2016-08-22,7194,5716
2016-08-23,7068,5709
2016-08-24,6949,5693
2016-08-25,6547,5715
2016-08-26,6697,5712
2016-08-29,6815,5680
2016-08-30,7304,5603
2016-08-31,6940,5648
2016-09-01,7768,5569
2016-09-02,7515,5621
2016-09-05,7136,5710
2016-09-06,6905,5816
2016-09-07,6799,6072
2016-09-08,7254,6032
2016-09-09,8195,5940
2016-09-10,8296,5902
2016-09-12,9342,5547
2016-09-13,9753,5580
2016-09-14,10913,5457
2016-09-19,8711,6516
2016-09-20,8444,6608
2016-09-21,7561,6690
2016-09-22,7171,6865
2016-09-23,7456,6891
