date,Dealer_self,Foreign_Dealer_Self,外資,投信,自營商,三大法人合計
2016-06-01,-80000,0,-1571726,-294000,-16000,-1961726
2016-06-02,-399000,0,678900,59000,-16000,322900
2016-06-03,-1199000,0,-33288,83000,-59000,-1208288
2016-06-04,2351000,0,-11000,1566000,534000,4440000
2016-06-06,122000,0,996000,-77000,-33000,1008000
2016-06-07,123000,0,-588400,0,209000,-256400
2016-06-08,196000,0,333276,597000,-217000,909276
2016-06-13,293000,0,-2076000,130000,615000,-1038000
2016-06-14,-7000,0,2248000,182000,-256000,2167000
2016-06-15,-11000,0,-1670872,443000,309000,-929872
2016-06-16,-124000,0,-985637,500000,-326000,-935637
2016-06-17,-756000,0,-928833,-1802000,84000,-3402833
2016-06-20,42000,0,-1262000,-1032000,-171000,-2423000
2016-06-21,34000,0,159356,50000,207000,450356
2016-06-22,-34000,0,-92000,-34000,-20000,-180000
2016-06-23,-317000,0,-220000,-140000,-137000,-814000
2016-06-24,-147000,0,337000,-219000,-239000,-268000
2016-06-27,-8000,0,-141000,-38000,59000,-128000
2016-06-28,-768000,0,-297000,-325000,54000,-1336000
2016-06-29,-72000,0,-3796000,-678000,154000,-4392000
2016-06-30,45000,0,-629982,-110000,47000,-647982
2016-07-01,185000,0,-1079458,-16000,53000,-857458
2016-07-04,67000,0,2428000,1933000,220000,4648000
2016-07-05,400000,0,-2353684,528000,-165000,-1590684
2016-07-06,-219000,0,-1705297,100000,-233000,-2057297
2016-07-07,5000,0,-2316000,-239000,4000,-2546000
2016-07-11,779000,0,-2495591,1473000,845000,601409
2016-07-12,-686000,0,-1275580,919000,-480000,-1522580
2016-07-13,8000,0,-150004,1788000,638000,2283996
2016-07-14,1282000,0,-2046179,1634000,1000,870821
2016-07-15,68000,0,-308968,362000,-342000,-220968
2016-07-18,27000,0,-126000,367000,-188000,80000
2016-07-19,527000,0,-550000,504000,293000,774000
2016-07-20,70000,0,-41000,248000,-496000,-219000
2016-07-21,477000,0,-464989,-192000,215000,35011
2016-07-22,259000,0,86000,54000,-344000,55000
2016-07-25,-99000,0,234000,570000,-24000,681000
2016-07-26,101000,0,1367000,-249000,275000,1494000
2016-07-27,229000,0,-799941,-711000,-661000,-1942941
2016-07-28,-368000,0,3094502,-337000,-312000,2077502
2016-07-29,-11000,0,43741,736851,-64000,705592
2016-08-01,-256000,0,-1021964,-158000,-72000,-1507964
2016-08-02,-284000,0,-2573000,-991000,78000,-3770000
2016-08-03,63000,0,1024000,-202000,138000,1023000
2016-08-04,-167000,0,-794000,-596000,-58000,-1615000
2016-08-05,-1049000,0,2730000,-1931000,-56000,-306000
2016-08-08,-1368000,0,3224000,-3514000,6000,-1652000
2016-08-09,-639000,0,45000,-575000,87000,-1082000
2016-08-10,8000,0,-2967000,-3154000,85000,-6028000
2016-08-11,-81000,0,2221837,-540000,-5000,1595837
2016-08-12,4000,0,-400000,83000,41000,-272000
2016-08-15,-288000,0,1862048,90000,89000,1753048
2016-08-16,-183000,0,-1117730,490000,50000,-760730
2016-08-17,-3000,0,-441112,154000,-86000,-376112
2016-08-18,41000,0,-1057000,312000,-9000,-713000
2016-08-19,-22000,0,660214,365000,17000,1020214
2016-08-22,-12000,0,321000,67000,-23000,353000
2016-08-23,-9000,0,5024,51000,-4000,43024
2016-08-24,-9000,0,-186988,-378000,38000,-535988
2016-08-25,-91000,0,1097700,-233000,-39000,734700
2016-08-26,37000,0,-322847,-211000,134000,-362847
2016-08-29,-176000,0,-1128000,204000,-305000,-1405000
2016-08-30,-15000,0,958000,-311000,225000,857000
2016-08-31,22000,0,124000,-546000,582000,182000
2016-09-01,-22000,0,-416400,-1046000,-690000,-2174400
2016-09-02,-196000,0,-761800,-777000,-180000,-1914800
2016-09-05,0,0,1332000,142000,104000,1578000
2016-09-06,24000,0,417000,0,284000,725000
2016-09-07,-41000,0,-261117,56000,-138000,-384117
2016-09-08,105000,0,10480,0,-7000,108480
2016-09-09,-20000,0,-576458,-15000,65000,-546458
2016-09-10,-17000,0,0,139000,-15000,107000
2016-09-12,18000,0,-749000,-1025000,-240000,-1996000
2016-09-13,104000,0,1382000,2448000,649000,4583000
2016-09-14,7000,0,-2007000,2121000,-432000,-311000
2016-09-19,242000,0,-294225,313000,470000,730775
2016-09-20,84000,0,-159344,552000,-280000,196656
2016-09-21,83000,0,-132000,-169000,36000,-182000
2016-09-22,151000,0,-73000,-332000,-153000,-407000
2016-09-23,-320000,0,-216259,-365000,-37000,-938259
2016-09-26,-95000,0,-387436,50000,-56000,-488436
2016-09-29,-14000,0,-520075,-202000,-72000,-808075
2016-09-30,-271000,0,913000,-807363,-28000,-193363
2016-10-03,29000,0,-937868,-103000,-38000,-1049868
2016-10-04,10000,0,-735000,-419000,71000,-1073000
2016-10-05,-174000,0,-2578362,-1317000,-147602,-4216964
2016-10-06,-160000,0,509000,120000,57000,526000
2016-10-07,0,0,-1151000,20000,162000,-969000
2016-10-11,-15000,0,758000,662000,99000,1504000
2016-10-12,3000,0,-1428280,-142000,16000,-1551280
2016-10-13,48000,0,-746000,382000,118000,-198000
2016-10-14,69000,0,-109000,72000,-174000,-142000
2016-10-17,74000,0,691000,122000,56000,943000
2016-10-18,14000,0,213000,10000,174000,411000
2016-10-19,-46000,0,-115888,10000,36000,-115888
2016-10-20,-52000,0,-462000,126000,-3000,-391000
2016-10-21,-8000,0,-501662,44000,57000,-408662
2016-10-24,0,0,-212000,90000,186000,64000
2016-10-25,0,0,-1091000,-1000,94000,-998000
2016-10-26,35000,0,-544000,-133000,76000,-566000
2016-10-27,267000,0,814000,170000,1246000,2497000
2016-10-28,48000,0,-709000,702000,-404000,-363000
2016-10-31,132000,0,-333210,1226000,792000,1816790
2016-11-01,-194000,0,-893000,520000,-905000,-1472000
2016-11-02,23000,0,5500,109403,-121000,16903
2016-11-03,-119000,0,117000,-1990000,-20000,-2012000
2016-11-04,-31000,0,-242000,165000,-4000,-112000
2016-11-07,96000,0,-778000,1253000,227000,798000
2016-11-08,2000,0,73000,1120000,-11000,1184000
2016-11-09,50000,0,-317000,-33000,81000,-219000
2016-11-10,-286000,0,-303000,-1279000,525000,-1343000
2016-11-11,0,0,-3212000,63000,-344000,-3493000
2016-11-14,7000,0,-1013000,-175000,-106000,-1287000
2016-11-15,10000,0,-3885121,-156000,111000,-3920121
2016-11-16,-6000,0,-2167951,169000,11000,-1993951
2016-11-17,0,0,-216112,-1626000,-49000,-1891112
2016-11-18,-7000,0,-1272713,-126000,85000,-1320713
2016-11-21,0,0,-648950,-153000,-62000,-863950
2016-11-22,50000,0,110891,67000,149000,376891
2016-11-23,11000,0,-1538546,80000,-3000,-1450546
2016-11-24,-49000,0,-2838000,-32000,-75000,-2994000
2016-11-25,-3000,0,2000,20000,47000,66000
2016-11-28,6000,0,-580000,176000,110000,-288000
2016-11-29,0,0,-657000,138000,118000,-401000
2016-11-30,-3000,0,-927000,0,-63000,-993000
2016-12-01,59000,0,-532959,198000,329000,53041
2016-12-02,51000,0,-1823000,143000,-141000,-1770000
2016-12-05,48000,0,-952000,35000,72000,-797000
2016-12-06,48000,0,-184000,30000,228000,122000
2016-12-07,239000,0,-2927000,130000,-3000,-2561000
2016-12-08,-29000,0,363700,434000,577000,1345700
2016-12-09,55000,0,-430000,1553000,-195000,983000
2016-12-12,-38000,0,-917000,10000,-141000,-1086000
2016-12-13,70000,0,-193000,764000,4000,645000
2016-12-14,320000,0,-725000,587000,107000,289000
2016-12-15,98000,0,-84761,-50000,-53000,-89761
2016-12-16,-84000,0,103011,445000,-58000,406011
2016-12-19,-39000,0,-351000,543000,50000,203000
2016-12-20,-1000,0,-523130,1350000,340000,1165870
2016-12-21,143000,0,-502000,1179000,448000,1268000
2016-12-22,-160000,0,-637000,1016000,660000,879000
2016-12-23,100000,0,-7000,0,-337000,-244000
2016-12-26,20000,0,520000,227000,296000,1063000
2016-12-27,-51000,0,-450000,1844000,-49000,1294000
2016-12-28,-109000,0,-566000,420000,-272000,-527000
2016-12-29,198000,0,174852,283000,-735000,-79148
2016-12-30,-9000,0,-68000,223000,-106000,40000
2017-01-03,365000,0,322000,351000,8000,1046000
2017-01-04,322000,0,-1458,385000,400000,1105542
2017-01-05,113000,0,571348,327000,-345000,666348
2017-01-06,148000,0,-366099,800000,-42000,539901
2017-01-09,-165000,0,-583000,426000,-173000,-495000
2017-01-10,-74000,0,4140000,1197000,195000,5458000
2017-01-11,36000,0,1874000,477000,245000,2632000
2017-01-12,69000,0,-252544,6000,-333000,-510544
2017-01-13,-127000,0,1722050,-121000,-76000,1398050
2017-01-16,77000,0,1139000,925000,-128000,2013000
