date,融資餘額,融券餘額
2016-01-04,4643,1252
2016-01-05,4520,1057
2016-01-06,4469,1056
2016-01-07,4319,1002
2016-01-08,3888,1402
2016-01-11,3897,1377
2016-01-12,3874,1181
2016-01-13,3919,1255
2016-01-14,4018,1152
2016-01-15,4070,1148
2016-01-18,3915,1221
2016-01-19,4396,1588
2016-01-20,4564,1442
2016-01-21,4408,1585
2016-01-22,4420,1561
2016-01-25,4336,1560
2016-01-26,4419,1543
2016-01-27,4177,1485
2016-01-28,3932,1491
2016-01-29,3823,1496
2016-01-30,3720,1459
2016-02-01,3587,1440
2016-02-02,3587,1461
2016-02-03,3681,1468
2016-02-15,3799,1551
2016-02-16,3882,1539
2016-02-17,4051,1571
2016-02-18,4160,1569
2016-02-19,4190,1681
2016-02-22,4244,1777
2016-02-23,4067,1738
2016-02-24,4306,1497
2016-02-25,4296,1745
2016-02-26,4491,1732
2016-03-01,4536,1771
2016-03-02,4516,1768
2016-03-03,4610,1835
2016-03-04,4800,1852
2016-03-07,4582,1767
2016-03-08,4759,1770
2016-03-09,4707,1716
2016-03-10,4904,1848
2016-03-11,4935,1797
2016-03-14,4756,1919
2016-03-15,5042,1746
2016-03-16,4865,1852
2016-03-17,4823,1819
2016-03-18,4688,1933
2016-03-21,4783,1930
2016-03-22,4782,2063
2016-03-23,4615,2038
2016-03-24,4629,2090
2016-03-25,4592,2046
2016-03-28,4554,2033
2016-03-29,4696,2170
2016-03-30,4979,2126
2016-03-31,4984,2087
2016-04-01,5067,2151
2016-04-06,5095,2148
2016-04-07,5141,2182
2016-04-08,5115,2166
2016-04-11,5277,2118
2016-04-12,5118,1804
2016-04-13,5181,2051
2016-04-14,5251,1867
2016-04-15,5268,1863
2016-04-18,5379,1788
2016-04-19,5327,1717
2016-04-20,5363,1457
2016-04-21,5327,1132
2016-04-22,5052,50
2016-04-25,4860,0
2016-04-26,4769,0
2016-04-27,4730,0
2016-04-28,4613,86
2016-04-29,4589,99
2016-05-03,4601,163
2016-05-04,4579,168
2016-05-05,4546,196
2016-05-06,4502,221
2016-05-09,4423,230
2016-05-10,4645,768
2016-05-11,4855,1237
2016-05-12,4772,811
2016-05-13,4771,1391
2016-05-16,4754,1436
2016-05-17,4702,1523
2016-05-18,4559,1655
2016-05-19,4560,1854
2016-05-20,4611,1841
2016-05-23,4759,1817
2016-05-24,4732,1792
2016-05-25,4783,1863
2016-05-26,4844,1893
2016-05-27,4800,1906
2016-05-30,4790,1845
2016-05-31,4662,1841
2016-06-01,4812,1863
2016-06-02,4691,1891
2016-06-03,4685,1958
2016-06-04,4709,1936
2016-06-06,4627,1836
2016-06-07,4588,1816
2016-06-08,4655,1824
2016-06-13,4582,1821
2016-06-14,4645,1872
2016-06-15,4632,1866
2016-06-16,4675,1902
2016-06-17,4763,1961
2016-06-20,4791,1915
2016-06-21,4737,1892
2016-06-22,4773,1805
2016-06-23,4590,1746
2016-06-24,4426,1563
