date,ForeignHoldingRatio
2016-01-04,9.54
2016-01-05,9.76
2016-01-06,9.58
2016-01-07,9.68
2016-01-08,9.74
2016-01-11,9.55
2016-01-12,9.59
2016-01-13,9.54
2016-01-14,9.4
2016-01-15,9.3
2016-01-18,9.71
2016-01-19,9.78
2016-01-20,9.74
2016-01-21,9.77
2016-01-22,9.72
2016-01-25,9.69
2016-01-26,9.67
2016-01-27,9.49
2016-01-28,9.5
2016-01-29,9.58
2016-01-30,9.58
2016-02-01,9.52
2016-02-02,9.61
2016-02-03,9.52
2016-02-04,9.52
2016-02-05,9.52
2016-02-15,9.68
2016-02-16,9.73
2016-02-17,9.44
2016-02-18,9.32
2016-02-19,9.11
2016-02-22,8.77
2016-02-23,8.78
2016-02-24,8.74
2016-02-25,8.77
2016-02-26,8.75
2016-03-01,8.86
2016-03-02,8.77
2016-03-03,8.56
2016-03-04,8.58
2016-03-07,8.63
2016-03-08,8.69
2016-03-09,8.52
2016-03-10,8.52
2016-03-11,8.5
2016-03-14,8.61
2016-03-15,8.53
2016-03-16,8.74
2016-03-17,8.63
2016-03-18,8.41
2016-03-21,8.43
2016-03-22,8.43
2016-03-23,8.45
2016-03-24,8.62
2016-03-25,8.65
2016-03-28,8.65
2016-03-29,8.69
2016-03-30,9.04
2016-03-31,9.25
2016-04-01,9.41
2016-04-06,9.57
2016-04-07,9.74
2016-04-08,9.74
2016-04-11,9.77
2016-04-12,9.84
2016-04-13,10.09
2016-04-14,10.19
2016-04-15,10.4
2016-04-18,10.48
2016-04-19,10.6
2016-04-20,10.37
2016-04-21,10.51
2016-04-22,10.24
2016-04-25,10.47
2016-04-26,10.01
2016-04-27,9.98
2016-04-28,9.84
2016-04-29,9.9
2016-05-03,9.77
2016-05-04,9.8
2016-05-05,9.94
2016-05-06,9.7
2016-05-09,9.66
2016-05-10,9.88
2016-05-11,9.95
2016-05-12,9.99
2016-05-13,10.07
2016-05-16,10.42
2016-05-17,10.47
2016-05-18,10.34
2016-05-19,10.31
2016-05-20,10.3
2016-05-23,10.32
2016-05-24,10.28
2016-05-25,10.44
2016-05-26,10.32
2016-05-27,10.15
2016-05-30,10.06
2016-05-31,10.02
2016-06-01,10.09
2016-06-02,10.05
2016-06-03,10.0
2016-06-04,10.0
2016-06-06,10.04
2016-06-07,10.46
2016-06-08,10.28
2016-06-13,10.33
2016-06-14,10.3
2016-06-15,10.18
2016-06-16,9.97
2016-06-17,10.01
2016-06-20,9.98
2016-06-21,9.87
2016-06-22,9.92
2016-06-23,10.03
2016-06-24,10.0
2016-06-27,10.0
2016-06-28,9.96
2016-06-29,10.01
2016-06-30,10.01
