date,ForeignHoldingRatio
2016-01-04,4.01
2016-01-05,4.19
2016-01-06,4.83
2016-01-07,5.0
2016-01-08,5.1
2016-01-11,4.87
2016-01-12,4.19
2016-01-13,4.09
2016-01-14,3.89
2016-01-15,3.37
2016-01-18,3.66
2016-01-19,4.04
2016-01-20,4.11
2016-01-21,4.14
2016-01-22,3.71
2016-01-25,3.68
2016-01-26,4.13
2016-01-27,4.0
2016-01-28,4.03
2016-01-29,4.36
2016-01-30,4.35
2016-02-01,4.39
2016-02-02,4.58
2016-02-03,4.48
2016-02-04,4.48
2016-02-05,4.48
2016-02-15,4.4
2016-02-16,4.37
2016-02-17,4.6
2016-02-18,4.82
2016-02-19,4.82
2016-02-22,4.73
2016-02-23,4.85
2016-02-24,4.94
2016-02-25,5.02
2016-02-26,4.81
2016-03-01,4.74
2016-03-02,4.78
2016-03-03,4.85
2016-03-04,4.73
2016-03-07,4.48
2016-03-08,4.44
2016-03-09,4.47
2016-03-10,4.2
2016-03-11,4.07
2016-03-14,4.04
2016-03-15,3.85
2016-03-16,3.93
2016-03-17,4.07
2016-03-18,4.61
2016-03-21,4.28
2016-03-22,4.36
2016-03-23,4.17
2016-03-24,4.21
2016-03-25,4.17
2016-03-28,4.26
2016-03-29,4.36
2016-03-30,4.06
2016-03-31,4.0
2016-04-01,3.98
2016-04-06,3.97
2016-04-07,3.89
2016-04-08,3.93
2016-04-11,3.94
2016-04-12,3.92
2016-04-13,4.33
2016-04-14,4.08
2016-04-15,4.21
2016-04-18,4.25
2016-04-19,3.97
2016-04-20,3.82
2016-04-21,3.6
2016-04-22,3.37
2016-04-25,3.32
2016-04-26,3.31
2016-04-27,3.22
2016-04-28,3.3
2016-04-29,3.34
2016-05-03,3.38
2016-05-04,3.32
2016-05-05,3.27
2016-05-06,3.19
2016-05-09,3.24
2016-05-10,3.24
2016-05-11,3.2
2016-05-12,3.47
2016-05-13,3.89
2016-05-16,3.83
2016-05-17,3.85
2016-05-18,4.06
2016-05-19,4.08
2016-05-20,4.19
2016-05-23,4.27
2016-05-24,4.14
2016-05-25,4.2
2016-05-26,4.27
2016-05-27,4.36
2016-05-30,4.43
2016-05-31,5.24
2016-06-01,5.2
2016-06-02,5.66
2016-06-03,6.06
2016-06-04,6.06
2016-06-06,6.24
2016-06-07,6.33
