date,Dealer_self,Foreign_Dealer_Self,外資,投信,自營商,三大法人合計
2016-01-04,0,0,-372000,0,-210000,-582000
2016-01-05,50000,0,281348,-980000,-227000,-875652
2016-01-06,30000,0,1900,-963124,-463000,-1394224
2016-01-07,40000,0,-1831099,-200000,-68000,-2059099
2016-01-08,0,0,-73000,0,57000,-16000
2016-01-11,0,0,-438000,-815000,7000,-1246000
2016-01-12,20000,0,266000,542000,81000,909000
2016-01-13,0,0,-1282999,114000,17000,-1151999
2016-01-14,0,0,-547761,950000,30000,432239
2016-01-15,40000,0,-1081000,601000,-100000,-540000
2016-01-18,0,0,-557000,0,176000,-381000
2016-01-19,0,0,-246000,190000,106000,50000
2016-01-20,30000,0,-702000,30000,-246000,-888000
2016-01-21,0,0,-601350,92000,-119000,-628350
2016-01-22,0,0,-546360,-141000,-24000,-711360
2016-01-25,0,0,233000,226000,15000,474000
2016-01-26,0,0,-214000,0,-4000,-218000
2016-01-27,0,0,302000,555000,153000,1010000
2016-01-28,0,0,-24000,170000,-2000,144000
2016-01-29,0,0,-448000,-144000,22000,-570000
2016-01-30,83000,0,0,-371260,-82000,-370260
2016-02-01,0,0,73000,28000,-58000,43000
2016-02-02,0,0,365000,0,-75000,290000
2016-02-03,-60000,0,659000,447000,-64000,982000
2016-02-15,-50000,0,-90000,0,0,-140000
2016-02-16,0,0,67000,100000,47000,214000
2016-02-17,64000,0,-256000,525000,150000,483000
2016-02-18,92000,0,-430000,190000,-56000,-204000
2016-02-19,-70000,0,-245310,-100000,35000,-380310
2016-02-22,-110000,0,-67000,-150000,-87000,-414000
2016-02-23,-60000,0,-56000,-97000,144000,-69000
2016-02-24,0,0,133000,-630000,-122000,-619000
2016-02-25,2000,0,-186000,-491000,90000,-585000
2016-02-26,100000,0,-44089,0,37000,92911
2016-03-01,100000,0,762309,20000,-171000,711309
2016-03-02,430000,0,933000,-250000,741000,1854000
2016-03-03,88000,0,634000,-318000,-412000,-8000
2016-03-04,-220000,0,494427,0,37000,311427
2016-03-07,28000,0,51000,-2096000,-139000,-2156000
2016-03-08,-190000,0,-332290,-716000,-158000,-1396290
2016-03-09,-94000,0,-134000,-195000,-6000,-429000
2016-03-10,-71000,0,989000,-600000,-76000,242000
2016-03-11,0,0,16000,-499000,15000,-468000
2016-03-14,0,0,408000,-100000,348000,656000
2016-03-15,100000,0,-497000,-755000,-354000,-1506000
