date,ForeignHoldingRatio
2016-01-04,31.52
2016-01-05,31.53
2016-01-06,31.26
2016-01-07,31.07
2016-01-08,31.28
2016-01-11,31.29
2016-01-12,31.21
2016-01-13,31.43
2016-01-14,31.57
2016-01-15,32.01
2016-01-18,32.47
2016-01-19,32.43
2016-01-20,32.14
2016-01-21,32.78
2016-01-22,32.3
2016-01-25,32.49
2016-01-26,32.25
2016-01-27,32.34
2016-01-28,31.92
2016-01-29,31.95
2016-01-30,31.95
2016-02-01,32.04
2016-02-02,32.03
2016-02-03,31.8
2016-02-04,31.8
2016-02-05,31.8
2016-02-15,31.33
2016-02-16,31.2
2016-02-17,31.14
2016-02-18,30.85
2016-02-19,30.43
2016-02-22,30.37
2016-02-23,30.4
2016-02-24,30.24
2016-02-25,30.23
2016-02-26,30.17
2016-03-01,30.2
2016-03-02,29.2
2016-03-03,28.74
2016-03-04,28.63
2016-03-07,28.48
2016-03-08,27.56
2016-03-09,27.01
2016-03-10,26.8
2016-03-11,26.79
2016-03-14,26.65
2016-03-15,26.52
2016-03-16,26.71
2016-03-17,26.43
2016-03-18,26.38
2016-03-21,26.39
2016-03-22,26.96
2016-03-23,26.07
2016-03-24,25.81
2016-03-25,25.67
2016-03-28,25.5
2016-03-29,25.81
2016-03-30,25.76
2016-03-31,25.97
2016-04-01,25.91
2016-04-06,25.78
2016-04-07,25.81
2016-04-08,25.61
2016-04-11,25.87
2016-04-12,26.64
2016-04-13,26.93
2016-04-14,26.9
2016-04-15,27.29
2016-04-18,27.48
2016-04-19,27.44
2016-04-20,27.33
2016-04-21,27.45
2016-04-22,27.85
2016-04-25,27.91
2016-04-26,27.89
2016-04-27,28.02
2016-04-28,28.04
2016-04-29,27.92
2016-05-03,27.99
2016-05-04,28.3
2016-05-05,28.38
2016-05-06,28.69
2016-05-09,28.48
2016-05-10,28.25
2016-05-11,28.85
2016-05-12,29.77
2016-05-13,30.22
2016-05-16,31.19
2016-05-17,32.47
2016-05-18,33.1
2016-05-19,33.66
2016-05-20,34.04
2016-05-23,34.12
2016-05-24,34.45
2016-05-25,34.65
2016-05-26,34.08
2016-05-27,34.59
2016-05-30,34.48
2016-05-31,34.26
2016-06-01,33.97
2016-06-02,34.1
2016-06-03,34.09
2016-06-04,34.09
2016-06-06,34.27
2016-06-07,34.16
2016-06-08,34.23
2016-06-13,33.65
2016-06-14,34.17
2016-06-15,33.98
2016-06-16,33.87
2016-06-17,33.56
2016-06-20,33.31
2016-06-21,33.12
2016-06-22,33.08
2016-06-23,33.04
2016-06-24,33.11
2016-06-27,33.08
2016-06-28,33.02
2016-06-29,32.32
2016-06-30,32.2
2016-07-01,32.0
2016-07-04,32.45
2016-07-05,32.01
2016-07-06,31.7
2016-07-07,31.27
2016-07-11,30.8
2016-07-12,30.57
2016-07-13,30.54
2016-07-14,30.2
2016-07-15,30.21
2016-07-18,30.33
2016-07-19,30.22
2016-07-20,30.22
2016-07-21,30.13
2016-07-22,30.15
2016-07-25,30.19
2016-07-26,30.54
2016-07-27,30.48
2016-07-28,31.05
2016-07-29,30.98
2016-08-01,30.82
2016-08-02,30.34
2016-08-03,30.5
2016-08-04,30.35
2016-08-05,30.87
2016-08-08,31.47
2016-08-09,31.48
2016-08-10,30.92
2016-08-11,31.34
2016-08-12,31.26
2016-08-15,31.61
2016-08-16,31.44
2016-08-17,31.45
2016-08-18,31.25
2016-08-19,31.36
2016-08-22,31.44
2016-08-23,31.46
2016-08-24,31.43
2016-08-25,31.63
2016-08-26,31.58
2016-08-29,31.52
2016-08-30,31.7
2016-08-31,31.72
2016-09-01,32.31
2016-09-02,32.13
2016-09-05,32.38
2016-09-06,32.46
2016-09-07,32.41
2016-09-08,32.41
2016-09-09,32.31
2016-09-10,32.31
2016-09-12,32.17
2016-09-13,31.75
2016-09-14,31.57
2016-09-19,31.51
2016-09-20,31.48
2016-09-21,31.44
2016-09-22,31.38
2016-09-23,31.39
2016-09-26,31.32
2016-09-29,31.22
2016-09-30,31.44
2016-10-03,31.11
2016-10-04,30.98
2016-10-05,30.54
2016-10-06,30.63
2016-10-07,30.41
2016-10-11,30.58
2016-10-12,30.42
2016-10-13,30.28
2016-10-14,30.27
2016-10-17,30.4
2016-10-18,30.44
2016-10-19,30.41
2016-10-20,30.37
2016-10-21,30.28
2016-10-24,30.91
2016-10-25,31.12
2016-10-26,31.02
2016-10-27,31.21
2016-10-28,31.14
2016-10-31,31.1
2016-11-01,30.93
2016-11-02,30.94
2016-11-03,30.96
2016-11-04,30.96
2016-11-07,30.82
2016-11-08,30.67
2016-11-09,30.62
2016-11-10,30.56
2016-11-11,30.09
2016-11-14,29.99
2016-11-15,29.48
2016-11-16,29.14
2016-11-17,29.16
2016-11-18,28.92
2016-11-21,28.8
2016-11-22,28.85
2016-11-23,28.69
2016-11-24,28.16
2016-11-25,28.09
2016-11-28,27.99
2016-11-29,27.91
2016-11-30,27.71
2016-12-01,27.63
2016-12-02,27.35
2016-12-05,27.18
2016-12-06,27.15
2016-12-07,26.63
2016-12-08,26.7
2016-12-09,26.63
2016-12-12,26.46
2016-12-13,26.42
2016-12-14,26.26
2016-12-15,26.25
2016-12-16,26.27
2016-12-19,26.23
2016-12-20,26.14
2016-12-21,26.07
2016-12-22,26.01
2016-12-23,26.01
2016-12-26,26.1
2016-12-27,25.93
2016-12-28,25.84
2016-12-29,25.45
2016-12-30,25.43
2017-01-03,25.49
2017-01-04,25.5
2017-01-05,25.47
2017-01-06,25.25
2017-01-09,25.14
2017-01-10,26.28
2017-01-11,26.0
2017-01-12,25.98
2017-01-13,26.3
2017-01-16,26.4
2017-01-17,26.25
2017-01-18,26.61
2017-01-19,26.86
2017-01-20,26.87
2017-01-23,26.88
2017-01-24,26.79
2017-01-25,26.79
2017-01-26,26.79
2017-02-02,26.61
2017-02-03,26.62
2017-02-06,26.55
2017-02-07,26.31
2017-02-08,26.2
2017-02-09,26.08
2017-02-10,26.27
2017-02-13,26.51
2017-02-14,26.55
2017-02-15,26.43
2017-02-16,26.41
2017-02-17,26.22
2017-02-18,26.2
2017-02-20,26.22
2017-02-21,26.24
2017-02-22,26.42
2017-02-23,26.31
2017-02-24,26.39
2017-03-01,26.33
2017-03-02,26.26
2017-03-03,26.78
2017-03-06,26.56
2017-03-07,26.72
2017-03-08,26.55
2017-03-09,26.29
2017-03-10,26.15
2017-03-13,26.15
2017-03-14,26.31
2017-03-15,26.14
2017-03-16,26.33
2017-03-17,26.32
2017-03-20,26.5
2017-03-21,26.61
2017-03-22,26.19
2017-03-23,25.94
2017-03-24,25.99
2017-03-27,25.87
2017-03-28,25.73
2017-03-29,25.47
2017-03-30,25.45
2017-03-31,25.24
2017-04-05,25.45
2017-04-06,23.78
2017-04-07,23.9
2017-04-10,23.77
2017-04-11,24.04
2017-04-12,25.03
2017-04-13,25.41
2017-04-14,25.39
2017-04-17,26.69
2017-04-18,26.94
2017-04-19,27.2
2017-04-20,27.38
2017-04-21,27.55
2017-04-24,27.71
2017-04-25,27.99
2017-04-26,28.14
2017-04-27,27.9
2017-04-28,28.01
2017-05-02,28.15
2017-05-03,27.82
