date,融資餘額,融券餘額
2016-01-04,5182,458
2016-01-05,4985,496
2016-01-06,5156,524
2016-01-07,4998,515
2016-01-08,4939,533
2016-01-11,5016,539
2016-01-12,4863,517
2016-01-13,4797,594
2016-01-14,4851,552
2016-01-15,4804,565
2016-01-18,4858,567
2016-01-19,4819,539
2016-01-20,4941,511
2016-01-21,4788,548
2016-01-22,4751,564
2016-01-25,4773,552
2016-01-26,4700,583
2016-01-27,4783,554
2016-01-28,4865,543
2016-01-29,4737,522
2016-01-30,4729,513
2016-02-01,4730,515
2016-02-02,4688,514
2016-02-03,4553,509
2016-02-15,4589,521
2016-02-16,4626,523
2016-02-17,4653,519
2016-02-18,4607,517
2016-02-19,4796,426
2016-02-22,4797,418
2016-02-23,4796,407
2016-02-24,4823,380
2016-02-25,4789,384
2016-02-26,4808,381
2016-03-01,4705,381
2016-03-02,4904,377
2016-03-03,4898,458
2016-03-04,5078,440
2016-03-07,5300,701
2016-03-08,5188,630
2016-03-09,5307,637
2016-03-10,5400,593
2016-03-11,5481,549
2016-03-14,5524,534
2016-03-15,5437,509
2016-03-16,5215,508
2016-03-17,5328,512
2016-03-18,5501,499
2016-03-21,5524,485
2016-03-22,5436,465
2016-03-23,5469,316
2016-03-24,5390,286
2016-03-25,5259,215
2016-03-28,5181,109
2016-03-29,5150,1
2016-03-30,5066,0
2016-03-31,4965,0
2016-04-01,4982,0
2016-04-06,4989,51
2016-04-07,4977,73
2016-04-08,4984,92
2016-04-11,4978,107
2016-04-12,4923,120
2016-04-13,4927,138
2016-04-14,4961,137
2016-04-15,4908,160
2016-04-18,4867,164
2016-04-19,4892,286
2016-04-20,4894,400
2016-04-21,5118,471
2016-04-22,5290,432
2016-04-25,5293,405
2016-04-26,5479,460
2016-04-27,5538,516
2016-04-28,5614,487
2016-04-29,5584,501
2016-05-03,5602,468
2016-05-04,5536,392
2016-05-05,5394,469
2016-05-06,5666,550
2016-05-09,5732,531
2016-05-10,5737,540
2016-05-11,5669,531
2016-05-12,5599,492
2016-05-13,5408,504
2016-05-16,5358,454
2016-05-17,5228,487
2016-05-18,5131,474
2016-05-19,5115,482
2016-05-20,5148,475
2016-05-23,5067,452
2016-05-24,5059,458
2016-05-25,5011,447
2016-05-26,4989,406
2016-05-27,4992,405
2016-05-30,4973,355
2016-05-31,4825,360
2016-06-01,4709,365
2016-06-02,4643,381
2016-06-03,4575,412
2016-06-04,4572,424
2016-06-06,4572,432
2016-06-07,4544,383
2016-06-08,4525,315
2016-06-13,4510,375
2016-06-14,4595,369
2016-06-15,4651,413
2016-06-16,4673,443
2016-06-17,4674,435
2016-06-20,4657,389
2016-06-21,4736,346
2016-06-22,4756,323
2016-06-23,4915,318
2016-06-24,4843,323
2016-06-27,4823,321
2016-06-28,4836,308
2016-06-29,4806,301
2016-06-30,4809,283
2016-07-01,4856,282
2016-07-04,4839,303
2016-07-05,4803,276
2016-07-06,4804,260
2016-07-07,4769,243
2016-07-11,4726,232
2016-07-12,4691,221
2016-07-13,4682,194
2016-07-14,4677,195
2016-07-15,4633,172
2016-07-18,4674,164
2016-07-19,4653,138
2016-07-20,4673,123
2016-07-21,4652,114
2016-07-22,4800,7
2016-07-25,4666,0
2016-07-26,4566,0
2016-07-27,4439,0
2016-07-28,4764,445
2016-07-29,4989,897
2016-08-01,4975,1021
2016-08-02,4918,1120
2016-08-03,4812,1129
2016-08-04,4736,1481
2016-08-05,4706,1471
2016-08-08,4780,1593
2016-08-09,4801,1688
2016-08-10,4827,1691
2016-08-11,4772,1611
2016-08-12,4806,1585
2016-08-15,4908,1489
2016-08-16,4900,1454
2016-08-17,4921,1432
2016-08-18,4901,1504
2016-08-19,4889,1459
2016-08-22,4863,1423
2016-08-23,4934,1404
2016-08-24,5001,1409
2016-08-25,5060,1414
2016-08-26,5002,1059
2016-08-29,4973,1033
2016-08-30,4952,1043
2016-08-31,4944,1049
2016-09-01,4860,1024
2016-09-02,4791,960
2016-09-05,4762,911
2016-09-06,4781,758
2016-09-07,4800,734
2016-09-08,4761,611
2016-09-09,4784,566
2016-09-10,4749,550
2016-09-12,4757,540
2016-09-13,4727,509
2016-09-14,4708,508
2016-09-19,4671,470
2016-09-20,4684,467
2016-09-21,4675,451
2016-09-22,4702,416
2016-09-23,4717,390
2016-09-26,4716,380
2016-09-29,4698,377
2016-09-30,4717,375
2016-10-03,4720,375
2016-10-04,4700,357
2016-10-05,4680,345
2016-10-06,4687,309
2016-10-07,4676,306
2016-10-11,4644,294
2016-10-12,4627,268
2016-10-13,4594,275
2016-10-14,4496,291
2016-10-17,4480,250
2016-10-18,4472,260
2016-10-19,4493,264
2016-10-20,4505,257
2016-10-21,4519,224
2016-10-24,4525,225
2016-10-25,4588,229
2016-10-26,4582,231
2016-10-27,4559,176
2016-10-28,4547,176
2016-10-31,4552,178
2016-11-01,4551,189
2016-11-02,4540,220
2016-11-03,4432,240
2016-11-04,4410,223
2016-11-07,4250,209
2016-11-08,4265,204
2016-11-09,4208,246
2016-11-10,4150,209
2016-11-11,4159,231
2016-11-14,4167,189
2016-11-15,4139,160
