date,DayTradingVolume,DT_Buy,DT_Sell
2016-01-05,1523000,50221150,50618900
2016-01-06,3847000,133513000,134094950
2016-01-07,2239000,75327600,73822900
2016-01-08,3758000,122763450,124351900
2016-01-11,2191000,73182900,73561350
2016-01-12,1846000,60171400,60189300
2016-01-13,1377000,45117750,45172000
2016-01-14,1837000,57740450,57634600
2016-01-15,2472000,74543250,74005150
2016-01-18,2418000,74752200,75566650
2016-01-19,4193000,141908100,143895050
2016-01-20,2286000,76866500,75883600
2016-01-21,3267000,109365100,110388750
2016-01-22,3279000,113453050,112227050
2016-01-25,1789000,61896850,62100750
2016-01-26,3726000,132908850,132987050
2016-01-27,3847000,137046400,137475800
2016-01-28,2516000,90881500,90585650
2016-01-29,1761000,60822400,60546300
2016-02-01,1713000,56801300,56569050
2016-02-02,2360000,78379150,77870500
2016-02-03,1235000,40693850,40834250
2016-02-15,1292000,41390500,41141400
2016-02-16,1409000,45025800,45171300
2016-02-17,1099000,35394150,35179850
2016-02-18,2771000,91835100,93067800
2016-02-19,1330000,44195150,44041250
2016-02-22,1383000,46039500,45890300
2016-02-23,391000,12901600,12857600
2016-02-24,625000,20363150,20271050
2016-02-25,553000,17671700,17603650
2016-02-26,1308000,42247750,42334250
2016-03-01,2766000,93601750,94459200
2016-03-02,2712000,95383550,95027850
2016-03-03,806000,27078650,26942800
2016-03-04,1536000,52117600,52485700
2016-03-07,3125000,111531950,111895300
2016-03-08,1196000,41541600,41465850
2016-03-09,2982000,104848950,105063200
2016-03-10,1469000,51726150,51589000
2016-03-11,889000,30868900,30981600
2016-03-14,977000,34270350,34455150
2016-03-15,1103000,38480700,38253900
2016-03-16,883000,30303900,30449900
2016-03-17,837000,28741300,28495050
2016-03-18,1909000,63865200,64197800
2016-03-21,987000,34295700,34377100
2016-03-22,9862000,365073650,368999750
2016-03-23,4351000,165426600,164485600
2016-03-24,4546000,169177300,167449650
2016-03-25,2670000,98795600,99018550
2016-03-28,934000,34492450,34468400
2016-03-29,1389000,49316700,49111700
2016-03-30,784000,27824600,27811600
2016-03-31,1386000,48272250,48492900
2016-04-01,698000,24366000,24425500
2016-04-06,549000,19063000,19097600
2016-04-07,495000,17199250,17190500
2016-04-08,904000,31537250,31490650
2016-04-11,1742000,58431050,58588600
2016-04-12,2180000,69158900,67706550
2016-04-13,863000,27921650,28149900
2016-04-14,460000,15094600,14930750
2016-04-15,673000,21047550,20955700
2016-04-18,872000,27372500,27335650
2016-04-19,1823000,57323800,57761050
2016-04-20,655000,20452250,20399500
2016-04-21,1734000,52495250,52539550
2016-04-22,1651000,49235150,49285700
2016-04-25,763000,23222350,23248850
2016-04-26,701000,21662700,21740050
2016-04-27,857000,26932400,26996600
2016-04-28,512000,15979200,15884650
