date,DayTradingVolume,DT_Buy,DT_Sell
2016-02-01,3000,102250,102400
2016-02-02,1000,33550,34000
2016-02-03,2000,67100,67100
2016-02-15,1000,33100,32800
2016-02-16,11000,368100,373350
2016-02-17,164000,5935950,5867450
2016-02-18,94000,3355450,3349700
2016-02-19,303000,11205350,11289750
2016-02-22,64000,2347000,2348600
2016-02-23,5000,180400,180050
2016-02-24,54000,1982750,1980550
2016-02-25,43000,1592550,1588750
2016-02-26,6000,218050,218850
2016-03-01,28000,1044200,1040750
2016-03-02,42000,1598450,1605400
2016-03-03,275000,10706900,10723800
2016-03-04,87000,3401600,3396750
2016-03-07,106000,4039350,4105900
2016-03-08,23000,855950,862250
2016-03-09,16000,594900,599750
2016-03-10,25000,946500,946250
2016-03-11,41000,1531900,1563700
2016-03-14,16000,584750,586950
2016-03-15,9000,330200,329050
2016-03-16,1000,35650,35750
2016-03-17,5000,179400,179400
2016-03-18,1000,35600,35600
2016-03-21,2000,71100,70900
2016-03-22,0,0,0
2016-03-23,1000,35050,35350
2016-03-24,11000,383550,381050
2016-03-25,4000,140300,142100
2016-03-28,4000,140550,140550
2016-03-29,5000,172200,172400
2016-03-30,5000,172850,173300
2016-03-31,88000,3190900,3197950
2016-04-01,36000,1301700,1290850
2016-04-06,1000,35250,35700
2016-04-07,10000,357800,354150
2016-04-08,14000,495150,496650
2016-04-11,429000,16645200,16645200
2016-04-12,244000,9417450,9393450
2016-04-13,269000,11046950,11231850
2016-04-14,765000,33372650,33147500
2016-04-15,393000,16986200,17173750
2016-04-18,585000,26405500,26403550
2016-04-19,253000,11106250,11077100
2016-04-20,89000,3843200,3802100
2016-04-21,93000,3993750,3977850
2016-04-22,517000,23486500,23592750
2016-04-25,152000,6625200,6502800
2016-04-26,110000,4632550,4611900
2016-04-27,273000,11697800,11558500
2016-04-28,143000,5882050,5889750
2016-04-29,231000,9555000,9476950
2016-05-03,116000,4568600,4526800
2016-05-04,72000,2777400,2759450
2016-05-05,59000,2250450,2260100
2016-05-06,26000,1000150,998150
2016-05-09,65000,2391650,2363200
2016-05-10,94000,3293000,3342500
2016-05-11,58000,2034400,1998900
2016-05-12,91000,2970800,2998950
2016-05-13,362000,10488500,10512100
2016-05-16,217000,6012650,6029600
2016-05-17,255000,7397150,7450450
2016-05-18,88000,2537750,2556800
2016-05-19,23000,657250,660350
2016-05-20,40000,1124650,1125400
2016-05-23,39000,1119400,1123350
2016-05-24,99000,2915950,2912200
2016-05-25,12000,353900,353750
2016-05-26,206000,6285700,6302000
