date,DayTradingVolume,DT_Buy,DT_Sell
2016-01-04,989000,139105500,138485500
2016-01-05,1520000,210641500,210216000
2016-01-06,823000,111945500,111701500
2016-01-07,2709000,359300000,360881000
2016-01-08,2230000,296447000,298217500
2016-01-11,2735000,359798000,363095000
2016-01-12,1760000,233162000,233184000
2016-01-13,1576000,210563500,211089500
2016-01-14,1718000,224770000,225652500
2016-01-15,2177000,298467000,298185500
2016-01-18,1970000,268104000,269934500
2016-01-19,453000,61899000,62250500
2016-01-20,2730000,369837000,368041000
2016-01-21,1423000,191632000,193299000
2016-01-22,991000,135239000,135822000
2016-01-25,777000,108524500,108516500
2016-01-26,395000,54393500,54638000
2016-01-27,212000,29474500,29485500
2016-01-28,2157000,299741500,301179000
2016-01-29,2329000,324756000,328251500
2016-02-01,1662000,237462500,238586500
2016-02-02,906000,129192000,129282500
2016-02-03,1068000,155396000,155388000
2016-02-15,3088000,442294000,448012000
2016-02-16,462000,67569500,67880500
2016-02-17,331000,48980500,49081000
2016-02-18,871000,130885000,131099500
2016-02-19,901000,134666000,135641000
2016-02-22,748000,112814000,113039500
2016-02-23,307000,45953500,45952000
2016-02-24,518000,77225000,76952000
2016-02-25,557000,83200000,83574000
2016-02-26,567000,84733000,84697000
2016-03-01,639000,95752000,96588500
2016-03-02,431000,66184000,66289500
2016-03-03,914000,140427000,140471500
2016-03-04,514000,78455000,78412000
2016-03-07,702000,106884500,106819000
2016-03-08,936000,140870500,141866500
2016-03-09,618000,93401000,93982500
2016-03-10,737000,112334000,113118000
2016-03-11,687000,105877500,106163500
2016-03-14,274000,42894000,42880000
2016-03-15,832000,128870500,129071500
2016-03-16,354000,54884500,54991000
2016-03-17,892000,141470500,141899000
2016-03-18,1105000,175642000,175938000
2016-03-21,432000,68608500,68926000
2016-03-22,686000,108410500,108627500
2016-03-23,697000,110649500,111067000
2016-03-24,653000,102863000,103471500
2016-03-25,490000,77253500,77427500
2016-03-28,264000,41652500,41818500
2016-03-29,264000,41852000,41946500
2016-03-30,1437000,229576000,231224500
2016-03-31,4051000,652887500,655086500
2016-04-01,1272000,202244000,201682000
2016-04-06,1045000,161568500,160731000
2016-04-07,1560000,240170000,240240500
2016-04-08,368000,57363000,57680000
2016-04-11,801000,125266000,126189000
2016-04-12,357000,56459500,56581500
2016-04-13,1044000,167922500,168292000
2016-04-14,791000,127385000,127591500
2016-04-15,4359000,685228000,690972000
2016-04-18,453000,71459000,71525500
2016-04-19,2175000,346663000,345694500
2016-04-20,2178000,340735000,337508000
2016-04-21,957000,148898000,149444000
2016-04-22,2472000,387402500,387479500
2016-04-25,179000,28046500,28119500
2016-04-26,835000,131779000,131790500
2016-04-27,1183000,185295000,185452000
2016-04-28,1054000,162968000,162839000
2016-04-29,1627000,243861000,243864000
2016-05-03,1415000,208691000,208594500
2016-05-04,2134000,314318000,315353000
2016-05-05,561000,82592000,82718000
2016-05-06,180000,26580500,26629000
2016-05-09,818000,120808000,120703000
2016-05-10,696000,102390500,102589500
2016-05-11,599000,88384000,88534000
2016-05-12,637000,93704500,93612500
2016-05-13,1211000,174814500,174337000
2016-05-16,330000,47416500,47694500
2016-05-17,437000,63777500,64064500
2016-05-18,1571000,229256500,229850500
2016-05-19,1787000,261988500,262293000
2016-05-20,578000,85615000,85749500
2016-05-23,1073000,163371000,164180500
2016-05-24,675000,102822000,102769500
2016-05-25,993000,152389000,152498000
2016-05-26,117000,18026500,18079000
2016-05-27,678000,105227000,105820000
2016-05-30,1053000,164511000,165394500
2016-05-31,1827000,284467000,285598000
2016-06-01,397000,62397500,62816500
2016-06-02,499000,79270500,79428500
2016-06-03,1052000,168270500,168381500
2016-06-06,553000,88945500,89033500
2016-06-07,1238000,200644500,201106500
2016-06-08,3081000,507666000,508923000
2016-06-13,533000,86017500,86295500
2016-06-14,672000,108603000,108966000
2016-06-15,716000,115993500,116432000
2016-06-16,721000,116012000,115927500
2016-06-17,646000,105288000,105724000
2016-06-20,541000,88833000,88828000
2016-06-21,749000,123249000,123464500
2016-06-22,847000,139076500,140094500
2016-06-23,222000,36491500,36467500
2016-06-24,4777000,763463000,760299500
2016-06-27,823000,127718500,128012000
2016-06-28,957000,149297500,149974000
2016-06-29,744000,118230000,118222000
2016-06-30,1265000,203467000,204163000
2016-07-01,566000,93587500,93385500
2016-07-04,1281000,212068000,212162500
2016-07-05,879000,144566500,144266000
2016-07-06,1074000,173382500,173325500
2016-07-07,176000,28851000,28842000
2016-07-11,1119000,189610500,189813000
2016-07-12,952000,162010500,162225000
2016-07-13,1145000,192544000,192818500
2016-07-14,553000,92977500,93374500
2016-07-15,1460000,244584000,246367000
2016-07-18,672000,113283500,113751500
2016-07-19,505000,85568000,85890000
2016-07-20,1858000,315122500,315103000
2016-07-21,447000,76466000,76691000
2016-07-22,290000,49604500,49754000
2016-07-25,847000,144544500,145053000
2016-07-26,474000,81489000,81810000
2016-07-27,986000,172691000,172443500
2016-07-28,877000,153148500,154294500
2016-07-29,432000,75631500,75561500
2016-08-01,722000,126901000,127238000
2016-08-02,269000,47342500,47405000
2016-08-03,445000,76892000,76952000
2016-08-04,525000,90937000,91319500
2016-08-05,481000,84332000,84960000
2016-08-08,423000,75048000,75141000
2016-08-09,564000,100608000,100866000
2016-08-10,310000,55329500,55586500
2016-08-11,358000,63174500,63162500
2016-08-12,359000,63757000,63852500
2016-08-15,324000,57732000,57872000
2016-08-16,1109000,195925000,195960000
2016-08-17,526000,92841500,93011500
2016-08-18,502000,88134500,88323000
2016-08-19,1813000,318673500,318125500
2016-08-22,642000,110863000,110777500
2016-08-23,520000,90658500,90533500
2016-08-24,108000,18758000,18878000
2016-08-25,525000,92242000,92591000
2016-08-26,171000,30086000,30200500
2016-08-29,1701000,297394500,299143000
2016-08-30,244000,42717500,42629000
2016-08-31,790000,138773500,139170500
2016-09-01,607000,105461000,105499500
2016-09-02,428000,74926500,75209000
2016-09-05,338000,59802000,59900000
2016-09-06,580000,103274500,103588500
2016-09-07,2494000,454070500,457580500
2016-09-08,909000,166308000,166754500
2016-09-09,1402000,253063500,252655000
2016-09-12,1118000,196386000,196339500
2016-09-13,1410000,247167500,247515000
2016-09-14,813000,141640500,141538000
2016-09-19,1048000,189745500,190709000
2016-09-20,746000,135733500,136460000
2016-09-21,717000,130400000,131429000
2016-09-22,699000,128998500,129134500
2016-09-23,588000,109153000,109853000
2016-09-26,528000,96911500,97149000
2016-09-27,0,0,0
2016-09-28,0,0,0
2016-09-29,674000,125181500,125322500
2016-09-30,329000,60650000,60663000
2016-10-03,912000,168796000,169412500
2016-10-04,406000,75350000,75753500
2016-10-05,497000,92142500,92400500
2016-10-06,807000,149653000,150879500
2016-10-07,459000,85608000,86185000
2016-10-11,1906000,358812500,358224500
2016-10-12,819000,153210000,154419000
2016-10-13,2188000,412642500,412052500
2016-10-14,1193000,223632500,224551000
2016-10-17,942000,175290000,175541000
2016-10-18,357000,66544000,66712000
2016-10-19,869000,163801500,164342000
2016-10-20,469000,89083000,89099000
2016-10-21,617000,117165000,117958000
2016-10-24,197000,37458000,37602000
2016-10-25,271000,52052000,52139000
2016-10-26,536000,102377000,102819500
2016-10-27,809000,153598000,153453500
2016-10-28,776000,146750000,147072000
