date,融資餘額,融券餘額
2016-01-04,11499,268
2016-01-05,10897,260
2016-01-06,10583,197
2016-01-07,10222,195
2016-01-08,10097,190
2016-01-11,10066,181
2016-01-12,9786,142
2016-01-13,9780,186
2016-01-14,9471,200
2016-01-15,9564,202
2016-01-18,9670,196
2016-01-19,9624,195
2016-01-20,9776,197
2016-01-21,9879,242
2016-01-22,10009,265
2016-01-25,9719,266
2016-01-26,9869,268
2016-01-27,9607,248
2016-01-28,9828,213
2016-01-29,9986,198
2016-01-30,10162,199
2016-02-01,10186,204
2016-02-02,10075,193
2016-02-03,9759,183
2016-02-15,9540,182
2016-02-16,9486,182
2016-02-17,9450,181
2016-02-18,9550,180
2016-02-19,9765,180
2016-02-22,9628,178
2016-02-23,9564,171
2016-02-24,9798,193
2016-02-25,9927,192
2016-02-26,9926,191
2016-03-01,9897,192
2016-03-02,9228,177
2016-03-03,9216,185
2016-03-04,9514,186
2016-03-07,9865,179
2016-03-08,9930,174
2016-03-09,9900,173
2016-03-10,9933,173
2016-03-11,10156,173
2016-03-14,9904,211
2016-03-15,10017,178
2016-03-16,9880,179
2016-03-17,9861,133
2016-03-18,9950,136
2016-03-21,10045,133
2016-03-22,10088,134
2016-03-23,10103,133
2016-03-24,10170,147
2016-03-25,10160,149
2016-03-28,10149,157
2016-03-29,10141,168
2016-03-30,10083,161
2016-03-31,9963,161
2016-04-01,9954,154
2016-04-06,9880,163
2016-04-07,9856,156
2016-04-08,9892,158
2016-04-11,9844,172
2016-04-12,9834,183
2016-04-13,9784,171
2016-04-14,9818,142
2016-04-15,9852,139
2016-04-18,9900,138
2016-04-19,9910,132
2016-04-20,9903,95
2016-04-21,9885,43
2016-04-22,9878,0
2016-04-25,9848,0
2016-04-26,9900,0
2016-04-27,9928,0
2016-04-28,9878,24
2016-04-29,9696,48
2016-05-03,9660,110
2016-05-04,9680,119
2016-05-05,9740,120
2016-05-06,9535,159
2016-05-09,9480,160
2016-05-10,9549,157
2016-05-11,9703,156
2016-05-12,9448,151
2016-05-13,9127,242
2016-05-16,9055,177
2016-05-17,8987,98
2016-05-18,8928,118
2016-05-19,8914,122
2016-05-20,8946,114
2016-05-23,8972,98
2016-05-24,8980,90
2016-05-25,8981,110
2016-05-26,8788,105
2016-05-27,8990,84
2016-05-30,9097,89
2016-05-31,9000,79
2016-06-01,8982,75
2016-06-02,8992,73
2016-06-03,9160,88
2016-06-04,9194,94
2016-06-06,9126,96
2016-06-07,9122,85
2016-06-08,9170,85
2016-06-13,9072,109
2016-06-14,9052,125
2016-06-15,8909,123
2016-06-16,8845,128
2016-06-17,8821,129
2016-06-20,8762,123
2016-06-21,8687,121
2016-06-22,8809,120
2016-06-23,8768,113
2016-06-24,8698,124
2016-06-27,8724,122
2016-06-28,8755,118
2016-06-29,8830,119
2016-06-30,8745,116
2016-07-01,8619,119
2016-07-04,8482,117
2016-07-05,8494,74
2016-07-06,8474,86
2016-07-07,8493,66
2016-07-08,8493,66
2016-07-11,8504,34
2016-07-12,8642,56
2016-07-13,8790,48
2016-07-14,8805,48
2016-07-15,8684,41
2016-07-18,8606,16
2016-07-19,8622,16
2016-07-20,8640,16
2016-07-21,8700,16
2016-07-22,8747,16
2016-07-25,9075,17
2016-07-26,9037,18
2016-07-27,9112,16
2016-07-28,9021,16
2016-07-29,9019,23
2016-08-01,9134,24
2016-08-02,9492,24
2016-08-03,9407,20
2016-08-04,9468,22
2016-08-05,9274,23
2016-08-08,9250,22
2016-08-09,9159,25
2016-08-10,9245,26
2016-08-11,9165,25
2016-08-12,9099,24
2016-08-15,9050,12
2016-08-16,9151,8
2016-08-17,9221,0
2016-08-18,9191,0
2016-08-19,9060,0
2016-08-22,8714,0
2016-08-23,9159,25
2016-08-24,8562,50
2016-08-25,8581,61
2016-08-26,8651,71
2016-08-29,9013,130
2016-08-30,9115,216
2016-08-31,8690,211
2016-09-01,8995,171
2016-09-02,8487,181
2016-09-05,8708,258
2016-09-06,9073,155
2016-09-07,8587,206
2016-09-08,8491,202
2016-09-09,8486,172
2016-09-10,8569,167
2016-09-12,8219,167
2016-09-13,8117,191
2016-09-14,7806,239
2016-09-19,7656,305
2016-09-20,7701,350
2016-09-21,7726,358
2016-09-22,7725,368
2016-09-23,7879,398
2016-09-26,8064,400
2016-09-27,8065,400
2016-09-28,8065,400
2016-09-29,8162,416
2016-09-30,8239,399
2016-10-03,8000,377
2016-10-04,7997,426
2016-10-05,8339,468
2016-10-06,8726,464
2016-10-07,8893,462
2016-10-11,8454,391
2016-10-12,8401,375
2016-10-13,8267,377
2016-10-14,8215,365
2016-10-17,8055,416
2016-10-18,8010,494
2016-10-19,8125,489
2016-10-20,8051,498
2016-10-21,8172,480
2016-10-24,8110,463
2016-10-25,7923,459
2016-10-26,7970,454
2016-10-27,7952,427
2016-10-28,7960,398
2016-10-31,7937,405
2016-11-01,7961,413
2016-11-02,7093,265
2016-11-03,7090,270
2016-11-04,7121,271
2016-11-07,7032,310
2016-11-08,6989,325
2016-11-09,6626,235
2016-11-10,6481,352
2016-11-11,6455,355
2016-11-14,6528,373
2016-11-15,6607,371
2016-11-16,6721,375
2016-11-17,6533,215
2016-11-18,6356,209
2016-11-21,6362,201
2016-11-22,6378,220
2016-11-23,6369,229
2016-11-24,6295,245
2016-11-25,6180,251
2016-11-28,6030,347
2016-11-29,6203,413
2016-11-30,6049,484
2016-12-01,6040,480
2016-12-02,6039,477
2016-12-05,5900,474
2016-12-06,5869,421
2016-12-07,5888,423
2016-12-08,6503,416
2016-12-09,6424,385
2016-12-12,6459,376
2016-12-13,6291,599
2016-12-14,6375,407
2016-12-15,6503,444
2016-12-16,6399,463
2016-12-19,6320,448
2016-12-20,6357,433
2016-12-21,6383,431
2016-12-22,6307,434
2016-12-23,6306,432
2016-12-26,6240,415
2016-12-27,6189,419
2016-12-28,6099,426
2016-12-29,6050,428
2016-12-30,6073,427
2017-01-03,6053,423
2017-01-04,6141,644
2017-01-05,6102,543
2017-01-06,6101,440
2017-01-09,5966,432
2017-01-10,5957,458
2017-01-11,6004,596
