date,Dealer_self,Foreign_Dealer_Self,外資,投信,自營商,三大法人合計
2016-01-04,955000,0,-20539366,406000,702000,-18476366
2016-01-05,564000,0,-5964733,-320000,518000,-5202733
2016-01-06,136000,0,-16091280,-555000,-93000,-16603280
2016-01-07,1858000,0,-17956013,-846284,201000,-16743297
2016-01-08,-221000,0,-980009,-119000,23000,-1297009
2016-01-11,-1128000,0,-3258447,-218000,-391000,-4995447
2016-01-12,320000,0,-7471305,47000,-710000,-7814305
2016-01-13,-391000,0,6601776,-437000,-1440000,4333776
2016-01-14,79000,0,-4135876,-200000,-857000,-5113876
2016-01-15,534000,0,24789257,1797000,-2146000,24974257
2016-01-18,257000,0,-176830,1968000,673000,2721170
2016-01-19,289000,0,383174,129000,-31000,770174
2016-01-20,309000,0,-4052974,175000,-1221000,-4789974
2016-01-21,8000,0,481458,26000,-1562000,-1046542
2016-01-22,-1024000,0,10551282,307000,-685000,9149282
2016-01-25,-198000,0,7151923,-614000,422160,6762083
2016-01-26,61000,0,-2592917,741000,208627,-1582290
2016-01-27,-174000,0,4229579,207000,-1066000,3196579
2016-01-28,155000,0,10733354,-508000,273151,10653505
2016-01-29,138000,0,19855765,-276000,458004,20175769
2016-01-30,164000,0,4234000,33000,1274000,5705000
2016-02-01,-479000,0,27192795,29000,-289000,26453795
2016-02-02,84000,0,2436729,36000,1101058,3657787
2016-02-03,-265000,0,33448679,13000,-1146000,32050679
2016-02-05,57000,0,-5003302,-559000,92000,-5413302
2016-02-15,153000,0,974654,118440,295000,1541094
2016-02-16,16000,0,17004882,-192000,600500,17429382
2016-02-17,-829000,0,14081010,-6000,2631500,15877510
2016-02-18,-259000,0,35431018,86000,-336000,34922018
2016-02-19,178000,0,10747756,-21000,663000,11567756
2016-02-22,-1016000,0,14701397,-15000,736000,14406397
2016-02-23,-111000,0,1794328,-60000,573000,2196328
2016-02-24,-71000,0,1154381,-96000,154000,1141381
2016-02-25,4000,0,14593207,29000,-648000,13978207
2016-02-26,1490000,0,5514324,-398000,1051000,7657324
