feature,wf_ic_mean,wf_ic_pos_pct,wf_n_windows,looy_min_ic,looy_max_ic,looy_range,regime_bull_ic,regime_bear_ic,regime_sideways_ic
composite_score,0.1241198772922107,1.0,6,0.11301177782670227,0.12725113379324246,0.01423935596654019,0.12789568681626404,0.10098186301381142,0.12651450176693207
f_score,0.1175544234195325,1.0,6,0.09536884455272474,0.11183856771174645,0.016469723159021718,0.09683744906231817,0.07078682127440449,0.12898270331109307
composite_parsi,0.08331831148214167,1.0,6,0.08857603811675767,0.10279020128383293,0.014214163167075258,0.09806611706837398,0.09234580117432022,0.0950656442577352
low52w_prox_adj,-0.042390249476198315,0.3333333333333333,6,-0.0822346720772174,-0.051407997934116975,0.03082667414310042,-0.10042340294145857,-0.0840977593495676,-0.004881619530334403
close_to_ma60,-0.009556382034999132,0.3333333333333333,6,-0.01592498615144181,-0.0008280803163496075,0.015096905835092201,-0.024347175257927785,-0.01625787270589374,0.012083188545959108
close_to_ma240,-0.018712902975770506,0.16666666666666666,6,-0.04374766943709515,-0.009123834973512199,0.03462383446358295,-0.06620394024835857,-0.025275438743660505,0.021856689185170333
stock_rs_in_sector_60d,-0.012529764987715714,0.5,6,-0.019889734245538797,-0.0019083177545312897,0.017981416491007506,-0.03210977466071788,-0.011949739632255776,0.010961153682798017
composite_wf_score,0.0009234229747180113,0.6666666666666666,6,0.0015891023566876928,0.01013079406862637,0.008541691711938677,0.014266361347339747,0.0035910838981647077,-0.006339695595578569
