feature,n,ic_60d_car,ic_120d_car,p_k_10_hit_30_60d,p_k_20_hit_30_60d,base_rate_hit_30_60d,path_mae_top10_mean,decile_q1_car_60d,decile_q10_car_60d,decile_spread_60d,decile_monotonicity,p_value_ic_60d
price_stability_60_252,51,-0.021673128907670914,-0.005306628419761649,0.27450980392156865,0.23725490196078433,0.18418032105131832,-0.2681162752161865,0.015330873444208805,0.015673178326265337,0.00034230488205653185,0.4666666666666666,0.029492547898490446
vol_price_divergence,56,-0.010297366863897225,-0.01988736495975409,0.16071428571428573,0.15982142857142856,0.18418032105131832,-0.09610121597372238,0.030029345616264903,0.008307831729091645,-0.021721513887173256,-0.9515151515151514,0.22123507446698076
ma60_slope_20d,55,-0.005026766854590102,0.007713172955497274,0.3745454545454545,0.35,0.18418032105131832,-0.5096767674599213,-0.002991473027058423,0.020104721865289967,0.02309619489234839,0.9515151515151514,0.6582119457324551
body_strength_20d,57,-0.009694958026925441,-0.014295976541251509,0.31754385964912285,0.29035087719298247,0.18418032105131832,-0.28683734690372936,0.025983429779527195,0.018474126945091027,-0.007509302834436168,-0.6242424242424242,0.18817148299577502
upper_half_close_20d_pct,57,0.03697132173879674,0.044789941122706914,0.17719298245614037,0.17017543859649126,0.18418032105131832,-0.18907653712590683,0.010141538682635513,0.02398016565139453,0.013838626968759017,0.6606060606060605,7.99843365208647e-06
stealth_volume_20d,57,0.02230386217385658,0.02567512584647533,0.22456140350877193,0.22280701754385965,0.18418032105131832,-0.18693057589856973,0.015191785300818005,0.02200251232024459,0.006810727019426584,0.8787878787878788,0.00032645079904516743
revenue_score,57,0.023827854154568333,0.02835583402589115,0.17894736842105263,0.193859649122807,0.18418032105131832,-0.1327601921325677,0.020862470377707474,0.03737171997500775,0.01650924959730028,0.7575757575757575,8.726376852138165e-05
revenue_score_3m_delta,57,0.011328346807682323,0.018858408958458105,0.20701754385964913,0.2219298245614035,0.18418032105131832,-0.14459781686810932,0.004706025029911576,0.019160767555570408,0.014454742525658832,0.2727272727272727,0.0502994283709172
revenue_score_6m_delta,57,0.022207455953307313,0.03442824548745948,0.20175438596491227,0.20526315789473687,0.18418032105131832,-0.1426213560003531,0.003942266612721608,0.024899964569659667,0.02095769795693806,0.6606060606060605,0.00016065300393112108
roe,57,0.04299047202147969,0.03363464551785864,0.2789473684210526,0.2657894736842105,0.18418032105131832,-0.17213249817648552,0.008294019390369304,0.020982306016086843,0.012688286625717539,0.5515151515151515,0.0012847012271015455
roa,57,0.029404727380717376,0.017264879937316707,0.21052631578947364,0.2131578947368421,0.18418032105131832,-0.15664860317878881,0.010196470869165614,0.016079892966669073,0.005883422097503459,-0.006060606060606061,0.027993626545963428
gross_margin,57,0.0001348163959028722,-0.008800436663378125,0.2736842105263158,0.22807017543859648,0.18418032105131832,-0.1664455762820815,0.016092450864896055,0.015330763346055898,-0.0007616875188401571,-0.11515151515151514,0.9859352394270531
op_margin,57,0.030692307289884244,0.023850881667224644,0.2087719298245614,0.2157894736842105,0.18418032105131832,-0.1399031705774487,0.012736575628165648,0.012809860919873843,7.328529170819512e-05,0.11515151515151514,0.003758504800035427
debt_ratio,57,0.029456385772881007,0.041652483168117094,0.21578947368421053,0.1798245614035088,0.18418032105131832,-0.1363821017439299,0.014354816910745227,0.023943307032633733,0.009588490121888506,0.8787878787878788,1.756604740610576e-05
gross_margin_4q_delta,57,0.020550765142500916,0.008000773146718716,0.2631578947368421,0.25087719298245614,0.18418032105131832,-0.18266145527009486,0.004913087180189243,0.024641290262246488,0.019728203082057246,0.7454545454545454,0.004389669432590537
op_margin_4q_delta,57,0.006472003906467976,-0.0038065517086053433,0.2789473684210526,0.23421052631578948,0.18418032105131832,-0.179497257093792,0.007420254540842337,0.026133648277569293,0.018713393736726956,0.8545454545454544,0.3816259715891672
roe_4q_delta,57,0.0035374713028848343,-0.012309168089168354,0.21403508771929824,0.23684210526315788,0.18418032105131832,-0.17852200299359053,0.004632302651473569,0.02360315809477797,0.018970855443304402,0.8545454545454544,0.6628555433822223
eps_yoy,57,0.03971337790888701,0.02874912324244783,0.24912280701754386,0.24385964912280703,0.18418032105131832,-0.17202179496994466,-0.0009425582686802425,0.031767687884397086,0.03271024615307733,0.7454545454545454,6.498537515965179e-06
sector_return_60d,54,-0.006801698274271329,0.002834838240525894,0.1722222222222222,0.15462962962962962,0.18418032105131832,-0.13542169317098568,,,,,0.5803023228684914
sector_return_120d,51,0.018611822000489657,0.02338299256309544,0.15294117647058822,0.16078431372549018,0.18418032105131832,-0.11607078319782187,,,,,0.12805952060139028
stock_rs_in_sector_60d,54,-0.01087996140969234,0.0036128743523998284,0.4055555555555555,0.3787037037037036,0.18418032105131832,-0.5276464406825748,-0.0023978076748259252,0.020095931966630863,0.02249373964145679,0.9151515151515152,0.35927303279565925
sector_momentum_rank,54,0.007293872915014158,-0.00808325878677945,0.17407407407407408,0.1638888888888889,0.18418032105131832,-0.13034173494949433,,,,,0.569712212162099
cfo_to_revenue,57,0.023700714634013974,0.022559809140816366,0.19298245614035084,0.18508771929824563,0.18418032105131832,-0.13698672723741495,0.01697302968077026,0.016011950385251317,-0.0009610792955189427,0.006060606060606061,0.0014990144300362366
cfo_to_ni,57,0.02314680903867817,0.032425662875427426,0.21052631578947367,0.21315789473684207,0.18418032105131832,-0.1340659388419166,0.0150852050296051,0.0202228229451521,0.005137617915547,0.29696969696969694,8.140280963240776e-06
fcf_to_revenue,57,0.001215414452341335,-0.015256254932908754,0.22456140350877193,0.22105263157894736,0.18418032105131832,-0.14051405917847518,0.05552751648379053,0.05391517591874199,-0.0016123405650485395,-0.10303030303030303,0.9423208955752014
capex_intensity,57,-0.03202279793518725,-0.044181686957203765,0.19473684210526315,0.19210526315789475,0.18418032105131832,-0.1371455966957757,0.07000198690847853,0.042867848986753526,-0.027134137921725004,-0.5030303030303029,0.03974771336995329
interest_coverage,0,,,,,0.18418032105131832,,,,,,
cfo_to_revenue_4q_delta,57,0.007275678117897149,0.004903512808313777,0.2,0.21228070175438596,0.18418032105131832,-0.16193793006916143,0.010810005227370151,0.014000023525295117,0.0031900182979249653,0.4545454545454545,0.13392915124750643
fcf_to_revenue_4q_delta,57,0.017023358948353107,0.021181983477964288,0.2578947368421053,0.2421052631578947,0.18418032105131832,-0.14518017759899368,0.03871256435729267,0.07578330498514216,0.037070740627849486,0.3939393939393939,0.16659830307502504
f_score_4q_delta,57,0.051823492469883534,0.04509945213986054,0.2964912280701754,0.2745614035087719,0.18418032105131832,-0.17697641491826574,-0.0031619662253172982,0.04391572186524272,0.047077688090560024,0.9515151515151514,3.2142696722224814e-10
f_score_1q_delta,57,0.04779349377365521,0.04805948107199299,0.21403508771929824,0.22368421052631582,0.18418032105131832,-0.14076497415217246,0.0011935793636642452,0.030819141539112988,0.029625562175448743,0.9757575757575757,5.502909671521088e-10
composite_score,57,0.12172076099757277,0.1258255234185998,0.156140350877193,0.15964912280701754,0.18418032105131832,-0.12151961429201644,-0.009140718535104708,0.04971683156678887,0.05885755010189358,0.9878787878787878,6.893753969036055e-17
composite_wf_score,57,0.004427229326438253,-0.0012817766799205258,0.18771929824561404,0.1956140350877193,0.18418032105131832,-0.14695141976634135,0.014774585789963884,0.012596826228992485,-0.002177759560971399,0.23636363636363633,0.41382753759999236
composite_parsi,57,0.09575640268675888,0.10578287327016825,0.23333333333333334,0.23684210526315788,0.18418032105131832,-0.1895320372128377,-0.011514582667907123,0.05051407477490627,0.06202865744281339,0.9878787878787878,1.2013804297943896e-12
